settlement_date,expiration,product,root,settlement_symbol,settlement_value,source,source_url,source_file_hash,published_timestamp,ingested_timestamp,component_source_url,component_file_hash,component_status
2015-02-18,2015-02-18,VIX option,VIX,VRO,16.64,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_02182015.xls,37d297bcb90a0f3394cb04b1d2f098fe3700c228031bd5c6599b502e7a9fb7c9,downloaded
2015-03-18,2015-03-18,VIX option,VIX,VRO,15.67,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_03182015.xls,8e173f82e0c712177235e5ebb3f16e492ca216387b9899b54b07f05d3c18f184,downloaded
2015-04-15,2015-04-15,VIX option,VIX,VRO,13.81,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_04152015.xls,aec9564b9ebaa11a54a9f29f3c214009ff13c12fd6febc276b7f214da31892d0,downloaded
2015-05-20,2015-05-20,VIX option,VIX,VRO,12.8,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_05202015.xls,4c4837c2cdb1340b0a1b3b0c7bafb3e18f94929ba869fb86b28ae551a8041761,downloaded
2015-06-17,2015-06-17,VIX option,VIX,VRO,14.67,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_06172015.xls,792d4ee6ebe88f0591c31d5116ed15aa9bccc6eb2697dc22ee76f74cb818c428,downloaded
2015-07-22,2015-07-22,VIX option,VIX,VRO,12.82,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_07222015.xls,a1e156c41418e0cf61850dbaeea83b47a3d5245a1d68122381cb6e44b4492147,downloaded
2015-08-19,2015-08-19,VIX option,VIX,VRO,14.78,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_08192015.xls,21ed4d26c61ce86c9d11e155ce0d2e806bb4156c430085df48d832394c53b6e4,downloaded
2015-09-16,2015-09-16,VIX option,VIX,VRO,22.38,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_09162015.xls,6cf125837710df8a7256a87ac32f43517e160e2473ab38b9839ec1d29ed05d1e,downloaded
2015-10-21,2015-10-21,VIX option,VIX,VRO,14.91,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_10212015.xls,afb66c6e9d5b25f235ba266818c64b4024c5b52b68c65556ca3f58f111595021,downloaded
2015-11-18,2015-11-18,VIX option,VIX,VRO,19.16,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2015/,998506f06a8ce5d7dee2a9b81c191e090b71bb285d0d8e356cef226aa19e2159,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_11182015.xls,2a421fb042dd57f7045dcae7800a3133ca46c1ae3055963b0311d294bd9c3f5e,downloaded
2016-01-20,2016-01-20,VIX option,VIX,VRO,27.4,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_01202016.xls,f37cd960ac4c0f24fa4d4ceb69c1fcb0a232f4a35bb37949e2ec2ad60e041ae5,downloaded
2016-02-17,2016-02-17,VIX option,VIX,VRO,23.76,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_02172016.xls,7d63d114f102e36a60741a25039292e9cb2f6a284093cc981b80d11456510bb3,downloaded
2016-03-16,2016-03-16,VIX option,VIX,VRO,16.22,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,2026-06-25 18:51:33.936098+00:00,https://cdn.cboe.com/resources/futures/archive/settlements/Vix_Series_03162016.xls,51018bf634145649a37bc3ca16b51f314f6a8f706cb58c3896f8ffb7c6b18664,downloaded
2016-04-20,2016-04-20,VIX option,VIX,VRO,12.38,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/04/soq_vxs_20160420.csv-dl,,unavailable
2016-07-20,2016-07-20,VIX option,VIX,VRO,11.62,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/07/soq_vxs_20160720.csv-dl,,unavailable
2016-11-16,2016-11-16,VIX option,VIX,VRO,14.76,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/11/soq_vxs_20161116.csv-dl,,unavailable
2016-12-21,2016-12-21,VIX option,VIX,VRO,11.15,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2016/,56099246e4820c02f4fb8fe25ec728b451776a20b837e6a9805df9d01a62dfa0,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2016/12/soq_vxs_20161221.csv-dl,,unavailable
2017-01-18,2017-01-18,VIX option,VIX,VRO,12.52,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2017/,b2c69b2da7a18532341831c1b6539e1e6a61a02a069e0d0fe5e8f16734c2870c,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/01/soq_vxs_20170118.csv-dl,,unavailable
2017-05-17,2017-05-17,VIX option,VIX,VRO,12.98,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2017/,b2c69b2da7a18532341831c1b6539e1e6a61a02a069e0d0fe5e8f16734c2870c,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/05/soq_vxs_20170517.csv-dl,,unavailable
2017-06-21,2017-06-21,VIX option,VIX,VRO,10.71,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2017/,b2c69b2da7a18532341831c1b6539e1e6a61a02a069e0d0fe5e8f16734c2870c,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2017/06/soq_vxs_20170621.csv-dl,,unavailable
2018-02-14,2018-02-14,VIX option,VIX,VRO,21.87,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2018/,8e9cc89af502ef07cbbb692ab62d6c279fa433104f1d7ad38cfecaab9fcf1184,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2018/02/soq_vxs_20180214.csv-dl,,unavailable
2018-03-21,2018-03-21,VIX option,VIX,VRO,17.76,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2018/,8e9cc89af502ef07cbbb692ab62d6c279fa433104f1d7ad38cfecaab9fcf1184,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2018/03/soq_vxs_20180321.csv-dl,,unavailable
2018-05-16,2018-05-16,VIX option,VIX,VRO,13.79,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2018/,8e9cc89af502ef07cbbb692ab62d6c279fa433104f1d7ad38cfecaab9fcf1184,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2018/05/soq_vxs_20180516.csv-dl,,unavailable
2018-06-20,2018-06-20,VIX option,VIX,VRO,12.27,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2018/,8e9cc89af502ef07cbbb692ab62d6c279fa433104f1d7ad38cfecaab9fcf1184,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2018/06/soq_vxs_20180620.csv-dl,,unavailable
2018-07-18,2018-07-18,VIX option,VIX,VRO,12.38,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2018/,8e9cc89af502ef07cbbb692ab62d6c279fa433104f1d7ad38cfecaab9fcf1184,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2018/07/soq_vxs_20180718.csv-dl,,unavailable
2018-08-22,2018-08-22,VIX option,VIX,VRO,12.61,cboe_index_settlement_values,https://www.cboe.com/index_settlement_values/get_sv_data/O/2018/,8e9cc89af502ef07cbbb692ab62d6c279fa433104f1d7ad38cfecaab9fcf1184,,2026-06-25 18:51:33.936098+00:00,https://www.cboe.com/us/futures/market_statistics/vix_settlement_series/2018/08/soq_vxs_20180822.csv-dl,,unavailable
