scope,config,Basis,N splits,N strategies,PBO,Median lambda,Rank correlation IS OOS
all_configs,all,full_cost_net,78,18,0.44871794871794862,0,0.43980598308651331
within_config,larger,full_cost_net,78,5,0.53846153846153844,-0.6931471805599454,0.49102564102564072
within_config,larger+VIX,full_cost_net,78,5,0.53846153846153844,-0.6931471805599454,0.59358974358974315
within_config,orig,full_cost_net,78,4,0.28205128205128183,1.3862943611198908,0.54358974358974355
within_config,orig+VIX,full_cost_net,78,4,0,1.3862943611198908,0.58119658119658102
all_configs,all,gross,78,18,0.76923076923076905,-1.1700712526502548,0.278087359803253
within_config,larger,gross,78,5,0.74358974358974361,-1.6094379124341005,-0.073076923076922901
within_config,larger+VIX,gross,78,5,0.74358974358974361,-1.6094379124341005,0.0769230769230769
within_config,orig,gross,78,4,0.28205128205128183,1.3862943611198908,0.3905982905982906
within_config,orig+VIX,gross,78,4,0.025641025641025501,0.40546510810816422,0.81566951566951551
