config,strategy,window,start,end,n_obs,annualized_mean_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,mean_gross_nav,integer_abstentions
larger,15% volatility-ceiling specification (R1),aligned_2018_2026,2018-02-28,2026-04-30,93,0.065302741814722065,0.0585730391695755,0.12946539882867361,0.5044030482703693,0.81215067980107514,-0.24997877921399331,0.052277192677574802,0.068077349918931704,1.5544845956401261,False,0.039571720430107503,0
larger,15% volatility-ceiling specification (R1),aligned_post_2020,2021-01-29,2026-04-30,60,0.040201383836911686,0.033667648467905903,0.1202146481887839,0.33441335513272752,0.53774732181225615,-0.2499787792139937,0.0501170571941673,0.060982427715307902,1.1800614417101885,False,0.038302016666666501,0
larger,25% volatility-ceiling specification (R1.1),aligned_2018_2026,2018-02-28,2026-04-30,93,0.1400197813322448,0.1228319953628469,0.2208084144122324,0.63412339473095714,1.1138905303889617,-0.39396563962637782,0.081112277621948906,0.098052832818335101,2.4543672136173877,False,0.0668628387096772,0
larger,25% volatility-ceiling specification (R1.1),aligned_post_2020,2021-01-29,2026-04-30,60,0.11066669500658734,0.091132693654855504,0.22014272436542651,0.5027043038809943,0.89769704996900646,-0.39396563962637782,0.080990744579386501,0.092747946608941201,1.5466350349959366,False,0.065607199999999602,0
larger+VIX,15% volatility-ceiling specification (R1),aligned_2018_2026,2018-02-28,2026-04-30,93,0.1150433254525831,0.1157559441750458,0.1003865699796062,1.1460031503811163,1.8754317333770221,-0.1291776961817159,0.041814415536605302,0.0608498509595779,2.3370143087047999,False,0.0450009569892472,0
larger+VIX,15% volatility-ceiling specification (R1),aligned_post_2020,2021-01-29,2026-04-30,60,0.18108008253584115,0.1914283950015862,0.0975531420688521,1.8562198889302459,3.8463557324101183,-0.071663911985414802,0.035422534165146201,0.047634972714319802,2.4007101662214643,False,0.0499949166666665,0
larger+VIX,25% volatility-ceiling specification (R1.1),aligned_2018_2026,2018-02-28,2026-04-30,93,0.14070953188271534,0.14231014732037681,0.1185366099278056,1.1870554756746807,2.1965096025855142,-0.1212535188223382,0.035710815181924101,0.067427417569920406,2.80431160402556,False,0.047061387096774002,34
larger+VIX,25% volatility-ceiling specification (R1.1),aligned_post_2020,2021-01-29,2026-04-30,60,0.19176650739418724,0.19951650701692081,0.1319828880058804,1.4529649281931398,2.9939610996199164,-0.1212535188223382,0.037443937008750802,0.064838874533783605,2.4833111825914478,False,0.059688749999999902,14
orig,15% volatility-ceiling specification (R1),aligned_2018_2026,2018-02-28,2026-04-30,93,0.062282037413734503,0.056433079774895201,0.1212769306844016,0.51355222351240704,0.8095024969037512,-0.28536150359631413,0.054037284465664102,0.065108283047698501,1.5302959734748032,False,0.032415967741935302,0
orig,15% volatility-ceiling specification (R1),aligned_post_2020,2021-01-29,2026-04-30,60,0.047657097100164504,0.040626026439506802,0.12588100151452061,0.37858848060298572,0.58765526354666131,-0.28536150359631413,0.053614722672936203,0.066929995013975105,1.2203191254440839,False,0.031752499999999802,0
orig,25% volatility-ceiling specification (R1.1),aligned_2018_2026,2018-02-28,2026-04-30,93,0.13318362470465814,0.1176571933924519,0.20971272212162581,0.63507651494512785,1.0967759554871639,-0.38110033724647152,0.0835289974955222,0.099794974363049502,2.3680550092750567,False,0.055456333333333302,0
orig,25% volatility-ceiling specification (R1.1),aligned_post_2020,2021-01-29,2026-04-30,60,0.11181288953116114,0.0930136844763607,0.21621732013574721,0.51713197379822262,0.89788501403077525,-0.38110033724647152,0.084457617735740106,0.098263066393007706,1.5600122068152913,False,0.054232266666666501,0
orig+VIX,15% volatility-ceiling specification (R1),aligned_2018_2026,2018-02-28,2026-04-30,93,0.13201771788841749,0.1344574165945101,0.10235840000143991,1.2897594910291714,2.1899164183632638,-0.14630346065321151,0.040129204870244302,0.063754813760482601,2.6583278418486711,False,0.044503806451612803,0
orig+VIX,15% volatility-ceiling specification (R1),aligned_post_2020,2021-01-29,2026-04-30,60,0.21322789369039538,0.2298880404035645,0.096322627663243301,2.2136843529213968,5.0129372634103211,-0.065857533926049802,0.025236821988534702,0.045981742193900201,2.8140246147397479,False,0.0488719666666666,0
orig+VIX,25% volatility-ceiling specification (R1.1),aligned_2018_2026,2018-02-28,2026-04-30,93,0.15814938309994767,0.1600499557839527,0.1339714878610771,1.1804704540113942,2.2750003352446928,-0.17050118680570481,0.0440236859985099,0.076901509849170102,3.1600529658249568,False,0.047610064516129001,32
orig+VIX,25% volatility-ceiling specification (R1.1),aligned_post_2020,2021-01-29,2026-04-30,60,0.24503653933912731,0.26201702834217921,0.1446388069560913,1.6941272158965901,3.9402499696244448,-0.1074496870164818,0.042724854115778303,0.067871738593537206,3.2012977863961689,False,0.0584833166666665,14
