universe,strategy,aum,n_underlyings,n_contracts,gross_sharpe,net_sharpe,gross_ann_ret,net_ann_ret,mean_monthly_capacity_cost,max_capacity_ratio,capacity_penalized_share
n8,Greek Markowitz,100000.0,8,49,0.8421194565895301,0.5221787303956871,0.894164572585072,0.5542428435613171,0.005086902936203197,18.48703079236634,0.05718954248366013
n8,Delta neutral,100000.0,8,49,0.7812998585305818,0.4556442472193339,0.7776877245341202,0.45254843140676515,0.00382950485077869,14.670138189684813,0.06918238993710692
n8,Equal premium,100000.0,8,49,0.26720609586855976,0.10189634123927813,0.5349314313520563,0.20393473968677828,0.0022194317062215955,22.7515755466066,0.061741613133476085
n8,Equal risk,100000.0,8,49,0.3398774829634941,0.14463346439334104,0.45098340578702545,0.1919956988163829,0.0005106686508468205,12.400150562653497,0.052105638829407566
n8,Greek Markowitz,250000.0,8,49,0.8421194565895301,0.13173135481086254,0.894164572585072,0.14344715122330856,0.039319877297703906,46.21757698091585,0.13276143790849673
n8,Delta neutral,250000.0,8,49,0.7812998585305818,0.13120941224580784,0.7776877245341202,0.12984310195460502,0.03072161563845869,36.67534547421204,0.14779874213836477
n8,Equal premium,250000.0,8,49,0.26720609586855976,0.015596038488034637,0.5349314313520563,0.031277083718856465,0.016607569703548396,56.87893886651649,0.15738758029978586
n8,Equal risk,250000.0,8,49,0.3398774829634941,0.10414454421768894,0.45098340578702545,0.13841854294452666,0.004975431640168167,31.000376406633738,0.139186295503212
n8,Greek Markowitz,500000.0,8,49,0.8421194565895301,-0.864720103710816,0.894164572585072,-1.426629614899272,0.17015960780791894,92.4351539618317,0.22181372549019607
n8,Delta neutral,500000.0,8,49,0.7812998585305818,-0.8822103698406307,0.7776877245341202,-1.1190557280180364,0.13479651813617888,73.35069094842407,0.2358490566037736
n8,Equal premium,500000.0,8,49,0.26720609586855976,-0.30349922924232203,0.5349314313520563,-0.6250007704225918,0.07129739088200243,113.75787773303298,0.2769450392576731
n8,Equal risk,500000.0,8,49,0.3398774829634941,-0.06433766007756414,0.45098340578702545,-0.0861462620644034,0.023689165390912335,62.000752813267475,0.2569593147751606
n8,Greek Markowitz,1000000.0,8,49,0.8421194565895301,-1.4425788318790798,0.894164572585072,-7.9002672441394015,0.7096294102445964,184.8703079236634,0.33455882352941174
n8,Delta neutral,1000000.0,8,49,0.7812998585305818,-1.6413652756113173,0.7776877245341202,-6.297043267115622,0.5662954797276444,146.70138189684815,0.3477088948787062
n8,Equal premium,1000000.0,8,49,0.26720609586855976,-1.2018621455650496,0.5349314313520563,-3.330750366541321,0.2967765238918966,227.51575546606597,0.4428979300499643
n8,Equal risk,1000000.0,8,49,0.3398774829634941,-0.7310758622105712,0.45098340578702545,-1.0551161436922953,0.10443665552657001,124.00150562653495,0.3932905067808708
n8,Greek Markowitz,2000000.0,8,49,0.8421194565895301,-1.5603213773438003,0.894164572585072,-34.19262525966188,2.900659244871469,369.7406158473268,0.4513888888888889
n8,Delta neutral,2000000.0,8,49,0.7812998585305818,-1.772159809493968,0.7776877245341202,-27.384661781313213,2.323597022577444,293.4027637936963,0.4716981132075472
n8,Equal premium,2000000.0,8,49,0.26720609586855976,-1.8083221803194751,0.5349314313520563,-14.328067189169946,1.2132195924442823,455.03151093213194,0.6113490364025695
n8,Equal risk,2000000.0,8,49,0.3398774829634941,-2.0302608741215464,0.45098340578702545,-5.084787164280985,0.44024257390896077,248.0030112530699,0.5471092077087795
nAll,Greek Markowitz,100000.0,55,262,0.4562053765611321,-1.1358458742478674,0.31661747425358294,-0.7886172064174563,0.012564817710565427,58.79541715155435,0.06237226020156459
nAll,Delta neutral,100000.0,55,262,0.43202875197713,-1.2135724857367323,0.29542513075076426,-0.8359354963681416,0.01451554622366222,64.17528350041222,0.08093056678343663
nAll,Equal premium,100000.0,55,262,0.5573332492175173,-0.09914614228654214,0.8965943491806048,-0.1595728899117878,0.0014196593874978012,15.267175572519085,0.07858200014095426
nAll,Equal risk,100000.0,55,262,0.6378869106679349,-0.24728727996972372,0.7051891230081884,-0.27429593710653355,0.000901152346389464,16.201104524792846,0.07287335259708225
nAll,Greek Markowitz,250000.0,55,262,0.4562053765611321,-1.9345046633127456,0.31661747425358294,-1.696148584633459,0.08819243256189893,146.98854287888588,0.13158080202974134
nAll,Delta neutral,250000.0,55,262,0.43202875197713,-1.9193304847892696,0.29542513075076426,-1.8696997824198425,0.1006625700613039,160.43820875103057,0.17210096110661996
nAll,Equal premium,250000.0,55,262,0.5573332492175173,-0.17570652561901812,0.8965943491806048,-0.28194564486520024,0.011617388966948842,38.167938931297705,0.1978293043907252
nAll,Equal risk,250000.0,55,262,0.6378869106679349,-0.32676352804892606,0.7051891230081884,-0.36215768482819993,0.008222964656528319,40.50276131198212,0.17936429628585523
nAll,Greek Markowitz,500000.0,55,262,0.4562053765611321,-2.154084137110958,0.31661747425358294,-5.060175762648424,0.36852803072981266,293.97708575777176,0.20191697794065824
nAll,Delta neutral,500000.0,55,262,0.43202875197713,-1.9480419975543688,0.29542513075076426,-5.687170185607504,0.4187851036602757,320.87641750206114,0.2558160423964789
nAll,Equal premium,500000.0,55,262,0.5573332492175173,-0.4785237313916001,0.8965943491806048,-0.7618354297851715,0.05160820437694643,76.33587786259541,0.3392064275142716
nAll,Equal risk,500000.0,55,262,0.6378869106679349,-0.6495805271614116,0.7051891230081884,-0.7200368971600695,0.03804623235085077,81.00552262396424,0.2993163718373388
nAll,Greek Markowitz,1000000.0,55,262,0.4562053765611321,-2.0553821616161674,0.31661747425358294,-18.743376566976895,1.5087947644238524,587.9541715155435,0.28014659243075624
nAll,Delta neutral,1000000.0,55,262,0.43202875197713,-1.8496092384258476,0.29542513075076426,-21.18864229704632,1.7105744462801773,641.7528350041223,0.34797449025419924
nAll,Equal premium,1000000.0,55,262,0.5573332492175173,-1.6967452285282025,0.8965943491806048,-2.7685307412189606,0.21883281366309557,152.67175572519082,0.4907322573824794
nAll,Equal risk,1000000.0,55,262,0.6378869106679349,-1.930118773050538,0.7051891230081884,-2.2405463567248676,0.16475535398125057,162.01104524792848,0.44266685460568045
nAll,Greek Markowitz,2000000.0,55,262,0.4562053765611321,-2.023667716344098,0.31661747425358294,-73.93990322452635,6.1085053192196375,1175.908343031087,0.36070195221650575
nAll,Delta neutral,2000000.0,55,262,0.43202875197713,-1.8237888138336769,0.29542513075076426,-83.6672963745969,6.917128952742724,1283.5056700082446,0.4448037366388215
nAll,Equal premium,2000000.0,55,262,0.5573332492175173,-3.8966808822898673,0.8965943491806048,-10.98182711947264,0.9032741785175687,305.34351145038164,0.6438085841144549
nAll,Equal risk,2000000.0,55,262,0.6378869106679349,-4.4062404925720715,0.7051891230081884,-8.512117617255287,0.6873862923587856,324.02209049585696,0.5825639579956304
