config,strategy,arm,point_id,cov_shrinkage,under_cov_estimator,vol_cov_estimator,residual_estimator,shrinkage_to_zero,historical_weight,structural_weight,resolved_lambda,t_train,n_underlyings,n_contracts,solver_status,aum,gross_sharpe,net_sharpe_noimpact
orig+VIX,Greek Markowitz,default,default,0.2,sample,sample,sample,0.6,0.25,0.75,0.2,69,9,54,optimal,1000000.0,1.3743892124363595,1.0356458192920948
orig+VIX,Greek Markowitz,A,A_cov_0p35,0.35,sample,sample,sample,0.6,0.25,0.75,0.35,69,9,54,optimal,1000000.0,1.3811718657066565,1.0986530934333076
orig+VIX,Greek Markowitz,A,A_cov_0p50,0.5,sample,sample,sample,0.6,0.25,0.75,0.5,69,9,54,optimal,1000000.0,1.367081373728828,1.1072966483326385
orig+VIX,Greek Markowitz,A,A_cov_0p65,0.65,sample,sample,sample,0.6,0.25,0.75,0.65,69,9,54,optimal,1000000.0,1.3415008558144832,1.0958305827886745
orig+VIX,Greek Markowitz,A,A_cov_0p80,0.8,sample,sample,sample,0.6,0.25,0.75,0.8,69,9,54,optimal,1000000.0,1.3246010986868486,1.090768358761708
orig+VIX,Greek Markowitz,A,A_cov_0p90,0.9,sample,sample,sample,0.6,0.25,0.75,0.9,69,9,54,optimal,1000000.0,1.3103253019847305,1.0836813123769684
orig+VIX,Greek Markowitz,A,A_cov_n_scaled,n_scaled,sample,sample,sample,0.6,0.25,0.75,0.2,69,9,54,optimal,1000000.0,1.3743892124363595,1.0356458192920948
orig+VIX,Greek Markowitz,B,B_residual_diag_cov_0p20,0.2,sample,sample,diag,0.6,0.25,0.75,0.2,69,9,54,optimal,1000000.0,1.6249082562646722,1.3407228353309206
orig+VIX,Greek Markowitz,B,B_residual_diag_cov_0p50,0.5,sample,sample,diag,0.6,0.25,0.75,0.5,69,9,54,optimal,1000000.0,1.5407286914602654,1.2823706546366846
orig+VIX,Greek Markowitz,B,B_residual_lw_cov_0p20,0.2,sample,sample,lw,0.6,0.25,0.75,0.2,69,9,54,optimal,1000000.0,1.476283960344018,1.2369590783614557
