scope,config,Basis,N splits,N strategies,PBO,Median lambda,Rank correlation IS OOS
all_configs,all,full_cost_net,78,18,0.44871794871794873,0.0,0.43980598308651336
within_config,larger,full_cost_net,78,5,0.5384615384615384,-0.6931471805599454,0.4910256410256409
within_config,larger+VIX,full_cost_net,78,5,0.5384615384615384,-0.6931471805599454,0.5935897435897435
within_config,orig,full_cost_net,78,4,0.28205128205128205,1.3862943611198908,0.5435897435897438
within_config,orig+VIX,full_cost_net,78,4,0.0,1.3862943611198908,0.581196581196581
all_configs,all,gross,78,18,0.7692307692307693,-1.1700712526502548,0.27808735980325305
within_config,larger,gross,78,5,0.7435897435897436,-1.6094379124341005,-0.07307692307692307
within_config,larger+VIX,gross,78,5,0.7435897435897436,-1.6094379124341005,0.07692307692307693
within_config,orig,gross,78,4,0.28205128205128205,1.3862943611198908,0.3905982905982906
within_config,orig+VIX,gross,78,4,0.02564102564102564,0.4054651081081642,0.8156695156695155
