config,fold_id,scheme,strategy,display_strategy,basis,status,solver_status,mode,capacity_infeasible,sum_of_caps,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
orig,kfold_00,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.8079178,0.5219760000000001,1.4891577963512816,4.809038271134467,2.959461747785496,1.4757835485358843,-0.3418946325696527,2.502788213572729,False
orig,kfold_00,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.8079178,0.5219760000000001,1.3399483251553326,4.073352123131729,2.22265796239961,1.4745486059719635,-0.3634813740250368,2.1817725632309557,False
orig,kfold_00,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.93083,1.0427841119758094,1.9662362576368526,0.6475459134494681,0.6825151783854442,-0.24005372657166246,1.39494906729833,False
orig,kfold_00,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.93083,-3.2103938322279992,-2.4381846838176116,-1.0,1.6681274136032673,-1.0,0.0,True
orig,kfold_00,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.8079178,0.742717,1.4483552052873085,3.7883358084386574,2.8393350582092935,1.9051955522013158,-0.5926223510848505,2.451907091507618,False
orig,kfold_00,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.8079178,0.742717,1.2416372118039047,2.9873082609895407,1.6045959898048774,1.881331448165228,-0.625003977517385,1.8930419803285605,False
orig,kfold_00,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.8079178,0.742717,1.4483552052873085,3.7883358084386574,2.8393350582092935,1.9051955522013158,-0.5926223510848505,2.451907091507618,False
orig,kfold_00,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.8079178,0.742717,1.2416372118039047,2.9873082609895407,1.6045959898048774,1.881331448165228,-0.625003977517385,1.8930419803285605,False
orig,kfold_01,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.8049936999999999,0.5197020000000001,0.6488247363769183,1.5016084655684308,0.11648883576410807,1.5754240830822706,-0.22145269071706997,1.0762246207405428,False
orig,kfold_01,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.8049936999999999,0.5197020000000001,0.5066786797341107,1.0868738224166243,-0.11414198450191215,1.542127507975407,-0.2561110451739026,0.9223790128308328,False
orig,kfold_01,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.858693,-0.888378339125308,-1.0025273395257568,-0.947991272580056,1.2465218546215364,-0.21181609377597754,0.13933198303302297,False
orig,kfold_01,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.858693,-3.1745138989574615,-2.4242150579228086,-1.0,1.9852243663140603,-1.0,0.0,True
orig,kfold_01,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.8049936999999999,0.734958,1.0234463112669197,2.6339893283179054,0.8625902211626257,2.0002672685939036,-0.40395942622510317,1.5138338511179188,False
orig,kfold_01,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.8049936999999999,0.734958,0.6845147390811851,1.4712385898416431,-0.01261992529552769,1.8366005928358724,-0.42351315506254095,0.9915689206444533,False
orig,kfold_01,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.8049936999999999,0.734958,1.0234463112669197,2.6339893283179054,0.8625902211626257,2.0002672685939036,-0.40395942622510317,1.5138338511179188,False
orig,kfold_01,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.8049936999999999,0.734958,0.6845147390811851,1.4712385898416431,-0.01261992529552769,1.8366005928358724,-0.42351315506254095,0.9915689206444533,False
orig,kfold_02,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.8161708750000001,0.505032,2.261053705564312,12.661045461739123,7.136917518479095,1.2377219147789869,-0.21800170887959835,4.045509969914242,False
