config,path_id,strategy,display_strategy,basis,status,capacity_infeasible,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
orig,0,orig E1 capped,E1 capped,gross,ok,True,0.566328,1.061497575581162,2.886772865698367,0.9430206625943633,1.0756041174981712,-0.7309165244311097,27.69408973828446,False
orig,0,orig GM paper,GM paper,gross,ok,False,0.9971270000000001,0.8641734668169022,1.9172296068487393,0.38966783439091834,1.6111375379098536,-0.9789612688182878,5.182687543959905,False
orig,0,orig Equal premium capped,Equal premium capped,gross,ok,True,0.663429,0.5401552947517212,1.139832418175551,0.05601309799444021,1.2106447578962978,-0.8209730481231491,1.3132473238657332,False
orig,0,orig Equal risk capped,Equal risk capped,gross,ok,True,0.652759,0.5538304016019553,1.1608691103983806,0.08624500442435479,1.168673301015054,-0.8003372322541719,1.5123035124197886,False
orig,0,orig E1 capped,E1 capped,full_cost_net,ok,True,0.566328,0.8844130630958275,2.235600952957477,0.6129402765964032,1.07455535563137,-0.7844206915592081,10.916701462849268,False
orig,0,orig GM paper,GM paper,full_cost_net,ok,False,0.9971270000000001,-1.194364540233433,-1.2804522240753198,-1.0,2.3977115401152997,-1.0,0.0,True
orig,0,orig Equal premium capped,Equal premium capped,full_cost_net,ok,True,0.663429,0.3603984406628363,0.7127165030163127,-0.159063766932249,1.2117251138370964,-0.8517332758831379,0.42054776158958634,False
orig,0,orig Equal risk capped,Equal risk capped,full_cost_net,ok,True,0.652759,0.36988745662925243,0.7258437964189176,-0.13184444124547756,1.1700093681565003,-0.8338014251079626,0.49315989538211497,False
orig,1,orig E1 capped,E1 capped,gross,ok,True,0.560994,0.929214756014934,2.5208961369480205,0.7165592947337549,1.1044277680469186,-0.7426665145713527,14.903698244338614,False
orig,1,orig GM paper,GM paper,gross,ok,False,0.997097,0.6471475676661027,1.1817095423576274,-0.07079365630667045,1.400404046424805,-0.9723388421595268,0.692724950567784,False
orig,1,orig Equal premium capped,Equal premium capped,gross,ok,True,0.663429,0.5401552947517212,1.139832418175551,0.05601309799444021,1.2106447578962978,-0.8209730481231491,1.3132473238657332,False
orig,1,orig Equal risk capped,Equal risk capped,gross,ok,True,0.652759,0.5538304016019553,1.1608691103983806,0.08624500442435479,1.168673301015054,-0.8003372322541719,1.5123035124197886,False
orig,1,orig E1 capped,E1 capped,full_cost_net,ok,True,0.560994,0.759567042265738,1.9150170419094708,0.4268876837951052,1.102304099459632,-0.8032198911032289,5.91492097579835,False
orig,1,orig GM paper,GM paper,full_cost_net,ok,False,0.997097,-1.3735293371939934,-1.289901016805476,-1.0,8.4828759557836,-1.0,0.0,True
orig,1,orig Equal premium capped,Equal premium capped,full_cost_net,ok,True,0.663429,0.3603984406628363,0.7127165030163127,-0.159063766932249,1.2117251138370964,-0.8517332758831379,0.42054776158958634,False
orig,1,orig Equal risk capped,Equal risk capped,full_cost_net,ok,True,0.652759,0.36988745662925243,0.7258437964189176,-0.13184444124547756,1.1700093681565003,-0.8338014251079626,0.49315989538211497,False
orig,2,orig E1 capped,E1 capped,gross,ok,True,0.598855,1.0287523533195988,2.645116861902455,0.8849442102353415,1.1596073909504816,-0.7616023739090827,23.795372258464276,False
orig,2,orig GM paper,GM paper,gross,ok,False,0.9934820000000001,1.0239440189302091,2.0763313728123514,0.6883385882260966,0.855732352930352,-0.8253440035413884,13.71821905665594,False
orig,2,orig Equal premium capped,Equal premium capped,gross,ok,True,0.663429,0.5401552947517212,1.139832418175551,0.05601309799444021,1.2106447578962978,-0.8209730481231491,1.3132473238657332,False
orig,2,orig Equal risk capped,Equal risk capped,gross,ok,True,0.652759,0.5538304016019553,1.1608691103983806,0.08624500442435479,1.168673301015054,-0.8003372322541719,1.5123035124197886,False
orig,2,orig E1 capped,E1 capped,full_cost_net,ok,True,0.598855,0.8510874931162363,2.0460553487042494,0.537963769912084,1.1584548681784026,-0.8158655138731086,8.604596789867035,False
orig,2,orig GM paper,GM paper,full_cost_net,ok,False,0.9934820000000001,-1.3136769933938544,-1.2380093427421759,-1.0,12.296578769091374,-1.0,0.0,True
orig,2,orig Equal premium capped,Equal premium capped,full_cost_net,ok,True,0.663429,0.3603984406628363,0.7127165030163127,-0.159063766932249,1.2117251138370964,-0.8517332758831379,0.42054776158958634,False
orig,2,orig Equal risk capped,Equal risk capped,full_cost_net,ok,True,0.652759,0.36988745662925243,0.7258437964189176,-0.13184444124547756,1.1700093681565003,-0.8338014251079626,0.49315989538211497,False
orig,3,orig E1 capped,E1 capped,gross,ok,True,0.596166,0.9256959606899552,2.390025025303391,0.7026587578796528,1.199209699193732,-0.7853476617763855,14.309948901674984,False
orig,3,orig GM paper,GM paper,gross,ok,False,0.995329,0.6584754822045069,1.105141321550609,-1.0,1.4337616492264411,-1.0,0.0,True
orig,3,orig Equal premium capped,Equal premium capped,gross,ok,True,0.663429,0.5401552947517212,1.139832418175551,0.05601309799444021,1.2106447578962978,-0.8209730481231491,1.3132473238657332,False
orig,3,orig Equal risk capped,Equal risk capped,gross,ok,True,0.652759,0.5538304016019553,1.1608691103983806,0.08624500442435479,1.168673301015054,-0.8003372322541719,1.5123035124197886,False
orig,3,orig E1 capped,E1 capped,full_cost_net,ok,True,0.596166,0.7523676203543868,1.7914574242282137,0.3813240399359883,1.2002713312816888,-0.8406019266501785,5.02895617202616,False
orig,3,orig GM paper,GM paper,full_cost_net,ok,False,0.995329,-1.5207218418136237,-1.4034494481632238,-1.0,11.134141489072702,-1.0,0.0,True
orig,3,orig Equal premium capped,Equal premium capped,full_cost_net,ok,True,0.663429,0.3603984406628363,0.7127165030163127,-0.159063766932249,1.2117251138370964,-0.8517332758831379,0.42054776158958634,False
orig,3,orig Equal risk capped,Equal risk capped,full_cost_net,ok,True,0.652759,0.36988745662925243,0.7258437964189176,-0.13184444124547756,1.1700093681565003,-0.8338014251079626,0.49315989538211497,False
orig,4,orig E1 capped,E1 capped,gross,ok,True,0.5682029999999999,1.0723628305649657,2.9615040057974023,0.9777209528301822,1.1009268089063362,-0.7609339645587223,30.25694482654301,False
orig,4,orig GM paper,GM paper,gross,ok,False,1.002116,0.7404407541409183,1.3641169151395285,0.2172243842273709,1.2143013989098554,-0.9002310120674721,2.6721031512677205,False
orig,4,orig Equal premium capped,Equal premium capped,gross,ok,True,0.663429,0.5401552947517212,1.139832418175551,0.05601309799444021,1.2106447578962978,-0.8209730481231491,1.3132473238657332,False
orig,4,orig Equal risk capped,Equal risk capped,gross,ok,True,0.652759,0.5538304016019553,1.1608691103983806,0.08624500442435479,1.168673301015054,-0.8003372322541719,1.5123035124197886,False
orig,4,orig E1 capped,E1 capped,full_cost_net,ok,True,0.5682029999999999,0.8975267852459192,2.2903301007131613,0.6372238180964427,1.100132555672729,-0.8014799402000921,11.763600587196734,False
orig,4,orig GM paper,GM paper,full_cost_net,ok,False,1.002116,-1.3430408987875788,-1.2635869181294166,-1.0,8.795740489660279,-1.0,0.0,True
orig,4,orig Equal premium capped,Equal premium capped,full_cost_net,ok,True,0.663429,0.3603984406628363,0.7127165030163127,-0.159063766932249,1.2117251138370964,-0.8517332758831379,0.42054776158958634,False
orig,4,orig Equal risk capped,Equal risk capped,full_cost_net,ok,True,0.652759,0.36988745662925243,0.7258437964189176,-0.13184444124547756,1.1700093681565003,-0.8338014251079626,0.49315989538211497,False
orig,5,orig E1 capped,E1 capped,gross,ok,True,0.5581210000000001,1.07880417582192,2.983385649505938,0.9759295308543503,1.0663245536390396,-0.7317876033675175,30.120158970814586,False
orig,5,orig GM paper,GM paper,gross,ok,False,0.9860359999999999,0.8825710576153767,1.741313630241861,0.3344832156758293,1.3962454583936867,-0.9715762145607675,4.23219411854952,False
orig,5,orig Equal premium capped,Equal premium capped,gross,ok,True,0.663429,0.5401552947517212,1.139832418175551,0.05601309799444021,1.2106447578962978,-0.8209730481231491,1.3132473238657332,False
orig,5,orig Equal risk capped,Equal risk capped,gross,ok,True,0.652759,0.5538304016019553,1.1608691103983806,0.08624500442435479,1.168673301015054,-0.8003372322541719,1.5123035124197886,False
orig,5,orig E1 capped,E1 capped,full_cost_net,ok,True,0.5581210000000001,0.9073838167347663,2.3342952862202075,0.6530891821419855,1.0648227251821993,-0.7835085588023563,12.344724988138092,False
