Variant,Sharpe,Monthly Sharpe,Probabilistic Sharpe,Deflated Sharpe,DSR trials,Reality check p,Centered max stat,Centered max p95,N,Block size,Seed
orig E1 capped::gross,0.9745724766412073,0.28133484086680066,0.9931743766426708,0.256441652972471,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
orig GM paper::gross,0.8310207544837264,0.23989502815167268,0.9768995461993278,0.16735755057919016,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
orig Equal premium capped::gross,0.529832586379347,0.15294949318577583,0.9002311256418372,0.04429269115563102,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
orig Equal risk capped::gross,0.5502969397744109,0.1588570431564917,0.9078710300622188,0.04972006759307873,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
orig+VIX E1 capped::gross,1.6748372792288577,0.48348387700580076,0.99997964078832,0.860407947320947,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
orig+VIX GM paper::gross,1.3579244340264818,0.39199901876217974,0.9994058083490431,0.6171023185915048,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
orig+VIX Equal premium capped::gross,-0.638498849214457,-0.1843187412356165,0.10698289535348943,0.0001348195303948158,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
orig+VIX Equal risk capped::gross,-0.7371639059990819,-0.21280088978272296,0.07828426246940257,7.63598090436664e-05,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
larger E1 capped::gross,0.8468060222361324,0.24445184244471366,0.9848585270148758,0.16148817562102735,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
larger GM paper::gross,0.420143563818128,0.12128499983434246,0.820008388228999,0.038252010230099276,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
larger Equal premium capped::gross,0.695609655903283,0.2008052110433317,0.9613105664036565,0.08616459173586843,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
larger Equal risk capped::gross,0.8277659908882172,0.23895545883266478,0.9831334426304239,0.14921496902510228,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
larger Stock Markowitz::gross,0.11541480883429939,0.03331738547447598,0.5938600109134312,0.010726440674319774,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
larger+VIX E1 capped::gross,2.0096858991318056,0.5801463474251716,0.9999992265836899,0.9683220929188039,18,0.001,4.4937942838815035,2.8932201548271745,60,8,20260625
