config,strategy,deployable,mode,solver_status,capacity_infeasible,sum_of_caps,deployed_gross,gross_sharpe,net_sharpe,gross_sortino,net_sortino,gross_max_drawdown,net_max_drawdown
orig,E1 capped,False,hard,optimal,True,0.7385426750000001,0.5365341541235149,0.961297249207214,0.7197911142808208,2.3708812995471606,1.6290124028017532,-0.6220413025687483,-0.6639381329966051
orig,GM paper,True,uncapped,optimal,False,,0.9999997389333717,0.842119975714547,-1.4425864873430645,1.7700665733637684,-1.3471891109129401,-0.8762203769907893,-1.0
orig,Equal premium capped,False,relaxed,reference,True,0.7385426750000001,0.7016155412500003,0.5339601177891414,0.34997817375459306,1.11746687548247,0.6854784979307192,-0.8428155558203589,-0.8724201208400763
orig,Equal risk capped,False,relaxed,reference,True,0.7385426750000001,0.7016155412500003,0.550219061257353,0.32699152626591693,1.1507345767471375,0.6315806090091387,-0.8291291830125821,-0.8651588325675786
orig+VIX,E1 capped,True,hard,optimal,False,1.093102425,0.7726660742172274,1.6133127081844079,1.2870041142043245,4.626865636661497,3.255719812427146,-0.4254781576283193,-0.4870776533301582
orig+VIX,GM paper,True,uncapped,optimal,False,,0.999999895343944,1.37438921243636,-1.195691461497669,3.385255799771129,-1.1453500582447502,-0.6127681933535469,-1.0
orig+VIX,Equal premium capped,True,hard,reference,False,1.093102425,1.0000000000000002,-0.578003225870255,-0.8528990866914381,-0.8564107370388542,-1.1647204123782016,-0.9999862499993203,-0.9999991889042019
orig+VIX,Equal risk capped,True,hard,reference,False,1.093102425,1.0000000000000002,-0.673402063175249,-0.9770721749758123,-0.9634324452438938,-1.2802636863797066,-0.9999811720579366,-0.9999989444727657
larger,E1 capped,True,hard,optimal,False,1.1602636,0.6381999174222109,0.8102477675285302,0.5512580807877274,1.9527822392721808,1.1963355141987568,-0.6470604506591484,-0.7627564574961629
larger,GM paper,True,uncapped,optimal,False,,0.9999998193688079,0.4562219234084395,-1.9905397937377387,0.6871977212374637,-1.7368694161208078,-0.6914779571306935,-1.0
larger,Equal premium capped,True,hard,reference,False,1.1602636,0.9999999999999998,0.6895406396928403,0.47513087577371504,1.6567701287626098,1.0447722543745295,-0.9037311740526195,-0.9642970443478619
larger,Equal risk capped,True,hard,reference,False,1.1602636,1.0,0.8151652010784312,0.5500093125635136,1.982558699321539,1.2115684665026418,-0.8182041024441769,-0.9272858597992223
larger+VIX,E1 capped,True,hard,optimal,False,1.5148233500000001,0.9059879252869254,1.91472662651322,1.498568085467288,5.9952820657263235,4.0044779077430475,-0.3615755422989221,-0.4079057428297741
larger+VIX,GM paper,True,uncapped,optimal,False,,0.9999996047636934,0.7646532722533435,-1.8365427983378941,1.3903988077437934,-1.6334405325055623,-0.518433058865656,-1.0
larger+VIX,Equal premium capped,True,hard,reference,False,1.5148233500000001,1.0,0.3170703814082353,0.07315945121517858,0.67004828131815,0.14052124597018814,-0.9705302294840794,-0.9920601868328263
larger+VIX,Equal risk capped,True,hard,reference,False,1.5148233500000001,1.0,0.5318138872348496,0.2663982516059365,1.1900875891110516,0.5400379176284344,-0.898240197639303,-0.9660432008045388
