config,return_date,strategy,display_strategy,train_start,train_end,status,solver_status,capacity_infeasible,deployed_gross,gross_ret,net_ret
orig,2021-01-29,orig E1 capped,E1 capped,2017-11-30,2020-12-31,ok,optimal,True,0.512482,0.09877692977905274,0.0893457353451723
orig,2021-01-29,orig GM paper,GM paper,2017-11-30,2020-12-31,ok,optimal,False,1.001462,-0.13672918371581969,-0.1788157025603692
orig,2021-01-29,orig Equal premium capped,Equal premium capped,2017-11-30,2020-12-31,ok,reference,True,0.679359,0.027552997711181526,0.016217620272468255
orig,2021-01-29,orig Equal risk capped,Equal risk capped,2017-11-30,2020-12-31,ok,reference,True,0.6580190000000001,0.048892997711181524,0.03781579340508906
orig,2021-02-26,orig E1 capped,E1 capped,2017-12-29,2021-01-29,ok,optimal,False,0.5856030000000001,-0.12724500598144534,-0.1426376725854361
orig,2021-02-26,orig GM paper,GM paper,2017-12-29,2021-01-29,ok,optimal,False,1.002931,-0.12291703961181641,-0.17211469888239136
orig,2021-02-26,orig Equal premium capped,Equal premium capped,2017-12-29,2021-01-29,ok,reference,False,0.9558760000000001,-0.34819095501708985,-0.37097568851403506
orig,2021-02-26,orig Equal risk capped,Equal risk capped,2017-12-29,2021-01-29,ok,reference,False,0.944385,-0.36774994433593755,-0.3894741893383412
orig,2021-03-31,orig E1 capped,E1 capped,2018-01-31,2021-02-26,ok,optimal,False,0.5795089999999999,-0.23835201245117194,-0.25401815412324513
orig,2021-03-31,orig GM paper,GM paper,2018-01-31,2021-02-26,ok,optimal,False,0.9979819999999999,-0.10249985607910182,-0.2372752368846941
orig,2021-03-31,orig Equal premium capped,Equal premium capped,2018-01-31,2021-02-26,ok,reference,False,0.9527620000000001,-0.49444811972045866,-0.5172556303049174
orig,2021-03-31,orig Equal risk capped,Equal risk capped,2018-01-31,2021-02-26,ok,reference,False,0.942984,-0.4871741175231931,-0.509911435460575
orig,2021-04-30,orig E1 capped,E1 capped,2018-02-28,2021-03-31,ok,optimal,True,0.48823700000000003,0.5610570457153323,0.5515878566379151
orig,2021-04-30,orig GM paper,GM paper,2018-02-28,2021-03-31,ok,optimal,False,0.999084,0.32590597393798826,0.16016729049996262
orig,2021-04-30,orig Equal premium capped,Equal premium capped,2018-02-28,2021-03-31,ok,reference,True,0.590661,0.6218290114135745,0.6109290033155603
orig,2021-04-30,orig Equal risk capped,Equal risk capped,2018-02-28,2021-03-31,ok,reference,True,0.588417,0.5821410137329105,0.571339010791658
orig,2021-06-30,orig E1 capped,E1 capped,2018-04-30,2021-04-30,ok,optimal,True,0.564133,-0.02565307867431596,-0.036645858152708925
orig,2021-06-30,orig GM paper,GM paper,2018-04-30,2021-04-30,ok,optimal,False,0.9970659999999999,-0.23825610562133778,-1.8835068628137934
orig,2021-06-30,orig Equal premium capped,Equal premium capped,2018-04-30,2021-04-30,ok,reference,True,0.7334320000000001,0.1257458198242195,0.11239534187696058
orig,2021-06-30,orig Equal risk capped,Equal risk capped,2018-04-30,2021-04-30,ok,reference,True,0.7294799999999999,0.12969781982421952,0.11642093116117551
orig,2021-07-30,orig E1 capped,E1 capped,2018-05-31,2021-06-30,ok,optimal,True,0.463492,0.042067032226562495,0.03200207784983853
orig,2021-07-30,orig GM paper,GM paper,2018-05-31,2021-06-30,ok,optimal,False,0.984356,0.22197099169921874,0.034263476390523184
orig,2021-07-30,orig Equal premium capped,Equal premium capped,2018-05-31,2021-06-30,ok,reference,True,0.597013,0.033923060607910144,0.021714494548362127
orig,2021-07-30,orig Equal risk capped,Equal risk capped,2018-05-31,2021-06-30,ok,reference,True,0.59517,0.05854308697509768,0.04617828332426861
orig,2021-08-31,orig E1 capped,E1 capped,2018-06-29,2021-07-30,ok,optimal,True,0.5105120000000001,-0.12236803421020505,-0.13450885288868528
orig,2021-08-31,orig GM paper,GM paper,2018-06-29,2021-07-30,ok,optimal,False,0.989864,0.25792091343688966,0.1892439861054101
orig,2021-08-31,orig Equal premium capped,Equal premium capped,2018-06-29,2021-07-30,ok,reference,True,0.608838,-0.23002001921081544,-0.2432383804545697
orig,2021-08-31,orig Equal risk capped,Equal risk capped,2018-06-29,2021-07-30,ok,reference,True,0.592711,-0.2138930192108154,-0.22686086725116364
orig,2021-09-30,orig E1 capped,E1 capped,2018-07-31,2021-08-31,ok,optimal,True,0.484393,-0.22202297711181634,-0.23260287728944154
orig,2021-09-30,orig GM paper,GM paper,2018-07-31,2021-08-31,ok,optimal,False,1.0054120000000002,-0.13165108447265628,-0.7578641309687414
orig,2021-09-30,orig Equal premium capped,Equal premium capped,2018-07-31,2021-08-31,ok,reference,True,0.514099,-0.2733989771118163,-0.2839118108844606
orig,2021-09-30,orig Equal risk capped,Equal risk capped,2018-07-31,2021-08-31,ok,reference,True,0.508221,-0.2675209771118163,-0.2778538995032999
orig,2021-10-29,orig E1 capped,E1 capped,2018-08-31,2021-09-30,ok,optimal,True,0.503004,0.15846098992919924,0.14879845688759807
orig,2021-10-29,orig GM paper,GM paper,2018-08-31,2021-09-30,ok,optimal,False,1.00639,0.2689288818969726,0.16438865688327026
orig,2021-10-29,orig Equal premium capped,Equal premium capped,2018-08-31,2021-09-30,ok,reference,True,0.6537470000000001,-0.03494992144775391,-0.047542820249079576
orig,2021-10-29,orig Equal risk capped,Equal risk capped,2018-08-31,2021-09-30,ok,reference,True,0.6523559999999999,-0.00085289727783203,-0.013188896549817943
orig,2021-11-30,orig E1 capped,E1 capped,2018-09-28,2021-10-29,ok,optimal,False,0.657553,0.06395972979736325,0.05153598266555386
orig,2021-11-30,orig GM paper,GM paper,2018-09-28,2021-10-29,ok,optimal,False,1.0083950000000002,0.40191080371093746,0.3761057395909371
orig,2021-11-30,orig Equal premium capped,Equal premium capped,2018-09-28,2021-10-29,ok,reference,False,0.952693,0.4253921948852538,0.4090497630049766
orig,2021-11-30,orig Equal risk capped,Equal risk capped,2018-09-28,2021-10-29,ok,reference,False,0.9480599999999999,0.43743718829345696,0.42124918093937214
orig,2021-12-31,orig E1 capped,E1 capped,2018-10-31,2021-11-30,ok,optimal,False,0.531718,-0.21222499838256834,-0.2222542520711959
orig,2021-12-31,orig GM paper,GM paper,2018-10-31,2021-11-30,ok,optimal,False,0.98803,-0.10793909851074218,-0.14042426685965725
orig,2021-12-31,orig Equal premium capped,Equal premium capped,2018-10-31,2021-11-30,ok,reference,False,0.963336,-0.18769790872192382,-0.20533183199979674
orig,2021-12-31,orig Equal risk capped,Equal risk capped,2018-10-31,2021-11-30,ok,reference,False,0.9477070000000001,-0.1854849060363769,-0.20292950085510364
orig,2022-01-31,orig E1 capped,E1 capped,2018-11-30,2021-12-31,ok,optimal,False,0.6674599999999999,-0.01569308166503907,-0.03096918338004652
orig,2022-01-31,orig GM paper,GM paper,2018-11-30,2021-12-31,ok,optimal,False,1.001628,-0.7092037886962884,-0.7707275941849285
orig,2022-01-31,orig Equal premium capped,Equal premium capped,2018-11-30,2021-12-31,ok,reference,False,0.9517869999999999,0.6239677127685546,0.6034709184548778
orig,2022-01-31,orig Equal risk capped,Equal risk capped,2018-11-30,2021-12-31,ok,reference,False,0.943813,0.5477997449951171,0.5269177283163717
orig,2022-02-28,orig E1 capped,E1 capped,2018-12-31,2022-01-31,ok,optimal,False,0.628863,-0.18027900973510733,-0.19387649788337968
orig,2022-02-28,orig GM paper,GM paper,2018-12-31,2022-01-31,ok,optimal,False,1.005657,-0.07155297099304193,-0.21080327816660505
orig,2022-02-28,orig Equal premium capped,Equal premium capped,2018-12-31,2022-01-31,ok,reference,False,0.951983,-0.1872560123748778,-0.20610379693944123
orig,2022-02-28,orig Equal risk capped,Equal risk capped,2018-12-31,2022-01-31,ok,reference,False,0.953648,-0.1861290079803465,-0.205402688910476
orig,2022-04-29,orig E1 capped,E1 capped,2019-01-31,2022-02-28,ok,optimal,False,0.6724190000000001,-0.15931000909423831,-0.17460514318634252
