Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
larger Equal premium capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,1.7916789163019922,1.7706615069785943,1.240922917397318,3.5403433554853057,-0.7374293742100004,0.4229548556935658,0.4417088952061473,169.56153254580278,False,6
larger Equal premium capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,-0.3385481734766109,1.6609432734915468,0.4099364707251415,0.8576796125796694,-0.9575471280363782,0.4565906953576144,0.48832483706165714,0.12661673203609966,False,6
larger Equal premium capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,-0.4224339222775886,1.543989913574227,0.24795227823022725,0.5140451287069899,-0.9702381473604238,0.4549204773731911,0.4632715672953076,0.06427001320319467,False,6
larger Equal premium capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,-0.300524414493902,1.372937260547582,0.2902923168300219,0.5920202332652222,-0.9496164531507377,0.4243748665033066,0.4636783269461404,0.16744138297988537,False,6
larger Equal premium capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,-0.03689387546334866,1.4483092290346895,0.5507940288078128,1.203074937425355,-0.8918489002627499,0.4243748665033066,0.4648667954410768,0.8286492145966644,False,6
larger Equal premium capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,1.203635507325553,1.8445147002399445,1.0720422468808262,3.3672474206377645,-0.7812758795153373,0.3978639896588418,0.4175094767249079,51.96354936652954,False,6
larger Equal premium capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,0.15264486346281347,1.446190909924714,0.6687754271545676,1.5243911137758681,-0.9452537842945086,0.399118532960578,0.44307680165171304,2.034593235910221,False,6
larger Equal premium capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,-0.6279877328063241,0.9538329022777068,-0.5291084442502788,-0.7306796141185871,-0.990455845177065,0.4094239899109005,0.42340101723672774,0.007125023570959416,False,6
larger Equal premium capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,0.1268014549214007,1.2468444344532208,0.5982640667577646,1.2854139213237101,-0.9106481144377603,0.36828328130689997,0.4234010172367277,1.8165066636696707,False,6
larger Equal premium capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.6936356956420204,1.3654090314993699,-0.27815924960126004,-0.48640055007078764,-0.9972146401775848,0.45153334216262253,0.454920477373191,0.002698924981659376,False,6
larger Equal premium capped,Full-cost net,10,circular_block_bootstrap,60,ok,60,-0.31277456248159974,1.4182464932254286,0.307212470431639,0.6160132863131939,-0.9723588637960842,0.4549204773731911,0.4716226572174241,0.15328375550872095,False,6
larger Equal premium capped,Full-cost net,11,circular_block_bootstrap,60,ok,60,-0.16062956897729042,1.6558775543677673,0.476236785118166,1.1580604813230613,-0.9701796157891266,0.4094239899109005,0.42328947685093726,0.416647068049629,False,6
larger Equal premium capped,Full-cost net,12,circular_block_bootstrap,60,ok,60,-0.4984078988271088,1.1181757446648575,-0.09415118102340139,-0.15448847202435637,-0.9887957163213128,0.4513550718883821,0.46148886455290306,0.031750710204372444,False,6
larger Equal premium capped,Full-cost net,13,circular_block_bootstrap,60,ok,60,0.0033575924871387386,1.5692781221510876,0.590900638958653,1.4424537318938557,-0.9163317598438919,0.4243748665033066,0.45254354038331845,1.0169010758604162,False,6
larger Equal premium capped,Full-cost net,14,circular_block_bootstrap,60,ok,60,-0.3988902730840522,1.481800178483536,0.25508198068551413,0.5015980267903116,-0.9675811178324503,0.4513550718883821,0.46059751318170084,0.07848176799259267,False,6
larger Equal premium capped,Full-cost net,15,circular_block_bootstrap,60,ok,60,-0.31729732368954056,1.6625389289094201,0.38508319982466666,0.8657430593082349,-0.9528724249935295,0.45153334216262253,0.4660552639360131,0.14830576274394502,False,6
larger Equal premium capped,Full-cost net,16,circular_block_bootstrap,60,ok,60,-0.6803040362424482,1.3761763839560486,-0.24086894957197158,-0.42632065268883096,-0.9977301877678201,0.4549204773731911,0.4549204773731911,0.0033395332059824433,False,6
larger Equal premium capped,Full-cost net,17,circular_block_bootstrap,60,ok,60,0.25212473813132785,1.5190944903459862,0.759714495419565,1.7267952568418559,-0.8606623180235131,0.45153334216262253,0.4771900504988351,3.077782881337023,False,6
larger Equal premium capped,Full-cost net,18,circular_block_bootstrap,60,ok,60,-0.19185786184037257,1.7166129164042354,0.5099662053086802,1.1594605407276886,-0.9156515555466122,0.4262233547619703,0.48832483706165714,0.34469799854617733,False,6
larger Equal premium capped,Full-cost net,19,circular_block_bootstrap,60,ok,60,0.03429982772004858,1.3833905868146912,0.5514321331158321,1.243682882290498,-0.8883934539800117,0.3978639896588418,0.4184008280961101,1.1836744183849366,False,6
larger Equal premium capped,Full-cost net,20,circular_block_bootstrap,60,ok,60,0.6830405205560346,1.314075890641041,0.9587672416761905,2.0953274383405556,-0.754031242280223,0.4513550718883821,0.4698399544750196,13.5043243519585,False,6
larger Equal premium capped,Full-cost net,21,circular_block_bootstrap,60,ok,60,-0.34317690886000374,1.662793505989681,0.35598784695736213,0.7894581907229171,-0.9089225180615705,0.4243748665033066,0.47600158200389875,0.12224808417268072,False,6
larger Equal premium capped,Full-cost net,22,circular_block_bootstrap,60,ok,60,0.06365532593385947,1.332421671828207,0.586214396464504,1.2998345345081959,-0.8835881890925613,0.41152054400977456,0.45254354038331845,1.3614590876837254,False,6
larger Equal premium capped,Full-cost net,23,circular_block_bootstrap,60,ok,60,0.06163795649166581,1.3460752452556555,0.5823450850386184,1.290158722251889,-0.8562407234871687,0.424553136777547,0.454920477373191,1.3485969924613002,False,6
