Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
larger Equal premium capped,Gross before costs,0,circular_block_bootstrap,60,ok,60,2.9377001638697324,1.8393123097144701,1.4341198193232234,4.4435207538084125,-0.6841856959073167,0.40911645223046145,0.43172402048451197,946.7018342387886,False,6
larger Equal premium capped,Gross before costs,1,circular_block_bootstrap,60,ok,60,-0.12406104581174815,1.7405170908228804,0.590271938517138,1.3395564477491038,-0.8989772280939062,0.4537547032220524,0.4788361169139601,0.5156668366864455,False,6
larger Equal premium capped,Gross before costs,2,circular_block_bootstrap,60,ok,60,-0.23534903985347766,1.6067738228318267,0.43848974058200646,0.9882481664028229,-0.8920813592526254,0.44107332939575555,0.45051402627530673,0.2614063848221076,False,6
larger Equal premium capped,Gross before costs,3,circular_block_bootstrap,60,ok,60,-0.05279428259123464,1.4443703950868036,0.5225239552598603,1.1671037488997111,-0.8999206406271514,0.41639638352042585,0.4612351248494635,0.7624678816799445,False,6
larger Equal premium capped,Gross before costs,4,circular_block_bootstrap,60,ok,60,0.29358958153070613,1.5187060946345765,0.7588272939743971,1.8158612590841106,-0.876979997695526,0.41582831854935287,0.4574480250423103,3.6222844015351963,False,6
larger Equal premium capped,Gross before costs,5,circular_block_bootstrap,60,ok,60,1.980416146650581,1.924560005926681,1.2352663015910565,4.229916321177665,-0.7672818243272637,0.39005070662205865,0.41041312357294846,235.17141798640858,False,6
larger Equal premium capped,Gross before costs,6,circular_block_bootstrap,60,ok,60,0.5744951933998468,1.5110683593770313,0.8868993896320932,2.2090391464635406,-0.9314042296175264,0.3910039939024788,0.4342081368144774,9.676241430144353,False,6
larger Equal premium capped,Gross before costs,7,circular_block_bootstrap,60,ok,60,-0.5216018914058886,1.0023927656384914,-0.23121292916387626,-0.34507752333578645,-0.9664680570775479,0.4144996337679633,0.4271446321177139,0.025058049899372895,False,6
larger Equal premium capped,Gross before costs,8,circular_block_bootstrap,60,ok,60,0.4833201046274993,1.30829644194614,0.8243906944098021,1.907573716810338,-0.8694288680376226,0.3694686548001654,0.4271446321177139,7.180826200934107,False,6
larger Equal premium capped,Gross before costs,9,circular_block_bootstrap,60,ok,60,-0.6101770523605634,1.4280330759155546,-0.07640370749104063,-0.14436908274396423,-0.9910750796844509,0.44107332939575555,0.4439136542511205,0.009001958477102676,False,6
larger Equal premium capped,Gross before costs,10,circular_block_bootstrap,60,ok,60,-0.10276663707435996,1.482726370963926,0.5070698409230473,1.099424391797654,-0.9625863418504184,0.44164139436682853,0.4700356208817118,0.5814696755167621,False,6
larger Equal premium capped,Gross before costs,11,circular_block_bootstrap,60,ok,60,0.09488016209394345,1.7348516073237856,0.6487895975989236,1.7003358675332132,-0.9464492518593809,0.4093856113073365,0.4271446321177139,1.5733774980758723,False,6
larger Equal premium capped,Gross before costs,12,circular_block_bootstrap,60,ok,60,-0.3557306467861394,1.1809734484143322,0.15351145214948528,0.2747434447435331,-0.9701035768688789,0.44164139436682853,0.4612351248494635,0.11100367723892209,False,6
larger Equal premium capped,Gross before costs,13,circular_block_bootstrap,60,ok,60,0.3304402777095763,1.6430104336334515,0.7753445528428168,2.0760065197119997,-0.8711965730440717,0.41071429608872617,0.448647529010062,4.168472311904782,False,6
larger Equal premium capped,Gross before costs,14,circular_block_bootstrap,60,ok,60,-0.2098385617192733,1.5512492530039077,0.4566700419784779,0.9646025700885972,-0.9356762663288023,0.4524346288172152,0.4590350008414014,0.30802017012919614,False,6
larger Equal premium capped,Gross before costs,15,circular_block_bootstrap,60,ok,60,-0.08195629279964534,1.7397148024842273,0.5737857600846221,1.4052142024855507,-0.8926179313173636,0.44107332939575555,0.45335435113067163,0.6521038889759987,False,6
larger Equal premium capped,Gross before costs,16,circular_block_bootstrap,60,ok,60,-0.5750166932027292,1.4283004965904962,-0.021008760910169372,-0.04035001158957258,-0.9939105522953517,0.44107332939575555,0.44486042920290875,0.013863068118234945,False,6
larger Equal premium capped,Gross before costs,17,circular_block_bootstrap,60,ok,60,0.7077856840650598,1.590250474361532,0.964856142490642,2.394657446691744,-0.7977813551875496,0.4524346288172152,0.46563537286558765,14.526695836972811,False,6
larger Equal premium capped,Gross before costs,18,circular_block_bootstrap,60,ok,60,0.07146958808255577,1.7863116703563306,0.681568650859451,1.6712000098591693,-0.8293610325843903,0.4126024354646364,0.4788361169139601,1.4122098751577352,False,6
larger Equal premium capped,Gross before costs,19,circular_block_bootstrap,60,ok,60,0.4002529458740114,1.443002560410715,0.7736888978214421,1.9051728467597888,-0.8665015016760589,0.39005070662205865,0.40757279871758356,5.383100340320765,False,6
larger Equal premium capped,Gross before costs,20,circular_block_bootstrap,60,ok,60,1.3698467567151456,1.3780470118939936,1.2148955750306456,2.8992805788660485,-0.7009072954590196,0.4524346288172152,0.46563537286558765,74.74829982628535,False,6
larger Equal premium capped,Gross before costs,21,circular_block_bootstrap,60,ok,60,-0.12726453591586329,1.734015181671029,0.5370074250705072,1.287662041115005,-0.8075970040473306,0.41639638352042585,0.4700356208817118,0.5063060542763302,False,6
larger Equal premium capped,Gross before costs,22,circular_block_bootstrap,60,ok,60,0.38978141857916526,1.4048527492468723,0.789252652435255,1.9223568440364232,-0.8614773365272462,0.41582831854935287,0.448647529010062,5.184805919231878,False,6
larger Equal premium capped,Gross before costs,23,circular_block_bootstrap,60,ok,60,0.44263241867623404,1.4009988040722654,0.811911717221846,1.9731112284244845,-0.8333952759606188,0.41071429608872617,0.44107332939575555,6.24853831094079,False,6
larger Equal premium capped,Gross before costs,24,circular_block_bootstrap,60,ok,60,0.8444090394316603,1.6512092019446114,0.9846981665036572,2.6716322079859895,-0.8156097330641279,0.41582831854935287,0.4448604292029088,21.344511024863507,False,6
larger Equal premium capped,Gross before costs,25,circular_block_bootstrap,60,ok,60,-0.15523712304826298,1.5982081574872595,0.4833684091518397,1.13981659267146,-0.8630338353966831,0.41582831854935287,0.4574480250423103,0.4302036619464608,False,6
larger Equal premium capped,Gross before costs,26,circular_block_bootstrap,60,ok,60,0.7131190289427458,1.5952477348108167,0.8956385889776359,2.666607275243048,-0.702788025717521,0.39005070662205865,0.41701349559713474,14.754948424959144,False,6
larger Equal premium capped,Gross before costs,27,circular_block_bootstrap,60,ok,60,0.07075636547597908,1.7394071139774858,0.6551728910529171,1.6520168870188667,-0.8711965730440717,0.41582831854935287,0.4574480250423103,1.4075159482288837,False,6
larger Equal premium capped,Gross before costs,28,circular_block_bootstrap,60,ok,60,0.1101129303341406,1.8241096865066686,0.7140913969370798,1.7829233550695789,-0.8603706707796019,0.41071429608872617,0.4662485210745586,1.6859155105285393,False,6
