Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
larger Equal premium capped,Gross before costs,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.09258174140880815,1.2138048822904464,0.6100509450220322,1.2002268210344664,-0.9668876521211348,0.3372841286154345,0.42685146459118856,1.5569321717830733,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.20708280285056635,1.0599666325049681,0.24786806631115518,0.456840408239506,-0.9754596645735678,0.3233443041386989,0.36108159260647926,0.31342900619736686,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.1654246990799777,1.0937936802160266,0.30510516987199915,0.5927781267975186,-0.9093786828939445,0.33203966879555474,0.3557891294135622,0.40488122524858516,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.18118054397616334,1.16917753173416,0.6697230185673783,1.3006079901716976,-0.9012740941601852,0.37632248871269375,0.4518561623312293,2.299224740424539,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.2822282299756691,1.5737058061673732,0.5154335141328583,0.9543236493007627,-0.9860216632845255,0.4652919439959192,0.5932949781805985,0.19051618115824334,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.5867159434416394,1.2615982155433707,0.9169341008073808,1.977466778043668,-0.8294141073821832,0.33320033314538167,0.39731784090679895,10.057636326089874,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.32852087555780396,1.0717106643175132,0.13077225461043177,0.2200306815433583,-0.9795078246737651,0.381935840781163,0.4558032752705254,0.13650940614340168,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.5490493991492904,1.5466071376277548,0.23174059841737454,0.39691803539962967,-0.9986040286240555,0.5003774862765161,0.6229319304780234,0.018648540565742697,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.6394642245325874,1.069091873337109,-0.4180992744787653,-0.6231969746138813,-0.995715086202212,0.37887044258322206,0.4874103675702565,0.006091746580388024,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.1591939584527301,1.169649565045769,0.40573924194539224,0.7005513332292849,-0.8984938671031624,0.3994761245235051,0.47205650930465975,0.42022232191921804,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.8730660966177279,0.9036698609658091,1.1031991833706,2.6411388561298947,-0.5491589753724624,0.20378913091010623,0.30971988909178183,23.055020620263708,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.05932389441583319,1.727372267699236,0.7899508021058546,1.616345129970954,-0.9789190857622015,0.4790925690778038,0.5575837821537074,1.3339631798733953,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.5706834765653508,1.3878459456416308,0.06322289368294985,0.10380313601800546,-0.9929968963296324,0.4941137456252423,0.5342756252025612,0.014584381601037559,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.2736309392669667,1.4137614238928775,0.41592455436690123,0.7691994070931826,-0.9906154388777858,0.48553588887136023,0.5238825129567822,0.20220257733224356,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.5060216690554695,1.0192317296734312,0.8727072445956531,1.7412534562084472,-0.8940842099781152,0.36799620424012164,0.4026287750297543,7.747402212496577,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.1375002103967533,1.2452598378817044,0.4626349847323036,0.8214596397404105,-0.9852201194992548,0.3952854073049367,0.4768398936471525,0.47730390666670686,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8541059591880237,1.398485302898196,-0.6164506166305062,-0.8730888617914749,-0.999958608341291,0.5230010860931613,0.5438680979873821,6.609791576823509e-05,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,17,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7284584908291213,1.2254755572732685,-0.3767172292770908,-0.5240768732093847,-0.9977148901410944,0.49107408301489347,0.5895216390249367,0.0014763221541219656,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,18,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.42146507809964007,1.2119340717150224,0.8158647953768038,1.7932962025598178,-0.7913009174797694,0.3753416306623867,0.43482174039106186,5.803379523644585,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,19,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.5160588236857593,1.1064884860904682,1.3582195414422522,3.138553741216703,-0.776122142262484,0.3185435256301166,0.39124656284000386,100.83329332652596,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,20,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.1956269298727578,1.359140955830323,1.1890099444864486,2.695857397963607,-0.7847484885321567,0.3940376062738521,0.40885622318812276,51.0261432945756,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,21,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.3302437267821212,1.1780182256047942,0.1845387502618158,0.3296085415978215,-0.9692677824334016,0.3703291196554174,0.40369197058896816,0.13476712090262258,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,22,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.2784272164092376,1.1994987143484679,0.2683170981459885,0.4790539433954441,-0.9748529146385773,0.3535889310582292,0.4475888884876296,0.19561435421984527,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,23,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.10932629157192664,1.4106246369381548,0.7071488644691939,1.3908355775160919,-0.9059443999653649,0.40436492217914105,0.5160915844759252,1.6799506746306812,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,24,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.6767760684014548,1.3230160776620234,-0.2139029525014414,-0.3433081215372852,-0.9980755166408783,0.4485105249151063,0.5482926624989849,0.003527910370157913,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,25,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.22991076127535492,1.234457324459978,0.35107209824099694,0.626935103903389,-0.9680027315326537,0.40855526761934474,0.44013354767642726,0.2708353026877591,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,26,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.16261733507749287,1.4550697692246297,0.8045464701403047,1.518398753152566,-0.9859987991415907,0.5059222217184768,0.5780832404743065,2.1241440769745203,False,insufficient_egarch_obs
larger Equal premium capped,Gross before costs,27,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.2568193279264205,1.2293583584021603,0.311803424189199,0.5631678748598692,-0.9847445050714242,0.38014779565854134,0.4473361523543839,0.22671070742250607,False,insufficient_egarch_obs
