Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
larger GM paper,Full-cost net,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,9.870934857596891,-0.9150039234793107,-1.0384226941221555,-1.0,5.892406442362225,6.332253031892935,0.0,True,insufficient_egarch_obs
larger GM paper,Full-cost net,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.491055263188632,-0.7051010528565798,-0.7948877018428877,-1.0,4.703660293067895,5.601141899038601,0.0,True,insufficient_egarch_obs
larger GM paper,Full-cost net,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.431529012005642,-1.0307646944124529,-1.1245357056428658,-1.0,4.687458027884985,5.3215855657547095,0.0,True,insufficient_egarch_obs
larger GM paper,Full-cost net,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.82034703519782,-0.9982277013486991,-1.1002496455937392,-1.0,4.27118644053355,5.229784480772353,0.0,True,insufficient_egarch_obs
larger GM paper,Full-cost net,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,9.270415062768652,-0.22169876116729703,-0.2887341736619286,-1.0,5.3345292106576325,6.253944141035347,0.0,True,insufficient_egarch_obs
larger GM paper,Full-cost net,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,13.540547369120203,-0.06514848407147712,-0.08824209876284655,-1.0,7.596214727648818,7.8217170107460525,0.0,True,insufficient_egarch_obs
larger GM paper,Full-cost net,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.242437990933961,-1.5227048656961404,-1.5393121848537767,-1.0,4.66959265673368,4.769116953089644,0.0,True,insufficient_egarch_obs
larger GM paper,Full-cost net,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.700612210953286,-0.8574172145166776,-1.0120293740190163,-1.0,3.2167709967643408,5.895067455608438,0.0,True,insufficient_egarch_obs
larger GM paper,Full-cost net,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.8155950494613835,-0.7145799294942727,-0.8120974698679307,-1.0,4.789720512644312,5.105149711428251,0.0,True,insufficient_egarch_obs
larger GM paper,Full-cost net,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,8.144827550837624,-0.7425979440313323,-0.8778817665983466,-1.0,4.673491654028632,5.52151360069804,0.0,True,insufficient_egarch_obs
