Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
larger+VIX Equal premium capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,0.47607050713921173,1.7181460994376487,0.869687270809808,2.1518108206370212,-0.8769382645759131,0.45886465573289004,0.4668745315393541,7.007054802809243,False,6
larger+VIX Equal premium capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,-0.5656764160494194,1.572188597059118,0.12322237764650644,0.23181933431830898,-0.9932822201080495,0.46562503695473134,0.4722571911018908,0.015454930694290067,False,6
larger+VIX Equal premium capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,-0.6469949429259035,1.4690058106684405,-0.09647608403800796,-0.17590584435373485,-0.9965150097441974,0.4581472327942432,0.45978627821407025,0.005481565844376862,False,6
larger+VIX Equal premium capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,-0.6405448168704793,1.282016092394006,-0.23932453170655507,-0.4106017109151038,-0.9949917154840335,0.4592026747939821,0.4833107813471565,0.006001001720807982,False,6
larger+VIX Equal premium capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,-0.4656927001329285,1.345368343936227,0.10152347356601174,0.1882239699324041,-0.9647256344204647,0.4581831039411755,0.47221444874366353,0.04354672897619204,False,6
larger+VIX Equal premium capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,0.2794971243047062,1.812463106321433,0.7730017716782316,2.111363418528159,-0.8827002556883934,0.4340116183046689,0.45476038647139927,3.42922965474912,False,6
larger+VIX Equal premium capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,-0.42543617620824825,1.3534291786024437,0.15482997423406433,0.2938623857395775,-0.9744519871760888,0.4352183990291476,0.46972184735683414,0.06261687510687763,False,6
larger+VIX Equal premium capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,-0.8308737794170087,0.8878932506198812,-1.4105580055885873,-1.5771057961631385,-0.9998069915068899,0.3767571608270567,0.4152226583991608,0.00013837407144899453,False,6
larger+VIX Equal premium capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,-0.4230186940527203,1.1869079561872786,0.038514976569268784,0.07004413187968948,-0.9774396915577919,0.34733041499560424,0.4152226583991608,0.06394531215326583,False,6
larger+VIX Equal premium capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.8262750551875007,1.3123880422690095,-0.7043549641828692,-1.0752553961092115,-0.9998229685751769,0.4581472327942432,0.4666488379815247,0.00015823804619471355,False,6
larger+VIX Equal premium capped,Full-cost net,10,circular_block_bootstrap,60,ok,60,-0.5637963679814688,1.3316221737178222,-0.059995184425239004,-0.10685020111227769,-0.9895799187039843,0.4585211230022676,0.4744679091509439,0.015792336413229035,False,6
larger+VIX Equal premium capped,Full-cost net,11,circular_block_bootstrap,60,ok,60,-0.5669748455601499,1.6675469711035078,0.11056611966866851,0.2345209624721249,-0.9948613107218196,0.4340116183046689,0.45061063283805314,0.015225291851188054,False,6
larger+VIX Equal premium capped,Full-cost net,12,circular_block_bootstrap,60,ok,60,-0.7417574381374115,1.0717120427780127,-0.6871753417483004,-0.9445494340017823,-0.9992906404459735,0.4585211230022676,0.4833107813471565,0.0011485214409085165,False,6
larger+VIX Equal premium capped,Full-cost net,13,circular_block_bootstrap,60,ok,60,-0.4635280915567358,1.4784005157027342,0.1675806354896335,0.3435952689344861,-0.982394363343489,0.4581831039411755,0.48105732093987613,0.04443599697690961,False,6
larger+VIX Equal premium capped,Full-cost net,14,circular_block_bootstrap,60,ok,60,-0.6445310351285762,1.4125354601999238,-0.12880712540373349,-0.2257297240763822,-0.9964631390120667,0.46695146778416324,0.4921536535433691,0.005675556450629484,False,6
larger+VIX Equal premium capped,Full-cost net,15,circular_block_bootstrap,60,ok,60,-0.5930924532750047,1.6159825337968503,0.07900102881878499,0.15616586002656713,-0.9919777480621262,0.45886465573289004,0.46887700049097014,0.011155234979865591,False,6
larger+VIX Equal premium capped,Full-cost net,16,circular_block_bootstrap,60,ok,60,-0.8149990125954943,1.2996491807070494,-0.6685734193679229,-1.0172315714690257,-0.9998403588967248,0.4581831039411755,0.48105732093987613,0.0002167056486711026,False,6
larger+VIX Equal premium capped,Full-cost net,17,circular_block_bootstrap,60,ok,60,-0.34353074237011516,1.412386486261375,0.2934858363851006,0.5692625141229023,-0.9488560450470824,0.46562503695473134,0.47888934524905025,0.12191916082495147,False,6
larger+VIX Equal premium capped,Full-cost net,18,circular_block_bootstrap,60,ok,60,-0.5217743537595525,1.654463354598543,0.1932634173383755,0.39228781312840233,-0.991818757235598,0.4592026747939821,0.4656250369547313,0.02501291536121143,False,6
larger+VIX Equal premium capped,Full-cost net,19,circular_block_bootstrap,60,ok,60,-0.4717129461061049,1.3468386295822175,0.06677987811235213,0.12754704289858385,-0.9654061276401857,0.4340116183046689,0.4462587812841177,0.04114810509492731,False,6
larger+VIX Equal premium capped,Full-cost net,20,circular_block_bootstrap,60,ok,60,-0.15097595571378752,1.2374380784591195,0.40399398295315225,0.7552116816133366,-0.9222829038778706,0.46562503695473134,0.47888934524905025,0.44116388035246407,False,6
larger+VIX Equal premium capped,Full-cost net,21,circular_block_bootstrap,60,ok,60,-0.6481974525230383,1.6296196441706017,-0.0025253339296788606,-0.0048970289527010555,-0.9941547445672749,0.4592026747939821,0.4744679091509439,0.005388835168263674,False,6
larger+VIX Equal premium capped,Full-cost net,22,circular_block_bootstrap,60,ok,60,-0.46634103086549683,1.2411832123935895,0.03390362224331973,0.06161506238187613,-0.9748842449031124,0.4014549493566019,0.4808181799603271,0.043283170435266534,False,6
larger+VIX Equal premium capped,Full-cost net,23,circular_block_bootstrap,60,ok,60,-0.4142900255348416,1.2422276693248033,0.09619131319878377,0.17796446482903946,-0.9780014809702385,0.4581472327942432,0.45832658852890495,0.06893076525667516,False,6
larger+VIX Equal premium capped,Full-cost net,24,circular_block_bootstrap,60,ok,60,-0.2955180106145584,1.5243331211410043,0.36527688900581806,0.7726352059649098,-0.9620549188155522,0.4581472327942432,0.46682819371618633,0.17351997346898979,False,6
larger+VIX Equal premium capped,Full-cost net,25,circular_block_bootstrap,60,ok,60,-0.6206803985949275,1.479502818621069,-0.06455175275263592,-0.1235875813836757,-0.9909557722386401,0.4352183990291476,0.4719753077641145,0.007852834191007014,False,6
larger+VIX Equal premium capped,Full-cost net,26,circular_block_bootstrap,60,ok,60,-0.24884893445734235,1.4578513284889791,0.3361248285321998,0.7748683377497999,-0.9333910234954415,0.39847114496514713,0.43035799565447896,0.23913130738535013,False,6
larger+VIX Equal premium capped,Full-cost net,27,circular_block_bootstrap,60,ok,60,-0.54312846053414,1.6434839316731997,0.13697179703586754,0.28679293532846456,-0.9907943350802013,0.4581831039411755,0.47221444874366353,0.019905382343157894,False,6
larger+VIX Equal premium capped,Full-cost net,28,circular_block_bootstrap,60,ok,60,-0.5183160500380992,1.695965359275795,0.2165681489400866,0.44708386328638056,-0.9840871153523681,0.45886465573289004,0.4622448463438107,0.025930499210810316,False,6
larger+VIX Equal premium capped,Full-cost net,29,circular_block_bootstrap,60,ok,60,-0.4315744094888627,1.331789751380096,0.13328151853480025,0.2490004340213927,-0.9843787093747676,0.4581831039411755,0.46111811614017045,0.05934281013074786,False,6
larger+VIX Equal premium capped,Full-cost net,30,circular_block_bootstrap,60,ok,60,-0.644165218310542,1.2831043600731662,-0.2457494494037258,-0.42248516336870134,-0.9978635797772009,0.4581831039411755,0.47221444874366353,0.005704820492133245,False,6
larger+VIX Equal premium capped,Full-cost net,31,circular_block_bootstrap,60,ok,60,-0.5043174640612462,1.427276313194854,0.08269685337862323,0.15949788685045335,-0.981142887452582,0.4352183990291476,0.4719753077641145,0.029923892768752777,False,6
larger+VIX Equal premium capped,Full-cost net,32,circular_block_bootstrap,60,ok,60,-0.2506274672457893,1.5625575936866563,0.40484948376461544,0.8773201474737027,-0.9682714097171338,0.4581831039411755,0.46111811614017045,0.23631367430553815,False,6
larger+VIX Equal premium capped,Full-cost net,33,circular_block_bootstrap,60,ok,60,-0.5456279681317597,1.5099339063935049,0.07476409054115134,0.14833952747243662,-0.9864564435427858,0.4581831039411755,0.4633715765474509,0.01936680394808829,False,6
larger+VIX Equal premium capped,Full-cost net,34,circular_block_bootstrap,60,ok,60,-0.42632542216286695,1.7443100007461805,0.35045412357419015,0.738427275428258,-0.9806984341377195,0.45886465573289004,0.46887700049097014,0.06213381551514102,False,6
larger+VIX Equal premium capped,Full-cost net,35,circular_block_bootstrap,60,ok,60,-0.10638217568951669,1.5471371268984353,0.5085107007086798,1.1535199497824218,-0.8086640985620035,0.4352542701760799,0.47221444874366353,0.5698481119252328,False,6
larger+VIX Equal premium capped,Full-cost net,36,circular_block_bootstrap,60,ok,60,-0.6441823384340174,1.0404332700327494,-0.4376060554706972,-0.6061569540487736,-0.9962347098397445,0.4581831039411755,0.47221444874366353,0.005703448256496593,False,6
larger+VIX Equal premium capped,Full-cost net,37,circular_block_bootstrap,60,ok,60,-0.5779010100720985,1.3257098537684897,-0.06106832456249448,-0.1047788727772817,-0.9930910480758633,0.4592026747939821,0.4833107813471565,0.013398974620298907,False,6
larger+VIX Equal premium capped,Full-cost net,38,circular_block_bootstrap,60,ok,60,-0.536585216076706,1.4929920227467044,0.08898137227899057,0.17167192836041892,-0.9889703054638718,0.4581831039411755,0.48105732093987613,0.021372209515263228,False,6
larger+VIX Equal premium capped,Full-cost net,39,circular_block_bootstrap,60,ok,60,-0.4759138581476704,1.545913045746262,0.17977122974745402,0.3667159989677288,-0.9607149385422858,0.45886465573289004,0.46156880822162655,0.03953788010465973,False,6
larger+VIX Equal premium capped,Full-cost net,40,circular_block_bootstrap,60,ok,60,-0.33928580528555585,1.3790652086201642,0.2512952646803192,0.5152091875907404,-0.9777792733760302,0.4352183990291476,0.45838637377379216,0.12591230843828044,False,6
