Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
larger+VIX GM paper,Full-cost net,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.367351367290096,-0.47548431686004883,-0.5853339899844153,-1.0,3.404839448311785,4.898235095621026,0.0,True,insufficient_egarch_obs
larger+VIX GM paper,Full-cost net,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.063807668887284,-0.24359722399206385,-0.298461858980552,-1.0,3.104241711251976,4.33734740057294,0.0,True,insufficient_egarch_obs
larger+VIX GM paper,Full-cost net,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.039331864942052,-0.5898446269398534,-0.7280859238850156,-1.0,3.061853841595444,3.8312962103523405,0.0,True,insufficient_egarch_obs
larger+VIX GM paper,Full-cost net,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.888584793303512,-1.0607962481023743,-1.1714468243323073,-1.0,2.792086592025377,3.648241769984628,0.0,True,insufficient_egarch_obs
larger+VIX GM paper,Full-cost net,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.754901858636004,-0.18900095395442054,-0.2559318104478241,-1.0,2.9425201085769386,3.7311347473123995,0.0,True,insufficient_egarch_obs
larger+VIX GM paper,Full-cost net,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,8.281424727170343,-0.2323943206989826,-0.3101410880332786,-1.0,3.66581213347241,5.3611720588787435,0.0,True,insufficient_egarch_obs
larger+VIX GM paper,Full-cost net,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.5508231293542325,-1.0878131912505145,-1.2129341721041924,-1.0,2.8531540059155382,3.1506378102825834,0.0,True,insufficient_egarch_obs
larger+VIX GM paper,Full-cost net,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.532763588760662,-0.2746922081879231,-0.3539935079569838,-1.0,3.0135582935903917,4.500743690029066,0.0,True,insufficient_egarch_obs
larger+VIX GM paper,Full-cost net,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.028201193396932,0.1995686138801596,0.27141280365751147,-1.0,3.551135484437405,4.099498773558389,0.0,True,insufficient_egarch_obs
larger+VIX GM paper,Full-cost net,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.577583864227781,-0.5404357869712975,-0.6735493859918279,-1.0,2.8531283058202788,3.5099547889812146,0.0,True,insufficient_egarch_obs
