Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig Equal premium capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,1.2587113296729453,1.354794879514863,1.1596247066668781,2.8925740954019705,-0.6009120061872286,0.2833244470519697,0.37323722205389376,58.79002588570608,False,6
orig Equal premium capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,-0.5596045262021356,1.3276970009303912,-0.026772633395369436,-0.046346920837647056,-0.9919003706225289,0.4593182835696065,0.4673337805229828,0.016565869435164308,False,6
orig Equal premium capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,-0.5681297785816757,1.2726534386001722,-0.10227144334859053,-0.1775346396919542,-0.985176338828437,0.3867498232090164,0.4726774451585669,0.01502333310309042,False,6
orig Equal premium capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,-0.09201671079043872,1.1407172348063161,0.40837954084361455,0.782405502925952,-0.911965806253511,0.33358474511778097,0.3942406692028135,0.617147932717635,False,6
orig Equal premium capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,-0.2084416809562336,1.1925310885444422,0.3422262139672578,0.616273969162101,-0.8197618218451663,0.34641554298483634,0.4726774451585669,0.310752468942346,False,6
orig Equal premium capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,0.2091444520605512,1.5141395829789874,0.6852563024283471,1.725937715504566,-0.8474932679277035,0.3274737425157489,0.3663610170192402,2.5845857031457493,False,6
orig Equal premium capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,0.0760232378187069,1.2328796186168258,0.5900176648158304,1.1786282832788333,-0.9409973000808487,0.34010681468348986,0.41507262902332176,1.442474858253026,False,6
orig Equal premium capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,-0.27560061887406173,0.8158755660053797,0.0013008219558492686,0.0019796452394033833,-0.8548294935448459,0.34047329348037475,0.34047329348037475,0.1994758631879313,False,6
orig Equal premium capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,0.043735202913273374,0.9569232580558316,0.472100077841888,0.8612906611683061,-0.8949719416147249,0.33358474511778097,0.3867678709712656,1.238658700679428,False,6
orig Equal premium capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.7035530569276426,1.1676208197654458,-0.5055447922848267,-0.8109221436182349,-0.9979418618920357,0.38293043055845905,0.4311437282557531,0.0022894696014793482,False,6
orig Equal premium capped,Full-cost net,10,circular_block_bootstrap,60,ok,60,-0.5256034016136184,1.294935525854302,-0.009345792501974013,-0.01649785670017105,-0.9866714902546334,0.46032022068877854,0.47935702595304713,0.024027458261857246,False,6
orig Equal premium capped,Full-cost net,11,circular_block_bootstrap,60,ok,60,-0.18257477472050265,1.3225879607556417,0.3273528838434287,0.7615214954282823,-0.9138467499662942,0.3320317451991967,0.3380562589671839,0.3649557229622106,False,6
orig Equal premium capped,Full-cost net,12,circular_block_bootstrap,60,ok,60,-0.5626372940848342,0.9224928274158968,-0.39993951870357397,-0.5529819603534611,-0.9962845597288138,0.46032022068877854,0.47935702595304713,0.016003270243173877,False,6
orig Equal premium capped,Full-cost net,13,circular_block_bootstrap,60,ok,60,-0.02456782648463607,1.2229630450966762,0.482887461281506,1.0135444751133253,-0.8274070846791319,0.3332221899408023,0.3468069376509546,0.8830501751211352,False,6
