Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig Equal risk capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,1.2352147758319365,1.3184194711325157,1.1606617495901637,2.8527555067576733,-0.5895157372207248,0.3196367202659336,0.3702596705896066,55.79513058559371,False,6
orig Equal risk capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,-0.5485906887148174,1.2972080160439454,-0.03294108748619377,-0.05683510898821646,-0.9904376469529363,0.448912364217356,0.4614176836542341,0.01874358091827957,False,6
orig Equal risk capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,-0.5710288664069771,1.2345563709167588,-0.13942238413594343,-0.2392325354548231,-0.9854454562398185,0.3801479507132919,0.4697545632788194,0.014525809447703425,False,6
orig Equal risk capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,-0.10049787794048437,1.1289590392642004,0.39877291309406443,0.7541754645721656,-0.9045937992857578,0.3408857234093084,0.376803145522789,0.5888585174798685,False,6
orig Equal risk capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,-0.22729365123305822,1.1810527472454,0.3178755065822362,0.5669507507386895,-0.8209575400002046,0.3462870554497108,0.4697545632788194,0.27546879084506404,False,6
orig Equal risk capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,0.25241186172220087,1.4647908992382368,0.702233518401805,1.762320840548521,-0.8327371172119171,0.32197616410551316,0.364647755173225,3.081313318128188,False,6
orig Equal risk capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,0.02931295170886017,1.212186635115058,0.5504228099723129,1.0772659839935614,-0.9411049730461566,0.34266787579160213,0.4110777349733059,1.1554128343954313,False,6
orig Equal risk capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,-0.30435815655517173,0.810016494525018,-0.050444416905058416,-0.07554134947655887,-0.8630323428237994,0.3385676326017704,0.33934032953761645,0.16290277651336438,False,6
orig Equal risk capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,-0.0044938710359703204,0.9418613314281647,0.4183271517187002,0.7526278297064315,-0.8983659782164405,0.3385676326017704,0.37454916285560014,0.9777316880946372,False,6
orig Equal risk capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.7084176590078501,1.1363703574832635,-0.553881254914337,-0.8721383754017177,-0.998093742178965,0.3765287710551833,0.42835221693236725,0.002107686879513655,False,6
