Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
orig Equal risk capped,Gross before costs,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.12579835040981235,1.0297839385685255,0.5683830039513801,1.1433972364509657,-0.9628554072844552,0.26976863526757106,0.3296562064754867,1.808435567044341,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.19932014989700542,0.9308295696509425,0.1846682762892027,0.31756169954395475,-0.9671874141593644,0.3017177970604389,0.30560329690231064,0.3290747014671741,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.1650120305060072,0.8553216989966629,0.5565096941516363,1.1221501596443573,-0.7468442892158533,0.24410887948330984,0.3055233224896124,2.1461103580680914,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.28036336401266926,1.1185748745185151,0.7274709477836395,1.4041447008308818,-0.9020112848000721,0.359317980656141,0.3703258500281212,3.440853595749105,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.21796917388336756,1.121792002029204,0.6775034053884159,1.3244810221056065,-0.8238085060107331,0.32928630909631346,0.3532544515429084,2.680288132429778,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.3861121379396555,0.9771889109447566,1.3461369876279028,3.282700308521036,-0.6062168297297188,0.25408731798299317,0.3191738485358662,77.3489192214438,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.11259222105203204,0.8208199438011043,0.22799110545325665,0.4047148581853591,-0.9269423481848391,0.25372756916208716,0.31655977048219813,0.5503210903958822,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.1267854155819208,1.1821188276756223,0.4420520034817659,0.7673801519265232,-0.9633324005601829,0.40470312000149894,0.4508593798083809,0.507697358000172,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.4222371086776784,0.8723147640923306,-0.2106826365773235,-0.32466943283718236,-0.9601174167715439,0.29962630208295293,0.3434671889202778,0.06437959232217538,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.07507050048179353,0.9449176811269225,0.511617702876442,0.9286438730921097,-0.7882601178661865,0.30124140847128933,0.3431135588712971,1.4361001440112007,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.3424719356460739,0.8168051436518996,0.7339976513386104,1.4547936714942886,-0.6717439046226994,0.23289903369533882,0.2726245756316108,4.360397457479414,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.0625670675570351,1.3829453864093284,1.1361408943266973,2.5769853461210284,-0.7973840234511528,0.3784835438609125,0.45852385343827645,37.328487739346954,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.30995372918858055,1.16622755596574,0.21891806066385489,0.38025296189511737,-0.938057750017048,0.4176933211479001,0.43493305687259615,0.1564555832378706,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.06260684028363916,1.0788856863895249,0.4319829426688117,0.7772767707927688,-0.9646162434466449,0.32425305290913803,0.38344287649736525,0.7237838701861323,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.19612342448018838,0.9375728784146936,0.6249446003782879,1.1508404198056283,-0.915341283974833,0.3133795024377352,0.35382190322232426,2.4483865085069496,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.24510386264562,0.9552035937740169,0.14665315585654284,0.2455142970660514,-0.9432852949292875,0.3099052787004657,0.33719045964562583,0.24515232472275109,False,insufficient_egarch_obs
orig Equal risk capped,Gross before costs,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.6243291244535746,1.0497311308499755,-0.42268288974211304,-0.6426677976760321,-0.9973955417747579,0.3798951021069862,0.4083192426332695,0.007482343383030105,False,insufficient_egarch_obs
