Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig+VIX E1 capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,4.411295432945401,1.0085019634742607,2.211776761433568,7.6707716583312004,-0.3455469506197406,0.19199402228154966,0.2696190391140265,4639.874413405305,False,6
orig+VIX E1 capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,0.4464041184863685,1.0672225597775082,0.8030292461161974,1.8391733001282349,-0.542391463520437,0.3332150787829156,0.3455469506197406,6.330649200910862,False,6
orig+VIX E1 capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,0.4352447029207296,0.9915144169087803,0.7862814002244489,1.8044109655121425,-0.6781143809697232,0.2706002396627969,0.3114013740623573,6.090174877255954,False,6
orig+VIX E1 capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,1.7195775067021781,0.9598281839039313,1.4978603330853482,3.898281520747904,-0.6366090349488127,0.2577151159674443,0.31582145428571784,148.76720463130556,False,6
orig+VIX E1 capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,1.2453776058993702,0.9970153899378916,1.2637430682619326,3.1617837053467754,-0.5342338211462014,0.29432858578366566,0.31669253877095976,57.07513332339391,False,6
orig+VIX E1 capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,2.231290226037126,1.119573176744239,1.543007232050457,4.999937353358319,-0.45720309861988984,0.2571026810530653,0.2620021603680975,352.2733868388769,False,6
orig+VIX E1 capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,2.0865197445517625,0.9945213195850238,1.6046635520665282,4.543757285969625,-0.6969064737973516,0.2577151159674443,0.2776771148216525,280.12076100630975,False,6
orig+VIX E1 capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,1.0141217207439,0.7598080893412672,1.304509226940977,2.6465787850132005,-0.4411356611390329,0.33256603289676695,0.33256603289676695,33.14580454534524,False,6
orig+VIX E1 capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,1.677774177144443,0.8506847460494242,1.5852382902825808,3.6672133011181036,-0.5346742952909789,0.23562845024647502,0.31982021719239984,137.67964763876248,False,6
orig+VIX E1 capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.0035767379346279826,0.905835417066164,0.38486390913668495,0.7509223386149236,-0.8103428608466624,0.2962404581393207,0.33256603289676695,0.9822437841130915,False,6
orig+VIX E1 capped,Full-cost net,10,circular_block_bootstrap,60,ok,60,0.4510597445033586,1.078691049512794,0.8021699222364761,1.8309477213574739,-0.6398141618415606,0.2962404581393207,0.3412199780454161,6.433191361374178,False,6
orig+VIX E1 capped,Full-cost net,11,circular_block_bootstrap,60,ok,60,1.3006823801787757,0.9612526362736977,1.2856391228676711,3.519615414521874,-0.6624779190030817,0.23253896942872815,0.27254979481594366,64.4589656473639,False,6
orig+VIX E1 capped,Full-cost net,12,circular_block_bootstrap,60,ok,60,0.5365552092505665,0.8402821884795107,0.9027526965955869,1.7858129797332085,-0.7314812690980125,0.29432858578366566,0.3122197481735009,8.565265836612769,False,6
orig+VIX E1 capped,Full-cost net,13,circular_block_bootstrap,60,ok,60,1.732535095078982,0.977353012930283,1.4691695530526854,4.494049869537462,-0.45733695977145905,0.19199402228154966,0.2442205153543283,152.3451884657299,False,6
orig+VIX E1 capped,Full-cost net,14,circular_block_bootstrap,60,ok,60,0.9169558912963423,1.035475560749111,1.097278863961641,2.4604638037306694,-0.6738239421322123,0.33256603289676695,0.3358112623275104,25.88574090310104,False,6
orig+VIX E1 capped,Full-cost net,15,circular_block_bootstrap,60,ok,60,0.8135099384647528,0.9820772530763276,1.0260709111870248,2.650745822096106,-0.60440543256025,0.23562845024647502,0.32414718976672446,19.61551431800597,False,6
orig+VIX E1 capped,Full-cost net,16,circular_block_bootstrap,60,ok,60,0.47530263609875156,0.8487747408779062,0.8289368767552714,1.895489365108303,-0.6120282953183546,0.2577151159674443,0.2904229305260196,6.988847951170185,False,6
orig+VIX E1 capped,Full-cost net,17,circular_block_bootstrap,60,ok,60,3.1826568367260872,1.0321717264031458,1.904274879068424,5.828139546138083,-0.34984233500160034,0.19199402228154966,0.2991004623029183,1280.1509216244256,False,6
orig+VIX E1 capped,Full-cost net,18,circular_block_bootstrap,60,ok,60,1.0272541912091513,1.0808061811858292,1.1279449668950086,2.726259861639004,-0.7014607621618318,0.2968895040254694,0.3455469506197406,34.24057387088088,False,6
orig+VIX E1 capped,Full-cost net,19,circular_block_bootstrap,60,ok,60,1.3254613907729347,0.9468083994786196,1.3190852724683393,3.411500057780027,-0.6219203349165225,0.2693513793406459,0.2818399825621558,68.0057550700041,False,6
orig+VIX E1 capped,Full-cost net,20,circular_block_bootstrap,60,ok,60,3.84646564936103,0.8974798471288221,2.2760923903825687,6.332882147662809,-0.3455469506197406,0.2062074856692737,0.27587721814450716,2673.7801483758044,False,6
orig+VIX E1 capped,Full-cost net,21,circular_block_bootstrap,60,ok,60,1.2127447082426195,0.9998728127787634,1.2440327452946807,3.056505385270313,-0.45720309861988995,0.2962404581393207,0.3412199780454161,53.04647795964164,False,6
orig+VIX E1 capped,Full-cost net,22,circular_block_bootstrap,60,ok,60,1.4380035253900774,1.0240157342796294,1.3414873430356566,3.3458877758629932,-0.4598283802349983,0.29432858578366566,0.303887947561941,86.13341103736029,False,6
orig+VIX E1 capped,Full-cost net,23,circular_block_bootstrap,60,ok,60,1.3600202157057049,0.9546381252011324,1.3292584566925285,3.562234983193624,-0.4598283802349984,0.23253896942872815,0.2634337776061969,73.2113837721676,False,6
orig+VIX E1 capped,Full-cost net,24,circular_block_bootstrap,60,ok,60,1.9516772495260817,0.9750976909480824,1.5712563270320248,4.392812942855489,-0.594090304984078,0.23253896942872815,0.2729931393844722,224.0496859920833,False,6
orig+VIX E1 capped,Full-cost net,25,circular_block_bootstrap,60,ok,60,0.6227911578500513,1.067671522634188,0.9065686404715877,2.1103305644058032,-0.4794132305895279,0.29432858578366566,0.31669253877095976,11.254162026880794,False,6
orig+VIX E1 capped,Full-cost net,26,circular_block_bootstrap,60,ok,60,0.9564258395279805,1.0803296097385282,1.083643694190038,2.720598865362722,-0.5148740842364044,0.29432858578366566,0.30713317699268444,28.66269026957366,False,6
orig+VIX E1 capped,Full-cost net,27,circular_block_bootstrap,60,ok,60,1.422963626726828,1.0621395137664098,1.2951911247724912,3.5690219954776254,-0.49324524307029727,0.2577151159674443,0.31582145428571784,83.50922879707086,False,6
orig+VIX E1 capped,Full-cost net,28,circular_block_bootstrap,60,ok,60,1.1257375219953083,1.0781916004923455,1.1632580890481172,3.032683792382515,-0.6044389237188172,0.2693513793406459,0.30744916498019326,43.40584270916198,False,6
