Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
orig+VIX E1 capped,Full-cost net,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.2992058993159699,0.7284953005520411,1.5004104266435772,4.119347424542867,-0.4901880363206852,0.1781606449141053,0.2347300666591128,64.25239573335739,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.6991585828230489,0.9213266886800774,0.9973859668345295,2.166807897955534,-0.7922503132637664,0.2589101399935582,0.2737036021361526,14.163466763968394,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.391449147499709,0.6917210896110003,1.6096943743569245,4.4305981210541105,-0.503258366732299,0.15739768764418463,0.2158604045717608,78.21782793717942,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.446620092784486,0.880067872988766,1.8705870868657826,5.035858695989238,-0.6483168106940451,0.2185504114422425,0.27103334026596987,486.37033405229556,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.2619590413676955,0.8802003763873033,1.7871615384264292,5.323021782826477,-0.5154690233166201,0.20489561071927798,0.24433005468444294,369.3112332684613,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,3.352311153250673,0.7693058415227466,2.3640400766019445,7.896114742768903,-0.27844545521673647,0.14507282636250163,0.20795253843136385,1561.7074455008087,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.1763275297087987,0.6765159339611978,1.4863053911115707,4.067891156174564,-0.42034443802601507,0.13771527531262126,0.22832140034042914,48.822642171207185,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.9687836235599832,0.9796273453261022,1.1608400294264642,2.425782899409461,-0.6740804941632894,0.31591771969113736,0.3567354079374712,29.579439556462788,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.4691061875274687,0.7922364918415684,0.8535595059801699,1.7384448255395801,-0.6218144345697012,0.2595870561584914,0.2783296788702339,6.843305675846417,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.2818532631894968,0.7916076311304608,1.4341312912105308,3.452453254730342,-0.5543232404760634,0.22370284499792636,0.26249936419144543,61.864081062305516,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.0231685011482714,0.6878766815147127,1.986474862726852,6.009463310197388,-0.3668598361063643,0.142003866163302,0.18772053520556056,252.52929701774937,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,3.7429939826330685,0.9799090073880348,2.1094509734192273,6.745511285141023,-0.32790986364990393,0.19728269070166418,0.27277582170382814,2400.2853162825386,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.0340517260773758,0.935256815042379,1.1915531369284535,2.8269646053208293,-0.5770365205171285,0.25770988327909805,0.32531961160078715,34.818492527110884,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.4318745889238764,0.8223097312527285,1.4918236506471798,3.502790055398178,-0.5697395928627567,0.20526174770674885,0.26763038978033044,85.05617993692856,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.476389600725312,0.7951220442339507,1.5413370150418106,3.809050115016671,-0.6004424074471679,0.20058026986190183,0.25962618858168973,93.13112687779365,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.8343937419545202,0.8092341037290065,1.1248381392307443,2.681780294364812,-0.4736686240799438,0.1905994901908107,0.2676016188682879,20.7712580233744,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.19146254940720087,0.8573451947839256,0.5815454571785437,1.2080060142983358,-0.7778619609188597,0.25382763723752355,0.3083762938785956,2.40105428900011,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,17,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.5116560858157304,0.6678214507650303,1.7265712485251385,5.0612991126631535,-0.28575555789815676,0.12977647291454217,0.16713407028610408,99.95415727232175,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,18,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.495734297679669,0.9107300391533343,1.4307075034001815,3.963866800616635,-0.5159578593479984,0.1741029883240065,0.2126157494122696,96.82594332726475,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,19,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.9511210919732105,0.7411872277570958,2.282480672665117,7.719564078492768,-0.30124935822116894,0.19140569599330787,0.20731000516885079,962.9454814746487,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,20,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,3.4475982715688867,0.8435804706346763,2.2391555470977025,8.101878106938516,-0.28279228672811474,0.1584263433600157,0.18382867585206927,1740.3146011589024,False,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,21,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.9766235443846276,0.8287241944930315,1.7378576277581874,4.756989344415194,-0.446252508768166,0.17779275335558464,0.2430084703041994,233.67893410684587,False,insufficient_egarch_obs
