Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig+VIX Equal premium capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,-0.744673992526707,1.7017707462267917,-0.021615691034562186,-0.036858207412943295,-0.9991834730383435,0.5383048268312672,0.5819747892488465,0.0010851137612631278,False,6
orig+VIX Equal premium capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,-0.9669813065201168,1.6059913466878168,-1.058999395323544,-1.335073691249538,-0.999999971325512,0.6032146349442778,0.6633471442284489,3.924636355910822e-08,False,6
orig+VIX Equal premium capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,-0.9709167452988263,1.5505199183430882,-1.2343850875928748,-1.5329540445796577,-0.999999931829306,0.588405175575009,0.7034354837512296,2.0807266696843058e-08,False,6
orig+VIX Equal premium capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,-0.9119074974565218,1.3363506259173885,-0.9832038626944712,-1.2344823443603878,-0.9999957170038978,0.5406821060433358,0.5819747892488465,5.305114214014003e-06,False,6
orig+VIX Equal premium capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,-0.9294470332119322,1.4281236127421888,-0.8916355440626335,-1.1050923104303056,-0.9999984409698439,0.588405175575009,0.7034354837512294,1.7481407795470165e-06,False,6
orig+VIX Equal premium capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,-0.8776655209109673,1.8990930884318882,-0.2962165708611128,-0.5222524725456875,-0.9999793407574182,0.5366904710229622,0.5390677502350307,2.7399610254908763e-05,False,6
orig+VIX Equal premium capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,-0.9104838538192034,1.4351287270437572,-0.7856914796016535,-1.0273358687444434,-0.999993267335169,0.5721684095983267,0.6429324562816001,5.747869298615913e-06,False,6
orig+VIX Equal premium capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,-0.9395460747426168,1.009003537552098,-1.9178439221740375,-1.8836531576311641,-0.9999988998781885,0.5713548664011309,0.5713548664011309,8.074628005061431e-07,False,6
orig+VIX Equal premium capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,-0.9120753205397639,1.163378526477068,-1.3025685874332982,-1.5527375588652204,-0.999994491615126,0.5366904710229622,0.6213228415969557,5.254773106979104e-06,False,6
orig+VIX Equal premium capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.9804759093299433,1.4313550766703576,-1.6657526153281292,-1.8945491395413716,-0.9999999964883659,0.5876257303450475,0.6539938014689106,2.8369656809854626e-09,False,6
orig+VIX Equal premium capped,Full-cost net,10,circular_block_bootstrap,60,ok,60,-0.9583640963648076,1.5313325335749242,-1.061572852460728,-1.362455770006872,-0.9999999269499371,0.6107311986047992,0.7535459081547055,1.2512381390594124e-07,False,6
orig+VIX Equal premium capped,Full-cost net,11,circular_block_bootstrap,60,ok,60,-0.9317852304958362,1.7422767069739058,-0.7412662107718978,-1.1842289179302012,-0.9999991706534543,0.5282907147229213,0.5489959892335312,1.477039399089656e-06,False,6
orig+VIX Equal premium capped,Full-cost net,12,circular_block_bootstrap,60,ok,60,-0.9727581264944615,1.114336744866297,-2.0928844864861396,-1.9791113439869479,-0.9999999871682833,0.6107311986047992,0.7535459081547055,1.5003233174461838e-08,False,6
orig+VIX Equal premium capped,Full-cost net,13,circular_block_bootstrap,60,ok,60,-0.9110588362711137,1.441273797649515,-0.8396379668047628,-1.1276347343516535,-0.9999966574485016,0.5390677502350307,0.5552367694902541,5.565626239278666e-06,False,6
orig+VIX Equal premium capped,Full-cost net,14,circular_block_bootstrap,60,ok,60,-0.9082745499828955,1.4830781763274097,-0.7985085790828023,-1.1155792586240427,-0.9999944429448192,0.5383048268312672,0.5873984105634854,6.493057602625278e-06,False,6
orig+VIX Equal premium capped,Full-cost net,15,circular_block_bootstrap,60,ok,60,-0.9550074465335379,1.6172793111403996,-0.9666834380120807,-1.3087231858857757,-0.9999998067259641,0.5876257303450475,0.6330030009472696,1.8437549832426204e-07,False,6
orig+VIX Equal premium capped,Full-cost net,16,circular_block_bootstrap,60,ok,60,-0.9467013884557592,1.3255800455638387,-1.265357461385153,-1.4716323727022809,-0.999999706878275,0.5876257303450475,0.5876257303450475,4.30109938587635e-07,False,6
orig+VIX Equal premium capped,Full-cost net,17,circular_block_bootstrap,60,ok,60,-0.8313989917990279,1.4357689831786729,-0.42045702361508897,-0.5843553366127233,-0.999951676858082,0.5721684095983267,0.598018333411201,0.00013623880840210029,False,6
orig+VIX Equal premium capped,Full-cost net,18,circular_block_bootstrap,60,ok,60,-0.9592232806416523,1.7577739436837907,-0.8045726289811482,-1.129539064284776,-0.9999998363682996,0.6032146349442778,0.6633471442284489,1.1273568574097186e-07,False,6
orig+VIX Equal premium capped,Full-cost net,19,circular_block_bootstrap,60,ok,60,-0.941563029461077,1.49949810069956,-0.9614826406948912,-1.2652425024470413,-0.9999993189292848,0.5721684095983267,0.6982391822181526,6.814570154096521e-07,False,6
orig+VIX Equal premium capped,Full-cost net,20,circular_block_bootstrap,60,ok,60,-0.7636194256666169,1.2403724850559423,-0.45174320899295517,-0.6154435799353991,-0.9994858469199214,0.5383048268312672,0.5925947120965622,0.0007380043430525596,False,6
orig+VIX Equal premium capped,Full-cost net,21,circular_block_bootstrap,60,ok,60,-0.9505334914558032,1.6784416034604093,-0.8485015389971076,-1.1885213193987032,-0.9999987982330484,0.5729478548282882,0.6533250593477536,2.9618038266977516e-07,False,6
orig+VIX Equal premium capped,Full-cost net,22,circular_block_bootstrap,60,ok,60,-0.9436365078047592,1.3235957158491214,-1.160463299922527,-1.3396017263999769,-0.9999992089671625,0.5804644184888096,0.7535459081547055,5.688391351288777e-07,False,6
orig+VIX Equal premium capped,Full-cost net,23,circular_block_bootstrap,60,ok,60,-0.9151691933500753,1.3376610220860423,-0.9412561359049735,-1.185991946503097,-0.999997794265009,0.5876257303450475,0.6539938014689106,4.393068584137606e-06,False,6
orig+VIX Equal premium capped,Full-cost net,24,circular_block_bootstrap,60,ok,60,-0.9034803461440126,1.4956456989455003,-0.7224416938666206,-1.0092510011517364,-0.9999954101308054,0.5383048268312672,0.6375088349669612,8.376812193328247e-06,False,6
orig+VIX Equal premium capped,Full-cost net,25,circular_block_bootstrap,60,ok,60,-0.9577130358604566,1.6692117186909672,-0.9312969544347283,-1.2932200404370364,-0.9999997641083918,0.588405175575009,0.7034354837512294,1.3521738637610456e-07,False,6
orig+VIX Equal premium capped,Full-cost net,26,circular_block_bootstrap,60,ok,60,-0.9434658850390113,1.647661270062918,-0.7726557058699192,-1.08097753510534,-0.9999998293782589,0.6107311986047992,0.7535459081547055,5.775013296296196e-07,False,6
