Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
orig+VIX Equal premium capped,Full-cost net,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9191349122832595,1.315761806558147,-1.0294788890541586,-1.2373215498965515,-0.9999997172058167,0.5764811888525564,0.6007507468122967,3.457843312207231e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9628509403797998,1.048146895120503,-2.183487080422874,-2.0835626890476617,-0.9999999423287586,0.5189856648123464,0.6034329288194477,7.075206558529633e-08,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.934298033963215,1.161733669629539,-1.4773380198110269,-1.6334666603500723,-0.9999992231380795,0.537182261281732,0.6223174238348914,1.2243112127797068e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9715986524932556,1.5869378481228853,-1.0632647465484861,-1.2809924800487413,-0.999999985425276,0.6899364837368958,0.7511790270683641,1.8479692031419792e-08,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9361746741006877,1.4321799979744658,-0.9260565033211975,-1.1212855762111276,-0.9999993636434782,0.6058108165117185,0.685350372411305,1.0591688632861269e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8865115226525735,1.534900484969788,-0.4733073927577655,-0.6433117510150328,-0.9999888536009576,0.6420348435791651,0.6735028734567186,1.882603431842761e-05,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9539867904660689,0.9847327160912602,-2.236806930724267,-2.0883742056150094,-0.9999998643630803,0.4625660256825433,0.5221965566875926,2.062588713720633e-07,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9234532309583474,1.3880744608658484,-0.899406976938568,-1.0950094139657638,-0.9999973483957465,0.6245629176853126,0.6649879647493592,2.628054223294454e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9763694487152008,1.042782441180113,-2.5250614648549305,-2.2503362762993864,-0.9999999912789306,0.535322689824408,0.5805082340048332,7.368333405957331e-09,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9215310983830979,1.156393947416479,-1.369752335742076,-1.5191605442900784,-0.9999963562838292,0.5510671978263657,0.5804944013714496,2.975006148743488e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9446747771421834,1.0285318240055552,-1.9353745854920925,-1.90420151918264,-0.9999993132879437,0.5423252028696252,0.5624364455751993,5.18341355421198e-07,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9278916857558367,1.9040929665333204,-0.22949726968016515,-0.3393715764407599,-0.9999980516837403,0.6990826628583517,0.7852504322514325,1.9495155942359916e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.967787460103611,1.3786768323981882,-1.3656029732414738,-1.520022876927741,-0.9999999457911033,0.7042527510925431,0.7429425716004062,3.4683654172771094e-08,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9729925166941523,1.4124810776300991,-1.4491954608301414,-1.6160738557153882,-0.9999999972018736,0.6129175962984109,0.6707863407154683,1.436880270388802e-08,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9484953713672111,1.24482419277581,-1.426715843326393,-1.5521287068628515,-0.9999996752672803,0.5660660231068203,0.6271727708434612,3.624359764160115e-07,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.963522419180164,1.2367111966161224,-1.6713680769809671,-1.7389984493106398,-0.9999999615010029,0.5700417979462635,0.5972092534696539,6.458477367568102e-08,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9876044334297339,1.2567538984267763,-2.2557951256732873,-2.143219598111135,-0.9999999995792841,0.6178093462854023,0.6731504280203925,2.9263884572870735e-10,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,17,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.984587491990097,1.3344335339849505,-1.8642671295976068,-1.8607579944670434,-0.9999999973578241,0.6417884211703728,0.7154874973236409,8.69694187495633e-10,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,18,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.958435688508517,1.5557995864753025,-0.9332426166002806,-1.141294983789755,-0.9999999510242941,0.6736802415820214,0.6930843780797482,1.240517669084711e-07,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,19,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8531799504264899,1.1534373814334442,-0.893040925894523,-1.0630317732190229,-0.9999557318827285,0.5522908442403484,0.5864196156646844,6.822237462383178e-05,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,20,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9114286664890998,1.4412173344852437,-0.7542426909157018,-0.9581252122140969,-0.999996655864927,0.6255675563137445,0.6427736047824136,5.45087115935878e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,21,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9434688217356285,1.267721415469144,-1.3134797629302404,-1.4676179703673609,-0.999998973153011,0.5917590625222976,0.642902408601311,5.773513520571647e-07,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,22,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9736614396920166,1.3394608164931199,-1.5924586464721224,-1.6822090786327135,-0.9999999729819485,0.6305023920923912,0.6458361821771875,1.2675355894874202e-08,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,23,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.943571128488167,1.426679378413201,-1.0415835263307802,-1.26456162482704,-0.9999997487616468,0.592778946081426,0.6550643019070715,5.721459469552856e-07,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,24,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9748290609310901,1.1770718080020197,-2.0486416758443187,-1.9924344709033355,-0.9999999857544987,0.5820476984352707,0.6006973966900176,1.0104087360188307e-08,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,25,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9699307280809472,1.2364478861072643,-1.77333869562908,-1.8213207779533678,-0.9999999539511448,0.6096734812509783,0.6459588526279949,2.4581849908001882e-08,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,26,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9268444840467208,1.420945706657609,-0.9023197207438647,-1.1139339543315614,-0.999995424193887,0.6085390726307435,0.6156578651650558,2.0952477757814074e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,27,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9585850931416595,1.221353769027196,-1.6011903202837188,-1.6932826893811084,-0.9999999134631974,0.6168353385019026,0.6613241297061022,1.2183819175034124e-07,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,28,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9270845853666517,1.329756440243792,-1.03265148148194,-1.2291300442141628,-0.999998009234749,0.5933593622226335,0.6609311919944355,2.061089015526639e-06,False,insufficient_egarch_obs
