Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig+VIX Equal premium capped,Gross before costs,0,circular_block_bootstrap,60,ok,60,-0.571202642800684,1.6927788060896152,0.22649528909941735,0.419494932512476,-0.9957665184402467,0.5134680109979506,0.5528505804089356,0.014496411217046508,False,6
orig+VIX Equal premium capped,Gross before costs,1,circular_block_bootstrap,60,ok,60,-0.941644591116702,1.6073256746349727,-0.8127196817920534,-1.0948007480727733,-0.9999995368015255,0.5731400544844398,0.6305326631046329,6.767146555306495e-07,False,6
orig+VIX Equal premium capped,Gross before costs,2,circular_block_bootstrap,60,ok,60,-0.9470501187908607,1.5530041750927217,-0.961027145616216,-1.2819241671728498,-0.9999988774496736,0.5608137403585454,0.6687944021847615,4.1622192221989144e-07,False,6
orig+VIX Equal premium capped,Gross before costs,3,circular_block_bootstrap,60,ok,60,-0.8468036986118082,1.3229234678747561,-0.6819279450735134,-0.934283071409401,-0.9999376818036796,0.5154103506877278,0.5528505804089356,8.438036532897224e-05,False,6
orig+VIX Equal premium capped,Gross before costs,4,circular_block_bootstrap,60,ok,60,-0.8665104302269583,1.4142141396545664,-0.5761185908522652,-0.7755856428073519,-0.9999630185059659,0.5608137403585454,0.6687944021847615,4.2387389128740114e-05,False,6
orig+VIX Equal premium capped,Gross before costs,5,circular_block_bootstrap,60,ok,60,-0.808805519411326,1.9031517018879225,-0.11071370719862629,-0.21006005204074185,-0.9998317707550022,0.512031406119874,0.5139737458096512,0.00025549167552217265,False,6
orig+VIX Equal premium capped,Gross before costs,6,circular_block_bootstrap,60,ok,60,-0.835096411991008,1.4215610242854457,-0.4746538339058648,-0.6751707175218945,-0.9998793010434894,0.5435788005517993,0.6123171833339729,0.00012194121729637157,False,6
orig+VIX Equal premium capped,Gross before costs,7,circular_block_bootstrap,60,ok,60,-0.8938802407944332,1.0084316513087914,-1.4892351496875338,-1.6123451920877865,-0.999982368511381,0.5427058433711835,0.5427058433711835,1.3458023406675116e-05,False,6
orig+VIX Equal premium capped,Gross before costs,8,circular_block_bootstrap,60,ok,60,-0.832916194953729,1.1585147215860732,-0.8704725695364389,-1.1593006194678364,-0.9999099726363706,0.512031406119874,0.5911003884052523,0.00013021822916144587,False,6
orig+VIX Equal premium capped,Gross before costs,9,circular_block_bootstrap,60,ok,60,-0.9655295592678239,1.434465961293606,-1.3940081584672626,-1.70752819094409,-0.9999999451366988,0.5601649869834983,0.6227476226040679,4.8666955790168e-08,False,6
orig+VIX Equal premium capped,Gross before costs,10,circular_block_bootstrap,60,ok,60,-0.9273703198185645,1.5287856008107055,-0.8120995245944329,-1.1148661646112243,-0.999998865221949,0.5803141305619639,0.7166215760349223,2.021020221674879e-06,False,6
orig+VIX Equal premium capped,Gross before costs,11,circular_block_bootstrap,60,ok,60,-0.8848031093923139,1.7465742094447585,-0.5073153934476753,-0.8840309747446636,-0.9999894025400329,0.501167578277951,0.5228695889653279,2.028634391808695e-05,False,6
orig+VIX Equal premium capped,Gross before costs,12,circular_block_bootstrap,60,ok,60,-0.9516984468950558,1.113701953772262,-1.740412041177477,-1.7755116638344977,-0.9999998210014663,0.5803141305619639,0.7166215760349223,2.6290901442679427e-07,False,6
orig+VIX Equal premium capped,Gross before costs,13,circular_block_bootstrap,60,ok,60,-0.8546872078362486,1.4413683062495595,-0.5729834686637484,-0.8297176065497778,-0.9999628769225266,0.5139737458096512,0.5289584135567271,6.47916796660358e-05,False,6
orig+VIX Equal premium capped,Gross before costs,14,circular_block_bootstrap,60,ok,60,-0.8464797143124609,1.4803232684491843,-0.5323800214609552,-0.8054575550984328,-0.9999325258388444,0.5134680109979506,0.5586702949463739,8.527639833461048e-05,False,6
orig+VIX Equal premium capped,Gross before costs,15,circular_block_bootstrap,60,ok,60,-0.9248344930993222,1.6167945632214173,-0.7417067879378735,-1.0754496477337296,-0.9999976917310771,0.5601649869834983,0.6025229011215896,2.3993464014926675e-06,False,6
orig+VIX Equal premium capped,Gross before costs,16,circular_block_bootstrap,60,ok,60,-0.9132834047582601,1.3247946880633794,-0.9966855710334588,-1.2375613005046904,-0.9999967979471569,0.5601649869834983,0.5601649869834983,4.903555430676713e-06,False,6
orig+VIX Equal premium capped,Gross before costs,17,circular_block_bootstrap,60,ok,60,-0.7173504245466533,1.427366685759947,-0.13664245841741973,-0.2051670496391167,-0.9995487779554,0.5435788005517993,0.568815031984126,0.0018040214098537996,False,6
orig+VIX Equal premium capped,Gross before costs,18,circular_block_bootstrap,60,ok,60,-0.9273749066906236,1.756033573550254,-0.5751267285326965,-0.8661076607572902,-0.9999975454108816,0.5731400544844398,0.6305326631046327,2.0203821222722333e-06,False,6
orig+VIX Equal premium capped,Gross before costs,19,circular_block_bootstrap,60,ok,60,-0.8931561491445724,1.492857422239402,-0.6741346419543902,-0.9614046952586655,-0.9999876333963923,0.5435788005517993,0.6644693796844475,1.392347573042619e-05,False,6
orig+VIX Equal premium capped,Gross before costs,20,circular_block_bootstrap,60,ok,60,-0.5873201669100814,1.2221495447384596,-0.0909139740595759,-0.13673375210243702,-0.993981455142652,0.5134680109979506,0.5629953174466877,0.011969230514036089,False,6
orig+VIX Equal premium capped,Gross before costs,21,circular_block_bootstrap,60,ok,60,-0.9164623827890024,1.6773446328214245,-0.6253407856551545,-0.940934163117938,-0.9999856436632496,0.5442275539268464,0.6209672283346006,4.068276082227197e-06,False,6
orig+VIX Equal premium capped,Gross before costs,22,circular_block_bootstrap,60,ok,60,-0.9068746952147534,1.3232011476628727,-0.891461893076639,-1.0984380760268617,-0.9999905771829358,0.5514016300043705,0.7166215760349223,7.003877405914286e-06,False,6
orig+VIX Equal premium capped,Gross before costs,23,circular_block_bootstrap,60,ok,60,-0.841672629508458,1.3268865889438899,-0.5973528599945347,-0.8195281026407699,-0.9999547907458184,0.5601649869834983,0.6227476226040679,9.949012928451629e-05,False,6
orig+VIX Equal premium capped,Gross before costs,24,circular_block_bootstrap,60,ok,60,-0.8326136401819227,1.4888708510605957,-0.4485531588320037,-0.6815801894811813,-0.99993155753492,0.5134680109979506,0.6064974687965347,0.00013140150031266688,False,6
orig+VIX Equal premium capped,Gross before costs,25,circular_block_bootstrap,60,ok,60,-0.9278019529658712,1.670537498558901,-0.7053382983925935,-1.0533281875373466,-0.9999967199321722,0.5608137403585454,0.6687944021847615,1.9616758702619277e-06,False,6
orig+VIX Equal premium capped,Gross before costs,26,circular_block_bootstrap,60,ok,60,-0.9022100429264993,1.6455541796337176,-0.5375483049554676,-0.8063688762276489,-0.999997586785239,0.5803141305619639,0.7166215760349223,8.94275386053506e-06,False,6
orig+VIX Equal premium capped,Gross before costs,27,circular_block_bootstrap,60,ok,60,-0.8385461686478711,1.8011355813790928,-0.2699212699858897,-0.4896450036825071,-0.9999574011815044,0.512031406119874,0.5490929290925297,0.00010970887891065072,False,6
