Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig+VIX Equal risk capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,-0.7273186454999605,1.5471561043993165,-0.1226175846696029,-0.20448940489768963,-0.9988394832829195,0.5104992814150887,0.5565452346308298,0.0015075690506128054,False,6
orig+VIX Equal risk capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,-0.9522161078228252,1.4418366446129491,-1.1459901102435577,-1.4042615064704695,-0.9999997984485919,0.5546957085906117,0.6659688422537933,2.4911943419209655e-07,False,6
orig+VIX Equal risk capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,-0.9605361110232223,1.3568348182524586,-1.425270296390676,-1.6708778498283203,-0.9999997174038294,0.5537401330186497,0.6172550562718876,9.57192756475653e-08,False,6
orig+VIX Equal risk capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,-0.9018970480600668,1.1919741289413712,-1.1761242268588807,-1.41300811865172,-0.9999918377428088,0.5483920297172995,0.560621837087595,9.086787626483825e-06,False,6
orig+VIX Equal risk capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,-0.9061368724771919,1.2977865021266308,-0.9580110154164224,-1.1724465650992315,-0.9999935370737587,0.5546957085906117,0.6659688422537933,7.285764077701752e-06,False,6
orig+VIX Equal risk capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,-0.8400597395889349,1.6495044403761425,-0.3788853476482657,-0.6417522264503648,-0.9999252085720468,0.5240680700801228,0.5362639636745647,0.00010466199143920732,False,6
orig+VIX Equal risk capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,-0.9035445912609844,1.2403021912725114,-1.0664099949533443,-1.297673632575333,-0.9999902723444019,0.5537401330186497,0.5982148379117337,8.348970541185005e-06,False,6
orig+VIX Equal risk capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,-0.9415885004275231,0.8992726183464692,-2.287418562599939,-2.061568169456934,-0.9999990840443794,0.5483920297172995,0.5565452346308298,6.799731735992269e-07,False,6
orig+VIX Equal risk capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,-0.8886754008053724,1.0482706803257487,-1.3767039938656724,-1.6050896097265346,-0.9999828717009022,0.5252842680619816,0.6112570384423116,1.7098408986789437e-05,False,6
orig+VIX Equal risk capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.9763540526863926,1.2274212312705173,-2.0056582895576978,-2.0602896248706744,-0.9999999913838614,0.5546957085906117,0.6659688422537933,7.392368141231539e-09,False,6
