Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig+VIX Equal risk capped,Gross before costs,0,circular_block_bootstrap,60,ok,60,-0.5735810899144727,1.542977176767223,0.11999860971849946,0.21702250620510338,-0.9944463562633492,0.48440590595223654,0.5300437205114922,0.014098804189973165,False,6
orig+VIX Equal risk capped,Gross before costs,1,circular_block_bootstrap,60,ok,60,-0.9214742359988932,1.4469676614282116,-0.8892111240214964,-1.1666600287390525,-0.999997772787794,0.5285391521312861,0.6385769142154804,2.985800953354152e-06,False,6
orig+VIX Equal risk capped,Gross before costs,2,circular_block_bootstrap,60,ok,60,-0.9339875625706157,1.3596294159858493,-1.1460566349363748,-1.4437705904310718,-0.9999969028490967,0.5274424492297713,0.5897363166151376,1.2535130055349494e-06,False,6
orig+VIX Equal risk capped,Gross before costs,3,circular_block_bootstrap,60,ok,60,-0.8398855236026519,1.1870228310206543,-0.8576988710717709,-1.1239321178665849,-0.9999130227354489,0.5203773271372046,0.5348769171986358,0.00010523325341747304,False,6
orig+VIX Equal risk capped,Gross before costs,4,circular_block_bootstrap,60,ok,60,-0.8416670301053983,1.2933979583190849,-0.6513173169006765,-0.8630533058494809,-0.9999135518312313,0.5285391521312861,0.6385769142154804,9.950772335996621e-05,False,6
orig+VIX Equal risk capped,Gross before costs,5,circular_block_bootstrap,60,ok,60,-0.7621855909744113,1.653213793054719,-0.18106098963933115,-0.33058019258116167,-0.9995196584176879,0.4999435418239171,0.5123017831829546,0.0007606604281750435,False,6
orig+VIX Equal risk capped,Gross before costs,6,circular_block_bootstrap,60,ok,60,-0.839795708917652,1.2348690101858972,-0.7527806410736361,-0.993049924612785,-0.9998819963839884,0.5274424492297713,0.5718596308531991,0.00010552873266203983,False,6
orig+VIX Equal risk capped,Gross before costs,7,circular_block_bootstrap,60,ok,60,-0.903804815460598,0.9016647324396997,-1.850579086161007,-1.8264922838394104,-0.9999892917988623,0.5203773271372046,0.5300437205114922,8.236954378502107e-06,False,6
orig+VIX Equal risk capped,Gross before costs,8,circular_block_bootstrap,60,ok,60,-0.8144291648031866,1.0480183811141315,-0.979938542908323,-1.265609864131215,-0.9998334090778274,0.5009652310895815,0.5843103173634862,0.00022006380198608694,False,6
orig+VIX Equal risk capped,Gross before costs,9,circular_block_bootstrap,60,ok,60,-0.9607435855318607,1.2331486236506495,-1.7059403707497462,-1.8868123491349704,-0.9999999001593539,0.5285391521312861,0.6385769142154804,9.32294562646207e-08,False,6
