Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
orig+VIX Equal risk capped,Gross before costs,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8638851648904575,1.200062681673759,-0.9084957669218181,-1.1179069408252589,-0.9999953549446423,0.5279437844819512,0.5580844462332423,4.672263278439104e-05,False,insufficient_egarch_obs
orig+VIX Equal risk capped,Gross before costs,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8972799931185466,0.874398339659742,-1.9091735990395675,-1.9159128360591178,-0.9999904559109831,0.4652526875281104,0.5122556047563323,1.14360277125087e-05,False,insufficient_egarch_obs
orig+VIX Equal risk capped,Gross before costs,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8594106400439397,0.9985569897061691,-1.2839316470028415,-1.4593546636327654,-0.9999635029719054,0.5097537090071386,0.5441677630416054,5.49240139626515e-05,False,insufficient_egarch_obs
orig+VIX Equal risk capped,Gross before costs,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8992134580061224,1.357607078776946,-0.8354261887662352,-1.0714947000370896,-0.9999923540935511,0.5868507119274176,0.6422689873795914,1.0399506330996306e-05,False,insufficient_egarch_obs
orig+VIX Equal risk capped,Gross before costs,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8726689235461643,1.3315997921467562,-0.7051028212541479,-0.9006279242759592,-0.9999765666260356,0.5593070580809406,0.6504033184205884,3.347125935973924e-05,False,insufficient_egarch_obs
orig+VIX Equal risk capped,Gross before costs,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7394403850751665,1.2768719897051952,-0.32894071379473966,-0.4599341544776488,-0.9993192458832636,0.5679121072741888,0.5911225654104514,0.001200979290653372,False,insufficient_egarch_obs
orig+VIX Equal risk capped,Gross before costs,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9078206989432612,0.8047902832147918,-2.269850153639061,-2.1223981461718666,-0.9999954400285573,0.4090659166380607,0.4409980822105448,6.655291067122095e-06,False,insufficient_egarch_obs
orig+VIX Equal risk capped,Gross before costs,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8384552083693695,1.153816384337515,-0.8473038407992916,-1.0433076445009029,-0.9998952765778838,0.5341490876645422,0.5779322285381381,0.00011001826768734679,False,insufficient_egarch_obs
orig+VIX Equal risk capped,Gross before costs,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9392817646573024,0.8825686988131023,-2.3713329476683156,-2.1878603961138494,-0.9999990642552827,0.4631341692564243,0.4888752358038035,8.252693305209232e-07,False,insufficient_egarch_obs
orig+VIX Equal risk capped,Gross before costs,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8339524809390589,0.9560949421334155,-1.2614330037164063,-1.4533040567754416,-0.9998338985088124,0.4246356892857946,0.4771026543109107,0.00012622981788377763,False,insufficient_egarch_obs
