Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig+VIX GM paper,Full-cost net,0,circular_block_bootstrap,60,ok,60,-1.0,5.490518072464312,-1.0465808418371765,-1.0155223306372088,-1.0,4.698417195034068,5.8376593954217375,0.0,True,6
orig+VIX GM paper,Full-cost net,1,circular_block_bootstrap,60,ok,60,-1.0,3.2422148578877374,-1.193928377553141,-1.1602723732086233,-1.0,1.551221793782068,3.672084318099118,0.0,True,6
orig+VIX GM paper,Full-cost net,2,circular_block_bootstrap,60,ok,60,-1.0,4.719671330276207,-0.9715912704446751,-0.9505490103595944,-1.0,1.2820523915178965,5.105088584346985,0.0,True,6
orig+VIX GM paper,Full-cost net,3,circular_block_bootstrap,60,ok,60,-1.0,3.170830851195339,-1.6972995749945403,-1.5514438391917296,-1.0,2.509526247078973,3.056748984067747,0.0,True,6
orig+VIX GM paper,Full-cost net,4,circular_block_bootstrap,60,ok,60,-1.0,4.885671003745686,-1.0807690663495806,-1.0476476790603362,-1.0,1.6639239483717045,5.487776479565929,0.0,True,6
orig+VIX GM paper,Full-cost net,5,circular_block_bootstrap,60,ok,60,-1.0,2.460644396748832,-1.0861382471456127,-1.0672568698221858,-1.0,1.2820523915178965,2.535837415510178,0.0,True,6
orig+VIX GM paper,Full-cost net,6,circular_block_bootstrap,60,ok,60,-1.0,4.75787337317556,-1.1056485371290745,-1.0681622838764266,-1.0,1.3707710578547516,5.167145227231046,0.0,True,6
orig+VIX GM paper,Full-cost net,7,circular_block_bootstrap,60,ok,60,-1.0,6.089879410935921,-1.4979246511928197,-1.3885197077511227,-1.0,2.509526247078973,5.207870146881282,0.0,True,6
orig+VIX GM paper,Full-cost net,8,circular_block_bootstrap,60,ok,60,-1.0,7.054709700083501,-1.3284044880024515,-1.2513156297674648,-1.0,2.8468192345542604,9.255385996584746,0.0,True,6
orig+VIX GM paper,Full-cost net,9,circular_block_bootstrap,60,ok,60,-1.0,2.03715427382024,-2.3626283066081197,-2.0008185139107364,-1.0,1.619418564229217,1.8419454849416559,0.0,True,6
orig+VIX GM paper,Full-cost net,10,circular_block_bootstrap,60,ok,60,-1.0,2.728791057367884,-1.460748743853172,-1.3777983968921832,-1.0,1.3707710578547516,2.9185253107291214,0.0,True,6
