Return basis,Strategy,Requested method,Status,Simulation,Reason,N paths,Defaulted path share,Ann. return p05,Ann. return p50,Ann. return p95,Sortino p05,Sortino p50,Sortino p95,Max DD p05,Max DD p50,Max DD p95,Terminal wealth p05,Terminal wealth p50,Terminal wealth p95
Gross before costs,orig E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,0.0002918113253867648,0.661263263217562,1.83692087659564,0.7577512822548588,2.3132480365736665,4.738949382321911,-0.8504211226229642,-0.6137172075613601,-0.3913797104758089,1.0014669977900936,12.653409576586252,183.75371923851984
Gross before costs,orig E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.12132070409763321,0.48286282730595786,1.6085829822087134,0.3209100186052616,1.8469344083826584,4.110235494452836,-0.9007940320911517,-0.6382751583613385,-0.39983023280887553,0.5237839719261728,7.169820088742017,120.7881523526828
Gross before costs,orig GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.3372981943728351,0.5250270519453168,2.3309003265420363,0.13870944977852934,1.8256113968966359,4.490650066669177,-0.9764579357877528,-0.8402767013391177,-0.581939186581291,0.12781899157107762,8.248804442627224,410.0309432308679
Gross before costs,orig GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.002,-0.5293638991872879,0.18131692543990907,1.5061827313426916,-0.0958278917487863,1.238502971516855,3.1861041716646152,-0.9959655448320136,-0.8708880615043866,-0.5713812587260362,0.023090312964816832,2.3005629951631974,98.87252874053901
Gross before costs,orig Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.4439926987616323,0.015422566609624822,0.8470526253587043,0.08896250595415175,1.1018079820767812,2.38707477057199,-0.9785944164718658,-0.8602350191684001,-0.6390157273385626,0.05313771462089434,1.0795721291447444,21.49793622325558
Gross before costs,orig Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.5227791363644507,-0.025683988297121152,1.0264837883095201,-0.364106048379163,0.8089806226394834,2.5425812107837626,-0.9919156862294362,-0.8932377149774464,-0.645921644451853,0.024751658574915986,0.8780115142426463,34.17633244254064
Gross before costs,orig Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.4133125783131069,0.0424002340217452,0.8908182589081257,0.10426078761062965,1.1370601675339704,2.452213606925867,-0.9748094554288519,-0.8487253276614096,-0.6234135205903061,0.06950786800819375,1.2307582581820375,24.168462630886022
Gross before costs,orig Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.49242203461719347,0.01910847178270969,1.085379769177015,-0.3198891724317243,0.8789225157957188,2.6478598428896425,-0.989174298501799,-0.8770853878290878,-0.6287988164856583,0.03369099324309785,1.0992653877452274,39.43906785629961
Gross before costs,orig+VIX E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,0.939845141149942,2.1420432052345895,4.239021669693581,2.756764982702785,4.632337116251103,7.968725929123575,-0.6344212099505087,-0.4558785539694576,-0.4032952712315775,27.468784596753647,306.24034190251365,3946.860074715641
Gross before costs,orig+VIX E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,0.9220814508372549,2.2982672229039016,5.000796413500511,2.8856714200220384,5.800336952344022,10.557960237425688,-0.7242905853689625,-0.43356404424355427,-0.24683433506581604,26.2342380699099,390.33154153987255,7781.169378213888
Gross before costs,orig+VIX GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,0.24848954014569788,1.381667608633921,3.612273963880209,1.2602517587080548,3.450650628271351,7.018994614047949,-0.81626548524352,-0.6024463774287513,-0.39803422972512503,3.033375793878132,76.63134269033374,2087.302395463837
Gross before costs,orig+VIX GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.007,-0.20044870871449946,1.0862402726630194,3.0381842222837685,0.7041986903925085,2.712941219763313,6.026042185206846,-0.9829897347439713,-0.6842963915149912,-0.3959731998899479,0.3268217100573479,39.52044439359656,1073.9007542720487
Gross before costs,orig+VIX Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.9430217725082706,-0.879082420877018,-0.733037960417949,-1.451026990964969,-0.8630939688997677,-0.16557327965370067,-0.9999994363323409,-0.9999796716822538,-0.9990868343553883,6.005620542189251e-07,2.584926143767928e-05,0.0013559637457541136
Gross before costs,orig+VIX Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.002,-0.9745715763119417,-0.9124042408389894,-0.7510908652061421,-1.937703111971344,-1.2805329100425182,-0.31943222300066315,-0.9999999899491329,-0.9999964739669568,-0.9995004022136814,1.0631661087414776e-08,5.157348178220486e-06,0.0009554477266914494
Gross before costs,orig+VIX Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.9373233272375191,-0.8735211676438968,-0.7351999047942384,-1.531542037983654,-0.9644564054237935,-0.29351779511885373,-0.9999990812643741,-0.9999729106970945,-0.9989625088189338,9.672311828041357e-07,3.2366128450578124e-05,0.0013019419394067761
