config,fold_id,scheme,test_groups,test_start,test_end,n_train,n_test,n_purged,n_embargoed,status,expected_splits_per_config
orig,kfold_00,kfold,0,2015-02-27,2017-10-31,94,33,1,1,ok,8
orig,kfold_01,kfold,1,2017-11-30,2020-08-31,94,32,2,1,ok,8
orig,kfold_02,kfold,2,2020-09-30,2023-06-30,94,32,2,1,ok,8
orig,kfold_03,kfold,3,2023-07-31,2026-04-30,96,32,1,0,ok,8
orig,cpcv_00,cpcv,0,2015-02-27,2017-10-31,94,33,1,1,ok,8
orig,cpcv_01,cpcv,1,2017-11-30,2020-08-31,94,32,2,1,ok,8
orig,cpcv_02,cpcv,2,2020-09-30,2023-06-30,94,32,2,1,ok,8
orig,cpcv_03,cpcv,3,2023-07-31,2026-04-30,96,32,1,0,ok,8
orig+VIX,kfold_00,kfold,0,2015-02-27,2017-10-31,94,33,1,1,ok,8
orig+VIX,kfold_01,kfold,1,2017-11-30,2020-08-31,94,32,2,1,ok,8
orig+VIX,kfold_02,kfold,2,2020-09-30,2023-06-30,94,32,2,1,ok,8
orig+VIX,kfold_03,kfold,3,2023-07-31,2026-04-30,96,32,1,0,ok,8
orig+VIX,cpcv_00,cpcv,0,2015-02-27,2017-10-31,94,33,1,1,ok,8
orig+VIX,cpcv_01,cpcv,1,2017-11-30,2020-08-31,94,32,2,1,ok,8
orig+VIX,cpcv_02,cpcv,2,2020-09-30,2023-06-30,94,32,2,1,ok,8
orig+VIX,cpcv_03,cpcv,3,2023-07-31,2026-04-30,96,32,1,0,ok,8
larger,kfold_00,kfold,0,2015-02-27,2017-10-31,94,33,1,1,ok,8
larger,kfold_01,kfold,1,2017-11-30,2020-08-31,94,32,2,1,ok,8
larger,kfold_02,kfold,2,2020-09-30,2023-06-30,94,32,2,1,ok,8
larger,kfold_03,kfold,3,2023-07-31,2026-04-30,96,32,1,0,ok,8
larger,cpcv_00,cpcv,0,2015-02-27,2017-10-31,94,33,1,1,ok,8
larger,cpcv_01,cpcv,1,2017-11-30,2020-08-31,94,32,2,1,ok,8
larger,cpcv_02,cpcv,2,2020-09-30,2023-06-30,94,32,2,1,ok,8
larger,cpcv_03,cpcv,3,2023-07-31,2026-04-30,96,32,1,0,ok,8
larger+VIX,kfold_00,kfold,0,2015-02-27,2017-10-31,94,33,1,1,ok,8
larger+VIX,kfold_01,kfold,1,2017-11-30,2020-08-31,94,32,2,1,ok,8
larger+VIX,kfold_02,kfold,2,2020-09-30,2023-06-30,94,32,2,1,ok,8
larger+VIX,kfold_03,kfold,3,2023-07-31,2026-04-30,96,32,1,0,ok,8
larger+VIX,cpcv_00,cpcv,0,2015-02-27,2017-10-31,94,33,1,1,ok,8
larger+VIX,cpcv_01,cpcv,1,2017-11-30,2020-08-31,94,32,2,1,ok,8
larger+VIX,cpcv_02,cpcv,2,2020-09-30,2023-06-30,94,32,2,1,ok,8
larger+VIX,cpcv_03,cpcv,3,2023-07-31,2026-04-30,96,32,1,0,ok,8
