config,fold_id,scheme,strategy,display_strategy,basis,is_sharpe,oos_sharpe,status
orig,kfold_00,kfold,orig E1 capped,E1 capped,gross,1.0708398748104364,1.06990620688943,ok
orig,kfold_00,kfold,orig E1 capped,E1 capped,full_cost_net,0.8937907989006078,-0.5690717262110773,ok
orig,kfold_00,kfold,orig GM paper,GM paper,gross,1.6765822351261281,1.0069292485249155,ok
orig,kfold_00,kfold,orig GM paper,GM paper,full_cost_net,-0.8987502505815347,-2.473155978524887,ok
orig,kfold_00,kfold,orig Equal premium capped,Equal premium capped,gross,1.0433094069544315,0.5225002126554099,ok
orig,kfold_00,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,0.8763973888158219,-0.8706300250079196,ok
orig,kfold_00,kfold,orig Equal risk capped,Equal risk capped,gross,1.053338297474568,0.5720725300543863,ok
orig,kfold_00,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,0.8883777214231994,-0.8586440584342202,ok
orig,kfold_01,kfold,orig E1 capped,E1 capped,gross,1.0126176052090663,1.6017188801312467,ok
orig,kfold_01,kfold,orig E1 capped,E1 capped,full_cost_net,-0.2886393922467862,1.4301526603809793,ok
orig,kfold_01,kfold,orig GM paper,GM paper,gross,1.9230794408749157,0.9146011915534487,ok
orig,kfold_01,kfold,orig GM paper,GM paper,full_cost_net,-0.8384474128597402,-2.3528477754373216,ok
orig,kfold_01,kfold,orig Equal premium capped,Equal premium capped,gross,0.6382952581784549,1.6582107873970733,ok
orig,kfold_01,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,-0.3774079877149818,1.4602470847355413,ok
orig,kfold_01,kfold,orig Equal risk capped,Equal risk capped,gross,0.6384492800537557,1.6587944349195312,ok
orig,kfold_01,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,-0.3773398039192514,1.4610035720554686,ok
orig,kfold_02,kfold,orig E1 capped,E1 capped,gross,1.242011583578577,0.15452469463901103,ok
orig,kfold_02,kfold,orig E1 capped,E1 capped,full_cost_net,-0.03842505313355243,-0.04002135987173412,ok
orig,kfold_02,kfold,orig GM paper,GM paper,gross,2.0409301935913398,0.574220554248113,ok
orig,kfold_02,kfold,orig GM paper,GM paper,full_cost_net,-1.0767160744467514,-1.0344162753262465,ok
orig,kfold_02,kfold,orig Equal premium capped,Equal premium capped,gross,0.9570867299557074,-0.1733942965194643,ok
orig,kfold_02,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,-0.08263509315229504,-0.41069749069516687,ok
orig,kfold_02,kfold,orig Equal risk capped,Equal risk capped,gross,0.957086729955708,-0.17339429651946434,ok
orig,kfold_02,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,-0.08263509315229511,-0.4106974906951669,ok
orig,kfold_03,kfold,orig E1 capped,E1 capped,gross,0.0,0.0,ok
orig,kfold_03,kfold,orig E1 capped,E1 capped,full_cost_net,0.0,0.0,ok
orig,kfold_03,kfold,orig GM paper,GM paper,gross,1.663240085784183,1.3274783496213591,ok
orig,kfold_03,kfold,orig GM paper,GM paper,full_cost_net,-0.9665855069719375,-0.47902144641335104,ok
orig,kfold_03,kfold,orig Equal premium capped,Equal premium capped,gross,0.8160813312912955,0.9169283785593988,ok
orig,kfold_03,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,-0.7304029869219887,0.8057886391789836,ok
orig,kfold_03,kfold,orig Equal risk capped,Equal risk capped,gross,0.850111093200119,0.9078631133812223,ok
orig,kfold_03,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,-0.7160291545519322,0.7924843830348905,ok
orig,cpcv_00,cpcv,orig E1 capped,E1 capped,gross,1.0708398748104364,1.06990620688943,ok
orig,cpcv_00,cpcv,orig E1 capped,E1 capped,full_cost_net,0.8937907989006078,-0.5690717262110773,ok
orig,cpcv_00,cpcv,orig GM paper,GM paper,gross,1.6765822351261281,1.0069292485249155,ok
orig,cpcv_00,cpcv,orig GM paper,GM paper,full_cost_net,-0.8987502505815347,-2.473155978524887,ok
orig,cpcv_00,cpcv,orig Equal premium capped,Equal premium capped,gross,1.0433094069544315,0.5225002126554099,ok
orig,cpcv_00,cpcv,orig Equal premium capped,Equal premium capped,full_cost_net,0.8763973888158219,-0.8706300250079196,ok
orig,cpcv_00,cpcv,orig Equal risk capped,Equal risk capped,gross,1.053338297474568,0.5720725300543863,ok
orig,cpcv_00,cpcv,orig Equal risk capped,Equal risk capped,full_cost_net,0.8883777214231994,-0.8586440584342202,ok
orig,cpcv_01,cpcv,orig E1 capped,E1 capped,gross,1.0126176052090663,1.6017188801312467,ok
orig,cpcv_01,cpcv,orig E1 capped,E1 capped,full_cost_net,-0.2886393922467862,1.4301526603809793,ok
orig,cpcv_01,cpcv,orig GM paper,GM paper,gross,1.9230794408749157,0.9146011915534487,ok
orig,cpcv_01,cpcv,orig GM paper,GM paper,full_cost_net,-0.8384474128597402,-2.3528477754373216,ok
orig,cpcv_01,cpcv,orig Equal premium capped,Equal premium capped,gross,0.6382952581784549,1.6582107873970733,ok
orig,cpcv_01,cpcv,orig Equal premium capped,Equal premium capped,full_cost_net,-0.3774079877149818,1.4602470847355413,ok
orig,cpcv_01,cpcv,orig Equal risk capped,Equal risk capped,gross,0.6384492800537557,1.6587944349195312,ok
orig,cpcv_01,cpcv,orig Equal risk capped,Equal risk capped,full_cost_net,-0.3773398039192514,1.4610035720554686,ok
