Return basis,Strategy,Requested method,Simulation,Breach 10%,Breach 25%,Breach 50%,Breach 75%,Breach 90%
Gross before costs,orig E1 capped,circular_block_bootstrap,circular_block_bootstrap,1.0,1.0,0.85,0.35,0.1
Gross before costs,orig E1 capped,egarch_or_ewma,garch11_residual_fallback_insufficient_egarch_obs,1.0,1.0,0.85,0.35,0.05
Gross before costs,orig GM paper,circular_block_bootstrap,circular_block_bootstrap,1.0,1.0,0.95,0.9,0.25
Gross before costs,orig GM paper,egarch_or_ewma,garch11_residual_fallback_insufficient_egarch_obs,1.0,1.0,1.0,0.8,0.5
Gross before costs,orig Equal premium capped,circular_block_bootstrap,circular_block_bootstrap,1.0,1.0,1.0,0.9,0.5
Gross before costs,orig Equal premium capped,egarch_or_ewma,garch11_residual_fallback_insufficient_egarch_obs,1.0,1.0,1.0,0.85,0.6
Gross before costs,orig Equal risk capped,circular_block_bootstrap,circular_block_bootstrap,1.0,1.0,1.0,0.9,0.5
Gross before costs,orig Equal risk capped,egarch_or_ewma,garch11_residual_fallback_insufficient_egarch_obs,1.0,1.0,1.0,0.8,0.55
Gross before costs,orig+VIX E1 capped,circular_block_bootstrap,circular_block_bootstrap,1.0,1.0,0.6,0.0,0.0
Gross before costs,orig+VIX E1 capped,egarch_or_ewma,garch11_residual_fallback_insufficient_egarch_obs,1.0,0.85,0.25,0.05,0.0
Gross before costs,orig+VIX GM paper,circular_block_bootstrap,circular_block_bootstrap,1.0,1.0,0.85,0.15,0.0
Gross before costs,orig+VIX GM paper,egarch_or_ewma,garch11_residual_fallback_insufficient_egarch_obs,1.0,1.0,0.7,0.35,0.25
Gross before costs,orig+VIX Equal premium capped,circular_block_bootstrap,circular_block_bootstrap,1.0,1.0,1.0,1.0,1.0
Gross before costs,orig+VIX Equal premium capped,egarch_or_ewma,garch11_residual_fallback_insufficient_egarch_obs,1.0,1.0,1.0,1.0,1.0
Gross before costs,orig+VIX Equal risk capped,circular_block_bootstrap,circular_block_bootstrap,1.0,1.0,1.0,1.0,1.0
Gross before costs,orig+VIX Equal risk capped,egarch_or_ewma,garch11_residual_fallback_insufficient_egarch_obs,1.0,1.0,1.0,1.0,1.0
Gross before costs,larger E1 capped,circular_block_bootstrap,circular_block_bootstrap,1.0,1.0,0.85,0.25,0.0
Gross before costs,larger E1 capped,egarch_or_ewma,garch11_residual_fallback_insufficient_egarch_obs,1.0,1.0,0.85,0.4,0.05
Gross before costs,larger GM paper,circular_block_bootstrap,circular_block_bootstrap,1.0,1.0,0.8,0.4,0.1
Gross before costs,larger GM paper,egarch_or_ewma,garch11_residual_fallback_insufficient_egarch_obs,1.0,1.0,1.0,0.35,0.15
