strategy,basis,paths,ok_paths,p05_sharpe,p50_sharpe,p95_sharpe,error_paths
larger E1 capped,full_cost_net,5,5,0.5196513651331442,0.7287950699268246,0.7645249490179024,0
larger E1 capped,gross,5,5,0.7501527875592512,0.9057339570140336,0.9647004206419233,0
larger Equal premium capped,full_cost_net,5,5,0.48061024970981153,0.48061024970981153,0.48061024970981153,0
larger Equal premium capped,gross,5,5,0.6951238689136057,0.6951238689136057,0.6951238689136057,0
larger Equal risk capped,full_cost_net,5,5,0.5460929287303034,0.5648193658009918,0.5831004274689933,0
larger Equal risk capped,gross,5,5,0.8075729224486711,0.8216183095236916,0.8356252378171255,0
larger GM paper,full_cost_net,5,5,-3.4873636343194216,-2.5009623749448067,-1.7630154929486002,0
larger GM paper,gross,5,5,-0.008754019745886368,0.4649009038778434,0.8800282284970226,0
larger+VIX E1 capped,full_cost_net,5,5,1.1897894903724582,1.450289993722198,2.0097086726847873,0
larger+VIX E1 capped,gross,5,5,1.5341504178029415,1.7810457860843611,2.4526210901119394,0
larger+VIX Equal premium capped,full_cost_net,5,5,0.07905387400704766,0.07905387400704766,0.07905387400704766,0
larger+VIX Equal premium capped,gross,5,5,0.3232687992806882,0.3232687992806882,0.3232687992806882,0
larger+VIX Equal risk capped,full_cost_net,5,5,0.010311511189445594,0.2788486366047119,0.3230829268783901,0
larger+VIX Equal risk capped,gross,5,5,0.2824177322830907,0.5431543116584385,0.5922375894143779,0
larger+VIX GM paper,full_cost_net,5,5,-3.7525017295868195,-2.362669125695977,-2.0611069123779804,0
larger+VIX GM paper,gross,5,5,0.41115001074427737,1.0986326204347827,1.7100479678039926,0
orig E1 capped,full_cost_net,5,5,0.7075559713069364,0.8023905107816428,0.8531358183280437,0
orig E1 capped,gross,5,5,0.9058428257646829,1.0079002363560638,1.0583212362307524,0
orig Equal premium capped,full_cost_net,5,5,0.3590178087634934,0.3590178087634934,0.3590178087634934,0
orig Equal premium capped,gross,5,5,0.5392379625987882,0.5392379625987882,0.5392379625987882,0
orig Equal risk capped,full_cost_net,5,5,0.3407638139215389,0.340763813921539,0.3407638139215391,0
orig Equal risk capped,gross,5,5,0.5555151377806686,0.5555151377806687,0.5555151377806687,0
orig GM paper,full_cost_net,5,5,-1.4907040613986995,-1.342848032931401,-1.2085779099463134,0
orig GM paper,gross,5,5,0.64751557099463,0.7462099445959547,0.9996226130699088,0
orig+VIX E1 capped,full_cost_net,5,5,1.088645993759859,1.3086308370521347,1.5572369089248563,0
orig+VIX E1 capped,gross,5,5,1.3994598871601334,1.630284988749624,1.89803766769857,0
orig+VIX Equal premium capped,full_cost_net,5,5,-0.8763391357452797,-0.8763391357452797,-0.8763391357452797,0
orig+VIX Equal premium capped,gross,5,5,-0.6060955232983243,-0.6060955232983243,-0.6060955232983243,0
orig+VIX Equal risk capped,full_cost_net,5,5,-1.1574587378769032,-0.999922920287337,-0.9320248146076464,0
orig+VIX Equal risk capped,gross,5,5,-0.8442593143331114,-0.7019197612412423,-0.6414874614738166,0
orig+VIX GM paper,full_cost_net,5,5,-1.359249144097081,-1.2220912084980655,-1.0258794773328492,0
orig+VIX GM paper,gross,5,5,1.0089717057385728,1.1645851344332527,2.1729831886193547,0
