Universe Family,Basis,Strategy,Realized Value,Path P05 Sharpe,Path P25 Sharpe,Path P50 Sharpe,Path P75 Sharpe,Path P95 Sharpe,Path P50 Max Drawdown,P Sharpe Less Than 0,P Max Drawdown Less Than -0.5,P Default
resampled,full_cost_net,larger E1 capped,0.5627162905974455,-0.29483974465032364,0.30132328309288303,0.47474547376274623,0.764670962608212,1.28991098261717,-0.7321233315319571,0.2,0.95,0.0
resampled,full_cost_net,larger Equal premium capped,0.48061024970981153,-0.3075135063895655,0.23747130918153053,0.437836999206593,0.5723805372879442,1.0809837547920262,-0.9634789907702297,0.2,1.0,0.0
resampled,full_cost_net,larger Equal risk capped,0.5580506176345401,-0.2039906135304132,0.3800346924327729,0.5169225314076862,0.669742327998336,1.2427968672417185,-0.935731754932021,0.15,1.0,0.0
resampled,full_cost_net,larger GM paper,-2.2789576553984197,-3.01905696068548,-2.5056643893807213,-2.2873909944343964,-2.20912466269523,-2.0451899834739375,-1.0,1.0,1.0,1.0
resampled,full_cost_net,larger+VIX E1 capped,1.514035612117258,0.9865038635815754,1.1664709751270719,1.3885996805002985,1.6879794676540056,2.1049798994375815,-0.43830908388043543,0.0,0.3,0.0
resampled,full_cost_net,larger+VIX Equal premium capped,0.07905387400704766,-0.7368834667024196,-0.1582909137016122,0.08520292244799821,0.17144862650623427,0.7878892157158616,-0.9941302603588881,0.4,1.0,0.0
resampled,full_cost_net,larger+VIX Equal risk capped,0.27207197960340457,-0.5250068621771917,0.08303317113609815,0.26442385139752733,0.375499500703775,1.0356848402164773,-0.9765928850212118,0.25,1.0,0.0
resampled,full_cost_net,larger+VIX GM paper,-2.138783561790056,-4.57962189022812,-2.2839031456724834,-2.1530431901247584,-2.112006389095619,-1.9219740944811647,-1.0,1.0,1.0,1.0
resampled,full_cost_net,orig E1 capped,0.7241215889649832,-0.005088763495816634,0.3234401076551541,0.6663613101196506,0.8858899938845838,1.3740413695506477,-0.7501067680236553,0.05,0.9,0.0
resampled,full_cost_net,orig Equal premium capped,0.3590178087634934,-0.3958943437198612,-0.011106556267534843,0.31933160475798517,0.49447921271012807,0.9223141089700981,-0.9249805694549884,0.3,1.0,0.0
resampled,full_cost_net,orig Equal risk capped,0.3407638139215389,-0.398494878132582,-0.025758718068582563,0.2994023550835685,0.4674092512316113,0.9262007357926247,-0.9242650546234542,0.35,1.0,0.0
resampled,full_cost_net,orig GM paper,-1.4147928991911154,-2.4680238357224367,-1.908781984287101,-1.5783433195088485,-1.3443221647755308,-1.2375859440795538,-1.0,1.0,1.0,1.0
resampled,full_cost_net,orig+VIX E1 capped,1.2875638121896607,0.7587286090218808,0.8803281773918654,1.277984939983345,1.507569069158956,1.9174385127644344,-0.6225185044588493,0.0,0.75,0.0
resampled,full_cost_net,orig+VIX Equal premium capped,-0.8763391357452797,-1.9549254514538925,-1.2715577648670895,-0.9886309130801676,-0.8194385566674756,-0.30465111883338103,-0.9999991605994212,1.0,1.0,0.0
resampled,full_cost_net,orig+VIX Equal risk capped,-1.0051028856045827,-2.165933712796832,-1.3954201325410922,-1.0991674409706227,-0.9359096544964229,-0.3592478430524279,-0.9999991807659805,1.0,1.0,0.0
resampled,full_cost_net,orig+VIX GM paper,-1.20404880823636,-1.9510566362936774,-1.517046603193355,-1.352785423458426,-1.1683731092211096,-1.0198047344299663,-1.0,1.0,1.0,1.0
