Variant,Sharpe,Monthly Sharpe,Probabilistic Sharpe,Deflated Sharpe,DSR trials,Reality check p,Centered max stat,Centered max p95,N,Block size,Seed
orig E1 capped::gross,0.9536794133099092,0.27530353299754023,0.9920026983911894,0.2845253092953005,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig GM paper::gross,0.8533112017636689,0.24632972602038866,0.9799558624983129,0.216582662982502,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig Equal premium capped::gross,0.5392379625987882,0.15566459143183786,0.9036617473852228,0.061074279013850465,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig Equal risk capped::gross,0.5555151377806686,0.16036340716829056,0.909916310892405,0.06622743242358053,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig+VIX E1 capped::gross,1.6035878098030372,0.462915926829493,0.9999649974105743,0.8537232094352768,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig+VIX GM paper::gross,1.387394399984995,0.4005062651517581,0.9995589553080607,0.6912044657931767,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig+VIX Equal premium capped::gross,-0.6060955232983243,-0.1749647067654573,0.11721367718346531,0.00023071874463630057,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig+VIX Equal risk capped::gross,-0.7066952954787802,-0.20400535953985793,0.08546015931186973,0.00012917830659162543,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger E1 capped::gross,0.8197995368254629,0.23665574163385578,0.9810704805789737,0.18139570644929015,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger GM paper::gross,0.5002803410444538,0.14441849478614663,0.8589910099131519,0.07217948458315881,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger Equal premium capped::gross,0.6951238689136057,0.20066497641870218,0.9610184144261321,0.10986474738583851,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger Equal risk capped::gross,0.817328643368771,0.2359424561326758,0.9817123757434649,0.1773979336049925,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger+VIX E1 capped::gross,1.922896211748667,0.5550923227384023,0.9999985503409483,0.9648059834119102,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger+VIX GM paper::gross,0.8530801709964747,0.24626303318257334,0.9750193485013321,0.22687234558423303,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger+VIX Equal premium capped::gross,0.32326879928068813,0.0933196641426562,0.7791790259063054,0.020824026844659428,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger+VIX Equal risk capped::gross,0.5370443143969552,0.15503133974192007,0.9079449205814669,0.05614947859831124,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig E1 capped::full_cost_net,0.7241215889649831,0.20903589715747628,0.9628375384593301,0.0006882188118031225,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig GM paper::full_cost_net,-1.4147928991911154,-0.4084155305977808,5.040705385979038e-09,2.423272175905039e-44,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig Equal premium capped::full_cost_net,0.3590178087634934,0.10363951426673625,0.8006337251980751,4.619063537854152e-05,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig Equal risk capped::full_cost_net,0.34076381392153887,0.09837003984884202,0.7872477156169579,4.2018159235406494e-05,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig+VIX E1 capped::full_cost_net,1.2875638121896607,0.37168765678326066,0.9992148535680007,0.035602114247288666,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig+VIX GM paper::full_cost_net,-1.20404880823636,-0.3475789517763553,2.022682359556278e-09,2.8171278424641483e-56,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig+VIX Equal premium capped::full_cost_net,-0.8763391357452796,-0.2529773179619706,0.051687953115063565,3.5754896697990616e-08,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
orig+VIX Equal risk capped::full_cost_net,-1.0051028856045825,-0.2901482107835377,0.03286033405173353,1.4846167508681305e-08,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger E1 capped::full_cost_net,0.5627162905974454,0.16244220092691142,0.9148043341177532,0.0001881616330454735,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger GM paper::full_cost_net,-2.278957655398419,-0.6578784079080179,3.3773564704415857e-14,1.0535417066677592e-45,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger Equal premium capped::full_cost_net,0.4806102497098115,0.13874022852262646,0.8792553278588737,8.586306052176936e-05,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger Equal risk capped::full_cost_net,0.55805061763454,0.1610953371563693,0.9148891562434689,0.0001598589488079073,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger+VIX E1 capped::full_cost_net,1.5140356121172578,0.43706443410928936,0.9998811867877484,0.10861086502908507,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger+VIX GM paper::full_cost_net,-2.138783561790056,-0.6174136325689177,5.731761416353008e-12,4.147678810503149e-40,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger+VIX Equal premium capped::full_cost_net,0.07905387400704766,0.022820887719225864,0.5707877879813766,5.80014145991024e-06,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
larger+VIX Equal risk capped::full_cost_net,0.27207197960340446,0.07854041533148998,0.7385360514375419,1.9801555398787557e-05,16,0.0,4.299726643146849,2.7029471283882733,60,8,20260625
