config,strategy,deployable,mode,solver_status,capacity_infeasible,sum_of_caps,deployed_gross,gross_sharpe,net_sharpe,gross_sortino,net_sortino,gross_max_drawdown,net_max_drawdown
orig,E1 capped,False,hard,optimal,True,0.73143245,0.5350196225936078,0.9536794133099091,0.7241215889649832,2.351507386709505,1.6436977095001692,-0.6241761553503424,-0.6639582665571779
orig,GM paper,True,uncapped,optimal,False,,0.9999992143116795,0.853311201763669,-1.4147928991911154,1.7985143423466192,-1.3232050760415672,-0.8743521343985694,-1.0
orig,Equal premium capped,False,relaxed,reference,True,0.73143245,0.6948608274999999,0.5392379625987882,0.3590178087634934,1.1307302232131538,0.7053004160661834,-0.838646129819051,-0.868201348634282
orig,Equal risk capped,False,relaxed,reference,True,0.73143245,0.6948608274999999,0.5555151377806686,0.3407638139215389,1.1641808148500818,0.6613291293822151,-0.8248124047193123,-0.8602760178297127
orig+VIX,E1 capped,True,hard,optimal,False,1.0793635,0.7704742026437622,1.6035878098030374,1.2875638121896607,4.592160491138205,3.264123503177701,-0.4240970047404019,-0.48752470109550483
orig+VIX,GM paper,True,uncapped,optimal,False,,0.9999998010796116,1.387394399984995,-1.20404880823636,3.4635812030881548,-1.1501500905454125,-0.6021737724527177,-1.0
orig+VIX,Equal premium capped,True,hard,reference,False,1.0793635,0.9999999999999999,-0.6060955232983243,-0.8763391357452797,-0.8896672023409898,-1.187770558959354,-0.9999885660662858,-0.9999992799330027
orig+VIX,Equal risk capped,True,hard,reference,False,1.0793635,0.9999999999999998,-0.7066952954787802,-1.0051028856045827,-0.9996935969496226,-1.3050050419145964,-0.9999850389121294,-0.9999991066829125
larger,E1 capped,True,hard,optimal,False,1.15488865,0.6405273304747888,0.819799536825463,0.5627162905974455,1.9689640568670999,1.2193788622932815,-0.6608458102207722,-0.7720880374689731
larger,GM paper,True,uncapped,optimal,False,,0.9999985791352619,0.500280341044454,-2.2789576553984197,0.7536944523782756,-1.9151253546175375,-0.6764008382773343,-1.0
larger,Equal premium capped,True,hard,reference,False,1.15488865,1.0,0.6951238689136057,0.48061024970981153,1.674115045840623,1.0592186950555493,-0.9036009372073538,-0.9642763353009011
larger,Equal risk capped,True,hard,reference,False,1.15488865,1.0,0.8173286433687711,0.5580506176345401,1.9931861591562579,1.2346956287277564,-0.8257669229098593,-0.9293339136147308
larger+VIX,E1 capped,True,hard,optimal,False,1.5028197,0.9050522773974661,1.922896211748667,1.514035612117258,5.995022569739179,4.0412316356510045,-0.36635438409940935,-0.4105067411815496
larger+VIX,GM paper,True,uncapped,optimal,False,,0.9999992845621319,0.8530801709964747,-2.138783561790056,1.5883673662019688,-1.831186977664072,-0.5069981949947102,-1.0
larger+VIX,Equal premium capped,True,hard,reference,False,1.5028197,1.0000000000000002,0.3232687992806882,0.07905387400704766,0.6846072680770812,0.15215659286082636,-0.9704537216073407,-0.9917011826441089
larger+VIX,Equal risk capped,True,hard,reference,False,1.5028197,1.0,0.5370443143969553,0.27207197960340457,1.2038848787717014,0.5526012740854463,-0.8986954905320667,-0.966190274967262
