Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
larger Equal premium capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,1.8048813787819866,1.8449720430038052,1.2440387420543781,3.5398673759578916,-0.7661969794829072,0.4377953431504052,0.4585021386259075,173.60910419675238,False,6
larger Equal premium capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,-0.3866609908675043,1.7432041812049701,0.40785659742610136,0.8555049677065901,-0.9715589563157603,0.4767635370432771,0.5037832149456987,0.0867966445476398,False,6
larger Equal premium capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,-0.4668256597849477,1.6082330136368026,0.23716690266743465,0.48985954398520887,-0.9799736976767102,0.4715029478945799,0.4795730146573596,0.04308699447120993,False,6
larger Equal premium capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,-0.3423760895190592,1.445834201176884,0.2872443532479558,0.5867291875478342,-0.9628084799586539,0.4396726484295161,0.4848220374703151,0.12299514715605352,False,6
larger Equal premium capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,-0.09455450450242175,1.5251573812439083,0.5375166788618954,1.1756987007253017,-0.9096392432782349,0.4394807233876139,0.48354253719096735,0.6085714333505401,False,6
larger Equal premium capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,1.1817630799861139,1.9247369261632246,1.0724019133571654,3.345001353878215,-0.8033079414984409,0.4134536654159905,0.43501103067875235,49.435387362925816,False,6
larger Equal premium capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,0.10120256693986662,1.514052610314731,0.6574318786480282,1.4954430910529586,-0.9562260322548536,0.4146707493027112,0.4615465799258695,1.6193326608240948,False,6
larger Equal premium capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,-0.6729750582361813,0.9991570565382991,-0.5750280382779335,-0.7817384620195528,-0.994822042498298,0.4376777558046603,0.4502323201139813,0.0037402823250154834,False,6
larger Equal premium capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,0.055038639007360945,1.3100326306429295,0.5697700496657707,1.2058527430543637,-0.9320402085530104,0.3911258875715393,0.4502323201139813,1.3071993587150945,False,6
larger Equal premium capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.7285144599233374,1.428140371775049,-0.29343379418491455,-0.5098000171305398,-0.9984472806977925,0.4715029478945799,0.4724625731040908,0.0014748013118958752,False,6
larger Equal premium capped,Full-cost net,10,circular_block_bootstrap,60,ok,60,-0.3621271633808558,1.4815495249009256,0.2955517111774387,0.5892514426179162,-0.9799274508510515,0.4716948729364821,0.49430262620800686,0.1056016106206686,False,6
larger Equal premium capped,Full-cost net,11,circular_block_bootstrap,60,ok,60,-0.21652154990201766,1.7306335876520782,0.46781740098708474,1.1239296711566868,-0.9791159621978481,0.4376777558046603,0.44712307587308725,0.2952128636581751,False,6
larger Equal premium capped,Full-cost net,12,circular_block_bootstrap,60,ok,60,-0.5401978625588513,1.1839432330582245,-0.1028543581254468,-0.16920168973267816,-0.9928995064595306,0.4716948729364821,0.4848220374703151,0.020552039645194326,False,6
larger Equal premium capped,Full-cost net,13,circular_block_bootstrap,60,ok,60,-0.0544476726331955,1.6504203260430061,0.5802120001544647,1.412694642123591,-0.9360057126718256,0.4394807233876139,0.47406194845327554,0.7558364636604779,False,6
larger Equal premium capped,Full-cost net,14,circular_block_bootstrap,60,ok,60,-0.45353874007450246,1.546686197982024,0.2375727780195625,0.46279726882883143,-0.9804371462174964,0.47534144873262335,0.48245189028589214,0.048730054320613274,False,6
larger Equal premium capped,Full-cost net,15,circular_block_bootstrap,60,ok,60,-0.3577134732436491,1.7408119134523279,0.38712014328893507,0.870069889860402,-0.9641495015818055,0.4715029478945799,0.4805326398668705,0.109306014541616,False,6
larger Equal premium capped,Full-cost net,16,circular_block_bootstrap,60,ok,60,-0.716324416631676,1.4317463757967572,-0.2643480941222045,-0.4638685618495743,-0.9987379987731628,0.4715029478945799,0.4727824481739277,0.0018370026518014044,False,6
larger Equal premium capped,Full-cost net,17,circular_block_bootstrap,60,ok,60,0.2089423013608831,1.5975030904985834,0.7566006677969916,1.7268917913956192,-0.879525290425203,0.47534144873262335,0.489562331839161,2.5824259068682154,False,6
larger Equal premium capped,Full-cost net,18,circular_block_bootstrap,60,ok,60,-0.24127646759748067,1.7889812936352958,0.5054779370709944,1.1447938649915725,-0.938968047454149,0.44109473674016986,0.5037832149456987,0.25143039130584843,False,6
larger Equal premium capped,Full-cost net,19,circular_block_bootstrap,60,ok,60,-0.010021906231376998,1.4425295112255425,0.5412969780691346,1.2151669099033304,-0.903183954592437,0.4134536654159905,0.4340514054692415,0.9508848393639223,False,6
