Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
larger Equal premium capped,Full-cost net,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.25621883990957195,1.2279316875519546,0.3223165399145444,0.5691655292650951,-0.9912198588351709,0.37756289681452754,0.45976449547887227,0.2276280969808235,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.444527655357297,1.059784314163491,-0.06320918429128003,-0.10459509460356599,-0.9923879832607821,0.3495170434133508,0.3905441849032081,0.05288252796883435,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.42590932660271774,1.0995250750339962,-0.008003209413350382,-0.013782641559518421,-0.9833075969583389,0.3615337857976822,0.3866105247089748,0.06235947599469472,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.1595119205261114,1.1749863598643253,0.3975612448541912,0.705940006205168,-0.953184803430736,0.40421029007139975,0.48239812030631973,0.419428359126703,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.5034770491069757,1.5764747483417878,0.316339550418816,0.5470293158799651,-0.9942083025012043,0.4920689632397983,0.6215464920109638,0.030178429764406194,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.09200824160499943,1.277021844062485,0.6358071577083648,1.2319725717834054,-0.9031375869420573,0.3703734181504168,0.42881442013255316,1.5528502647711553,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.544721012684791,1.0685972515911393,-0.20387987821108142,-0.311131924703748,-0.9959806719884217,0.4075764355848436,0.48446496322889526,0.0195608639718891,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7079506174874838,1.553590884499641,0.006255518130403755,0.009958468913149549,-0.9996603000994302,0.5271576670589655,0.6534732213181798,0.0021246209603924516,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7527004552319421,1.071117383687928,-0.7183819434505432,-0.9792022623455167,-0.9992795820425223,0.40452914391272293,0.518885438065892,0.0009249464386182431,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.4281770330571488,1.1750140317389275,0.10537383018186272,0.16717778929689683,-0.9598131442722612,0.42394110625758935,0.5012361661768573,0.061137541807314795,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.3674769639637374,0.8950520708330231,0.7512227487454026,1.5686342187613107,-0.6494631097692369,0.22517523653176857,0.33822499917893495,4.781895657902249,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.2847495175255561,1.7258261571476134,0.5853012799653097,1.114272846646452,-0.9883793670108256,0.5033585343026803,0.5857664508329116,0.1871935140902132,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7032851449186459,1.3841176036687186,-0.1660777880697119,-0.2530749364800106,-0.998661288765896,0.5169410878448969,0.557111364586814,0.0022998337844664374,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.5001716948004755,1.4149608034341898,0.18254537445837762,0.3127497311628436,-0.9984150150846998,0.5139568163404329,0.5525466633118638,0.031196382211080623,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.06501177762158084,1.0240738879831097,0.5407373165008971,0.9754051322581772,-0.9514144876388977,0.39922997724662485,0.43202055924037447,1.3701624226604898,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.40971703700219375,1.243304793653276,0.18325958751934857,0.2979345733657699,-0.9960878659535253,0.42185805028616574,0.505698908183885,0.0716640326615656,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.906213599397171,1.3844353082449992,-0.8828972688651189,-1.1616077040628794,-0.9999933719086758,0.5520365327295637,0.5692748424236617,7.25603456172142e-06,False,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,17,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8196697205238616,1.222595814737906,-0.6517264140457094,-0.8424530157730148,-0.9996885565776414,0.516596559362314,0.619169275321465,0.00019069674440816526,False,insufficient_egarch_obs
