Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
larger Equal premium capped,Gross before costs,0,circular_block_bootstrap,60,ok,60,2.9796857265545844,1.8428249434682593,1.4394718622438385,4.472371031293784,-0.6829958850826089,0.40975125549184116,0.4312975410455354,998.2605007102891,False,6
larger Equal premium capped,Gross before costs,1,circular_block_bootstrap,60,ok,60,-0.11211055113095214,1.7419054877496762,0.5979496715704736,1.3608917483859495,-0.8981386577989432,0.4524916127668122,0.47597847671970417,0.55181623745852,False,6
larger Equal premium capped,Gross before costs,2,circular_block_bootstrap,60,ok,60,-0.23066522248725174,1.6086996106729312,0.44277868080884886,0.999588805718467,-0.8899628737296966,0.4419524231254975,0.4504589365240491,0.26951120454118405,False,6
larger Equal premium capped,Gross before costs,3,circular_block_bootstrap,60,ok,60,-0.047644856031732075,1.4447492995825733,0.5255023189290805,1.1759691165653292,-0.8982722323270509,0.41565385945106215,0.45949646692820106,0.7834200089971725,False,6
larger Equal premium capped,Gross before costs,4,circular_block_bootstrap,60,ok,60,0.31103731763908127,1.5214584496233432,0.7674951457139527,1.844228807619221,-0.8771086260813065,0.4151887075057145,0.456395453959217,3.8732476724864884,False,6
larger Equal premium capped,Gross before costs,5,circular_block_bootstrap,60,ok,60,2.0205589042821064,1.9263234594430658,1.2427775114318704,4.263089094843658,-0.7670701843175086,0.38854285565391733,0.4095231072080313,251.441261489077,False,6
larger Equal premium capped,Gross before costs,6,circular_block_bootstrap,60,ok,60,0.5819549011733356,1.5134339721326535,0.8897862359384454,2.2191389430685207,-0.9313652005465947,0.38960327564581354,0.4343197135499293,9.90764624800813,False,6
larger Equal premium capped,Gross before costs,7,circular_block_bootstrap,60,ok,60,-0.5205607956153522,1.0013783886411858,-0.23065368647058568,-0.3443716344224487,-0.9661328187491203,0.413780090894147,0.4262718812735811,0.025331897375713164,False,6
larger Equal premium capped,Gross before costs,8,circular_block_bootstrap,60,ok,60,0.5004847271871897,1.3115815106014195,0.8325332828154024,1.9369708255579159,-0.8672612467174018,0.3680172735303792,0.42627188127358123,7.60602758940377,False,6
larger Equal premium capped,Gross before costs,9,circular_block_bootstrap,60,ok,60,-0.6086597993656664,1.4291020882256218,-0.07282954617674617,-0.1377302107909999,-0.9908760849098183,0.4419524231254975,0.44427818285223547,0.009178512773354327,False,6
larger Equal premium capped,Gross before costs,10,circular_block_bootstrap,60,ok,60,-0.09295275368071532,1.4829704910364112,0.5139022380548086,1.1172256561187333,-0.9628583466778197,0.44241757507084506,0.4677374718239526,0.6139733858358982,False,6
larger Equal premium capped,Gross before costs,11,circular_block_bootstrap,60,ok,60,0.10496269802560998,1.7340046025491513,0.6540701843819064,1.716597864433514,-0.9458896279047353,0.40995269726195643,0.42627188127358123,1.6471687167631648,False,6
larger Equal premium capped,Gross before costs,12,circular_block_bootstrap,60,ok,60,-0.34776300077465105,1.1840346706099263,0.16456344109226015,0.29609123478106386,-0.9684692041200658,0.44241757507084506,0.45949646692820106,0.11803944428186802,False,6
larger Equal premium capped,Gross before costs,13,circular_block_bootstrap,60,ok,60,0.34084434426118304,1.6478093775208122,0.78028435093592,2.095663702067823,-0.8728683648662884,0.411361313873524,0.4481544490634655,4.3340290934402,False,6
larger Equal premium capped,Gross before costs,14,circular_block_bootstrap,60,ok,60,-0.20844851740530068,1.5491920495145157,0.45621766876007475,0.9641648562200168,-0.9354403266091469,0.4512554620324495,0.4574362157042632,0.31073904980013456,False,6
larger Equal premium capped,Gross before costs,15,circular_block_bootstrap,60,ok,60,-0.07820522344470793,1.7414667112259912,0.5762714926604008,1.4132420787632847,-0.8947855004367868,0.4419524231254975,0.45278469625078716,0.6655354819022781,False,6
larger Equal premium capped,Gross before costs,16,circular_block_bootstrap,60,ok,60,-0.579689675376589,1.4305908167814447,-0.027221025632213087,-0.052238954610648224,-0.9941621728923995,0.4419524231254975,0.4450534360944815,0.013117476394964914,False,6
larger Equal premium capped,Gross before costs,17,circular_block_bootstrap,60,ok,60,0.7220325100773135,1.593511154755111,0.9694578484721066,2.4140402619361514,-0.7992330643492717,0.4512554620324495,0.46361696937607677,15.142818988288163,False,6
larger Equal premium capped,Gross before costs,18,circular_block_bootstrap,60,ok,60,0.08898018478177372,1.7889724213604832,0.6905523218136286,1.7004962150953737,-0.82530173455608,0.4130626165532343,0.47597847671970417,1.531439648866785,False,6
larger Equal premium capped,Gross before costs,19,circular_block_bootstrap,60,ok,60,0.4116718331052853,1.4446190519145266,0.7795481044075889,1.9233559618135236,-0.866277709499643,0.38854285565391733,0.4071973474812933,5.606202063377321,False,6
