Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
larger+VIX E1 capped,Gross before costs,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.738033831000389,0.7248111562967694,2.237803558909229,7.048547258351509,-0.2838111264883757,0.17095341148810045,0.243050746137899,729.8206344884951,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.9521909439442733,0.9881074097469204,1.135991137090928,2.5201919478976285,-0.7484905292181225,0.2878393154413234,0.29510511301977527,28.353812880005798,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.8270167134075304,0.7450667666594,1.7722141253724593,5.884666989801638,-0.3269324675461289,0.17768127709039017,0.23292217081963898,180.5684542491749,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,3.6369740935876633,0.7710463636951819,2.45187602347084,8.771246613496222,-0.529382148763393,0.15860556156905656,0.21390285662251984,2143.746101809963,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,3.095242526437672,0.7505096913409796,2.3073058916692566,9.387286643032459,-0.37246514845350653,0.12796061857883545,0.18488189557402943,1151.8558495564896,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.794426495255943,0.8355900563408004,2.042708145673328,6.7577657980341534,-0.3257875818887639,0.18665652096788288,0.2465875719460159,786.5579427370782,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.5896024217138907,0.625098077580861,2.4258973282495857,9.38991692060416,-0.22034746518247716,0.11724636415035448,0.15787731635336452,595.980084735337,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.631258006296183,0.8841364918085337,1.927305775904549,5.237927302419377,-0.50955070342752,0.22019537145648346,0.27778221400328434,631.3723175774595,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.006797067337144,0.6797665669944684,1.350817987991187,3.724142876953737,-0.5130081576735337,0.16504077293843664,0.18090987978737663,32.54747397929566,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.2294254034415744,0.6547463303318588,2.1661688091373903,7.049613693565807,-0.2830683027311791,0.15254146370154628,0.17762183340061757,351.25805005498756,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,4.673171904724604,0.6377667520644688,3.192402258624038,17.95274099032054,-0.21202979280222634,0.07773023480242162,0.11584413714803754,5876.648531336673,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,4.706734317691269,0.9588147612582514,2.354673858902851,8.386933918197023,-0.3610509975316136,0.18619239503033372,0.2725113237327259,6052.548388369269,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.89057141856291,0.8202574071752953,1.710750739578518,4.696702791661589,-0.3927390785115743,0.2268415375520699,0.2779720788196319,201.79877273888295,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.357500628031771,0.8880030597821349,1.8257726148674716,4.8501597161575365,-0.5485748036441043,0.24870823076320692,0.2760733685902809,426.65860875773683,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,3.3237644596557185,0.7237716795211551,2.473470494209125,7.392173159590628,-0.29297590415664365,0.1880506122585575,0.23348445791245873,1511.1589130384177,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.7415250543456473,0.8149545979323648,2.0507408814607997,7.606199704185019,-0.38326051355180013,0.14839412179791175,0.18990986104937627,733.2351712009191,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.5665852910206872,0.9356682578380106,0.8985191939427982,1.9688792657174252,-0.6730560026321903,0.29467809692006686,0.3156515834864637,9.435615230793639,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,17,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,2.089936555108565,0.7176954267672678,1.9519465335478798,6.9114428485822845,-0.3402945363054305,0.14219592196320166,0.18848580507984894,281.67468108984644,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,18,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,3.3217218870254106,0.8802372731514782,2.1399483118000844,7.118597872643828,-0.4096777038520588,0.18788059631177773,0.24698402376358652,1507.5928805501271,False,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,19,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,5.013369988523294,0.8466099793971116,2.6431169518286475,9.566142730105193,-0.31208100643754977,0.15129008993622456,0.22030948373301795,7863.024501221609,False,insufficient_egarch_obs
