Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
larger+VIX Equal premium capped,Gross before costs,0,circular_block_bootstrap,60,ok,60,1.1965311653811739,1.7900814883443883,1.0999565822039383,3.011315754338112,-0.8408689374594693,0.4422801323582669,0.45238413619761947,51.13130157414353,False,6
larger+VIX Equal premium capped,Gross before costs,1,circular_block_bootstrap,60,ok,60,-0.3948110615245374,1.64949861871365,0.3470668190577784,0.7150353087709144,-0.9718182736592265,0.4482981981561892,0.4579191700564187,0.081181095454294,False,6
larger+VIX Equal premium capped,Gross before costs,2,circular_block_bootstrap,60,ok,60,-0.5052602881129384,1.5280060662707078,0.14131828501740565,0.2827544247693164,-0.9832796238651524,0.4461700611679802,0.4467020954150324,0.029640386274898897,False,6
larger+VIX Equal premium capped,Gross before costs,3,circular_block_bootstrap,60,ok,60,-0.48203200861251294,1.351361226957042,0.06217393468313758,0.11925680648449534,-0.9744091865127205,0.44258103564816303,0.47395412322346786,0.03728332301007787,False,6
larger+VIX Equal premium capped,Gross before costs,4,circular_block_bootstrap,60,ok,60,-0.236426015599994,1.4158639775660256,0.3760975152664867,0.7769604850339076,-0.9161364853792207,0.44247462879875255,0.4604167816937588,0.25957066873863777,False,6
larger+VIX Equal premium capped,Gross before costs,5,circular_block_bootstrap,60,ok,60,0.83726209626661,1.88727290463318,0.9753438831560065,2.9511725230967714,-0.8227163112358924,0.42654284535117426,0.44553697720443064,20.934161822186795,False,6
larger+VIX Equal premium capped,Gross before costs,6,circular_block_bootstrap,60,ok,60,-0.16077730647718147,1.4148701709075102,0.4390220201805628,0.9287537882293484,-0.9649690523551729,0.4273297097015289,0.45841075976111806,0.41628052707234137,False,6
larger+VIX Equal premium capped,Gross before costs,7,circular_block_bootstrap,60,ok,60,-0.7678481111897384,0.9262777653261284,-1.0228544762763867,-1.2521445784017977,-0.9990597111532012,0.38268320544321033,0.4173828322145092,0.0006743123400002719,False,6
larger+VIX Equal premium capped,Gross before costs,8,circular_block_bootstrap,60,ok,60,-0.18280051445140155,1.2431234076151927,0.3409752428553546,0.6860782819282594,-0.9512209847216806,0.331428962151497,0.4173828322145093,0.3644520712892072,False,6
larger+VIX Equal premium capped,Gross before costs,9,circular_block_bootstrap,60,ok,60,-0.763637249674367,1.3667776259952393,-0.4485163218184694,-0.7460367440657402,-0.9992099237865107,0.4461700611679802,0.45632306731526195,0.0007377261431293873,False,6
larger+VIX Equal premium capped,Gross before costs,10,circular_block_bootstrap,60,ok,60,-0.39492281335208457,1.3897942556949674,0.1971208863620268,0.38557037806138755,-0.9818399671091194,0.4462764680173906,0.46112616068982853,0.08110617020887889,False,6
larger+VIX Equal premium capped,Gross before costs,11,circular_block_bootstrap,60,ok,60,-0.39681055313963287,1.7354142327931052,0.3206867900902689,0.741829855623666,-0.9893602985845167,0.42654284535117426,0.4417381508337794,0.07984885143179764,False,6
larger+VIX Equal premium capped,Gross before costs,12,circular_block_bootstrap,60,ok,60,-0.6408821741461985,1.1282209205537355,-0.3531334149824804,-0.5378062323392773,-0.9970742434795435,0.4462764680173906,0.47395412322346786,0.0059728941123626,False,6
larger+VIX Equal premium capped,Gross before costs,13,circular_block_bootstrap,60,ok,60,-0.24258841622970462,1.5528947060806746,0.4100253193351352,0.9384586554041751,-0.9568528369487939,0.44247462879875255,0.4732447442273982,0.24926408865828917,False,6
larger+VIX Equal premium capped,Gross before costs,14,circular_block_bootstrap,60,ok,60,-0.5120755603991632,1.4748099911604615,0.11165502871642068,0.21274773444305078,-0.9860996335496776,0.4502223925362351,0.48678208575710724,0.027654312105102937,False,6
larger+VIX Equal premium capped,Gross before costs,15,circular_block_bootstrap,60,ok,60,-0.42475730305380555,1.6915458396022087,0.30461832424875684,0.6629143022541265,-0.9711618486745947,0.4461700611679802,0.45685510156231424,0.06298767365817914,False,6
larger+VIX Equal premium capped,Gross before costs,16,circular_block_bootstrap,60,ok,60,-0.7411076153118148,1.3501766412632257,-0.39917512988763565,-0.6677659501385054,-0.9991860329991716,0.4461700611679802,0.4597074026976893,0.001163044627066315,False,6
larger+VIX Equal premium capped,Gross before costs,17,circular_block_bootstrap,60,ok,60,-0.05081235443943233,1.4838958745811424,0.5592747921776228,1.2089335306368705,-0.9036983910842826,0.4482981981561892,0.4675401419566482,0.7704782518100333,False,6
larger+VIX Equal premium capped,Gross before costs,18,circular_block_bootstrap,60,ok,60,-0.3191652657031119,1.7228779005547132,0.4120225998270974,0.9169091892350888,-0.9606096685599897,0.44258103564816303,0.44829819815618926,0.1462879387877118,False,6
larger+VIX Equal premium capped,Gross before costs,19,circular_block_bootstrap,60,ok,60,-0.2292605537229483,1.398741602865934,0.349346281493655,0.7426293901269191,-0.9164275092014696,0.42654284535117426,0.4353839710571489,0.27198060359783416,False,6
