Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
larger+VIX Equal risk capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,1.1028234828589065,1.6547612953179993,1.0887089452150787,2.787142559067635,-0.8349968206952825,0.4164072331906459,0.4331493429481481,41.11630617030987,False,6
larger+VIX Equal risk capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,-0.4431385009446621,1.5565526979296507,0.26082812631928964,0.5080475703132925,-0.9784032986405878,0.41905389883148286,0.45992469808526854,0.05354710067963773,False,6
larger+VIX Equal risk capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,-0.5114526489914468,1.4788009073549484,0.11155922715961847,0.21658056572903475,-0.9846397721374173,0.41799683208199234,0.4481992110175754,0.027831288549402197,False,6
larger+VIX Equal risk capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,-0.48367125478276196,1.236873319399313,-0.002544996934462795,-0.004566976364370122,-0.9775788496177134,0.41646286828272433,0.4614237598245082,0.03669708091623516,False,6
larger+VIX Equal risk capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,-0.3640278294269572,1.3173492695530786,0.20974987909854648,0.39892537607949025,-0.9316434615471451,0.41646286828272433,0.44969827275681507,0.10403765606780153,False,6
larger+VIX Equal risk capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,1.045447722444448,1.8160529123877558,1.0328940978481298,3.120294087736712,-0.7973659862123039,0.3820462825185112,0.41596886761208074,35.80485517279779,False,6
larger+VIX Equal risk capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,-0.21365837399714005,1.347371783181896,0.372483853714411,0.7507762598450141,-0.9654786034524535,0.3837643300521179,0.4493273721429587,0.3006466237177049,False,6
larger+VIX Equal risk capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,-0.8002310561390823,0.9254652117257964,-1.15588873096879,-1.3490334030542945,-0.9995530705921062,0.41751993503221485,0.4394718474283615,0.00031815581691122083,False,6
larger+VIX Equal risk capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,-0.1919924436066639,1.2172377413090387,0.3372321584402348,0.6465745445969797,-0.9642458057798878,0.35242843218735104,0.4394718474283616,0.34441107737862386,False,6
larger+VIX Equal risk capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.7819323227233508,1.3684617302173725,-0.49088780336632654,-0.7936030168837563,-0.9994822257146881,0.4481992110175754,0.45699332631834527,0.000493124396229194,False,6
larger+VIX Equal risk capped,Full-cost net,10,circular_block_bootstrap,60,ok,60,-0.4461672091001112,1.3487171844926837,0.12178308453379134,0.226270910771278,-0.9827517289937165,0.41905389883148286,0.45992469808526854,0.052106670991177904,False,6
larger+VIX Equal risk capped,Full-cost net,11,circular_block_bootstrap,60,ok,60,-0.43942516752632566,1.7079231196284692,0.27587989586243794,0.6124134424585764,-0.9906855915320644,0.41646286828272433,0.4394718474283615,0.05535641787123464,False,6
larger+VIX Equal risk capped,Full-cost net,12,circular_block_bootstrap,60,ok,60,-0.6689408870180245,1.128833036504138,-0.40623969456535836,-0.5952800475627215,-0.998364235907618,0.41905389883148286,0.47165018515296175,0.00397674492480272,False,6
larger+VIX Equal risk capped,Full-cost net,13,circular_block_bootstrap,60,ok,60,-0.23241654036889703,1.4778576022429866,0.39719132061694656,0.8761252205945959,-0.9624196390519287,0.41799683208199234,0.4716501851529617,0.26645755503765894,False,6
larger+VIX Equal risk capped,Full-cost net,14,circular_block_bootstrap,60,ok,60,-0.4732149473390924,1.400449621376357,0.13001709759511793,0.23952942520142512,-0.9843519347637745,0.4208127218916368,0.48337567222065486,0.040566469954398277,False,6
larger+VIX Equal risk capped,Full-cost net,15,circular_block_bootstrap,60,ok,60,-0.43459512441471926,1.5969225920435783,0.2680195764757651,0.5473512377606636,-0.9756069204247103,0.41905389883148286,0.45992469808526854,0.057782688646413206,False,6
larger+VIX Equal risk capped,Full-cost net,16,circular_block_bootstrap,60,ok,60,-0.756525938309683,1.2814615290112514,-0.4918025532934235,-0.7665426571743498,-0.9994146552557462,0.4481992110175754,0.45992469808526854,0.0008555856738909765,False,6
larger+VIX Equal risk capped,Full-cost net,17,circular_block_bootstrap,60,ok,60,-0.07177325455579664,1.382523037309459,0.5167875470639248,1.0687600928609282,-0.9112361168080408,0.41799683208199234,0.4716501851529617,0.689081180403312,False,6
larger+VIX Equal risk capped,Full-cost net,18,circular_block_bootstrap,60,ok,60,-0.3274676074866325,1.6380091935742749,0.38454644167186713,0.8160005819160702,-0.9658749425319387,0.41626024625249275,0.4164072331906459,0.13758339910504377,False,6
larger+VIX Equal risk capped,Full-cost net,19,circular_block_bootstrap,60,ok,60,-0.29817754672725927,1.3622957282914698,0.27278520484196295,0.5513449652139689,-0.9480174870301764,0.3820462825185112,0.4071747523113109,0.17026927703439895,False,6
