Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
larger+VIX GM paper,Full-cost net,0,circular_block_bootstrap,60,ok,60,-1.0,8.59804989077287,-2.1025273828345576,-1.8085110256526127,-1.0,9.571487037516354,9.571487037516354,0.0,True,6
larger+VIX GM paper,Full-cost net,1,circular_block_bootstrap,60,ok,60,-1.0,4.5843529707382835,-2.3242839252478324,-1.941606734551342,-1.0,1.8167593130368405,4.331308095513334,0.0,True,6
larger+VIX GM paper,Full-cost net,2,circular_block_bootstrap,60,ok,60,-1.0,4.599959388750402,-2.2237065841352472,-1.8827968115552247,-1.0,1.7183901456404427,5.169491023005499,0.0,True,6
larger+VIX GM paper,Full-cost net,3,circular_block_bootstrap,60,ok,60,-1.0,5.9630704651606194,-2.1329438358892614,-1.8273376417119966,-1.0,4.258792663228806,7.7848594216877105,0.0,True,6
larger+VIX GM paper,Full-cost net,4,circular_block_bootstrap,60,ok,60,-1.0,5.7461936803254305,-2.116624129011653,-1.8172139825368818,-1.0,2.2317487284739173,7.7848594216877105,0.0,True,6
larger+VIX GM paper,Full-cost net,5,circular_block_bootstrap,60,ok,60,-1.0,6.45136832912455,-1.9174609696156704,-1.688901907356541,-1.0,4.120226718463302,6.300730846084522,0.0,True,6
larger+VIX GM paper,Full-cost net,6,circular_block_bootstrap,60,ok,60,-1.0,5.320604088648699,-2.1494644816528696,-1.8375194604355447,-1.0,1.9319326833081631,6.861086456584348,0.0,True,6
larger+VIX GM paper,Full-cost net,7,circular_block_bootstrap,60,ok,60,-1.0,4.999031804883428,-2.5060481254522973,-2.0416332707342844,-1.0,2.2317487284739173,6.891545613773391,0.0,True,6
larger+VIX GM paper,Full-cost net,8,circular_block_bootstrap,60,ok,60,-1.0,5.3550085248878085,-2.167515488911131,-1.8485690470279974,-1.0,2.0931827837084134,6.861086456584348,0.0,True,6
larger+VIX GM paper,Full-cost net,9,circular_block_bootstrap,60,ok,60,-1.0,1.6742104976737024,-4.57338640648966,-2.7716864312268226,-1.0,1.5867179882816813,1.7580458163528565,0.0,True,6
larger+VIX GM paper,Full-cost net,10,circular_block_bootstrap,60,ok,60,-1.0,4.627918147044831,-2.156621898596647,-1.8422345539332112,-1.0,1.8252461604263273,5.226070005602078,0.0,True,6
larger+VIX GM paper,Full-cost net,11,circular_block_bootstrap,60,ok,60,-1.0,5.407732426365539,-1.9222116273688223,-1.692296037032976,-1.0,2.0931827837084134,6.861086456584348,0.0,True,6
larger+VIX GM paper,Full-cost net,12,circular_block_bootstrap,60,ok,60,-1.0,1.7869696202411485,-4.698096081258865,-2.7963492548573377,-1.0,1.6812906637702973,1.895401780897929,0.0,True,6
larger+VIX GM paper,Full-cost net,13,circular_block_bootstrap,60,ok,60,-1.0,5.36286472535273,-2.162097741519242,-1.8452609433334999,-1.0,2.0931827837084134,6.861086456584348,0.0,True,6
larger+VIX GM paper,Full-cost net,14,circular_block_bootstrap,60,ok,60,-1.0,5.522220766782823,-2.2704428858140338,-1.9103186138238621,-1.0,4.120226718463302,6.175871522054086,0.0,True,6
larger+VIX GM paper,Full-cost net,15,circular_block_bootstrap,60,ok,60,-1.0,6.174009519114894,-2.136030504912355,-1.829426002426229,-1.0,4.120226718463302,6.845856877989828,0.0,True,6
larger+VIX GM paper,Full-cost net,16,circular_block_bootstrap,60,ok,60,-1.0,5.79082879620165,-2.5330026725239954,-2.0558836840586814,-1.0,4.258792663228806,7.7848594216877105,0.0,True,6
larger+VIX GM paper,Full-cost net,17,circular_block_bootstrap,60,ok,60,-1.0,5.806270962697185,-2.1058579985639603,-1.8105003211640693,-1.0,2.2317487284739173,7.7848594216877105,0.0,True,6
larger+VIX GM paper,Full-cost net,18,circular_block_bootstrap,60,ok,60,-1.0,7.149600067870128,-1.9677243982368293,-1.7219765976101011,-1.0,4.392789734415953,9.571487037516354,0.0,True,6
larger+VIX GM paper,Full-cost net,19,circular_block_bootstrap,60,ok,60,-1.0,6.114908743133854,-2.114055852606172,-1.8158001671074202,-1.0,4.258792663228806,7.7848594216877105,0.0,True,6
