Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig+VIX Equal premium capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,-0.7513027548576348,1.695372334610034,-0.039799965187062976,-0.06748975623222925,-0.9992688336565727,0.5376710307313759,0.5812126966024004,0.0009513818737573511,False,6
orig+VIX Equal premium capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,-0.9680867505648737,1.5986669245400635,-1.0837353590834518,-1.3564386036828935,-0.9999999756380312,0.6000579165909912,0.6618484929363848,3.310206854041024e-08,False,6
orig+VIX Equal premium capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,-0.9720533139280735,1.542862913579098,-1.262727338926507,-1.5541281053665594,-0.9999999426702042,0.5933710608281078,0.7030422104999806,1.7047142121408302e-08,False,6
orig+VIX Equal premium capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,-0.9137189501076309,1.3303007406446488,-1.0070150139264944,-1.2576767991375148,-0.9999961269622497,0.5420325734020938,0.5812126966024004,4.781642527354286e-06,False,6
orig+VIX Equal premium capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,-0.9302975025746781,1.4237738995173084,-0.9052388337284492,-1.1186797403150857,-0.9999985254426823,0.5933710608281078,0.7030422104999806,1.6452871100668133e-06,False,6
orig+VIX Equal premium capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,-0.8817936207773553,1.8872220227971213,-0.31859065323581903,-0.5560861338267361,-0.9999821690286225,0.5361048458257963,0.5404663884965142,2.307834032299257e-05,False,6
orig+VIX Equal premium capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,-0.9124624188195377,1.427592295816049,-0.8084393153885305,-1.050271375472645,-0.9999939601053264,0.5728515383302554,0.6468575331855678,5.140113520123457e-06,False,6
orig+VIX Equal premium capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,-0.9408111781536105,1.0050713551398016,-1.9460955455104685,-1.90067282284222,-0.9999990061328055,0.5717900866081049,0.5717900866081049,7.264378712832441e-07,False,6
orig+VIX Equal premium capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,-0.9125356862833651,1.1590191027625412,-1.3151613960283355,-1.5631186912008965,-0.9999945758390598,0.5361048458257963,0.6222636108530316,5.118638561402065e-06,False,6
orig+VIX Equal premium capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.9812847902811482,1.422258529400855,-1.7011352736118193,-1.9133424786278819,-0.9999999971731504,0.5930191210511139,0.6576252156124586,2.296008439779895e-09,False,6
orig+VIX Equal premium capped,Full-cost net,10,circular_block_bootstrap,60,ok,60,-0.9599224172739876,1.5232875932723149,-1.0902299071325336,-1.3866462940121649,-0.9999999393244603,0.6077817386341654,0.7545343574544755,1.0339691860478776e-07,False,6
orig+VIX Equal premium capped,Full-cost net,11,circular_block_bootstrap,60,ok,60,-0.9344067559704354,1.7305022099147134,-0.7692918966611489,-1.2151236845065254,-0.9999993150660369,0.5295378388019037,0.5493772553510031,1.2142148810697898e-06,False,6
orig+VIX Equal premium capped,Full-cost net,12,circular_block_bootstrap,60,ok,60,-0.9736607586171768,1.111420121321007,-2.1226936643789482,-1.9947104991961653,-0.9999999889771077,0.6077817386341654,0.7545343574544755,1.2676994786263746e-08,False,6
orig+VIX Equal premium capped,Full-cost net,13,circular_block_bootstrap,60,ok,60,-0.9139080003058011,1.436217213861288,-0.8638360232868512,-1.1513834196334212,-0.9999971390470849,0.5404663884965142,0.5572416746297524,4.729486360714144e-06,False,6
orig+VIX Equal premium capped,Full-cost net,14,circular_block_bootstrap,60,ok,60,-0.9108750930844116,1.4718711474173973,-0.828772557148827,-1.1473740062637432,-0.9999950313239994,0.5376710307313759,0.5882890414167367,5.623354289922247e-06,False,6
orig+VIX Equal premium capped,Full-cost net,15,circular_block_bootstrap,60,ok,60,-0.9569451036527434,1.6102813940658895,-0.9947669146430201,-1.3344333381166456,-0.999999843219934,0.5930191210511139,0.6351576290369236,1.4794924052031367e-07,False,6
orig+VIX Equal premium capped,Full-cost net,16,circular_block_bootstrap,60,ok,60,-0.9491158312013235,1.321049805271123,-1.298049042688837,-1.4956722858740272,-0.9999997680060341,0.5930191210511139,0.5930191210511139,3.411249014425131e-07,False,6
orig+VIX Equal premium capped,Full-cost net,17,circular_block_bootstrap,60,ok,60,-0.8361540740593347,1.431537388263097,-0.4427767786142494,-0.6120681238951046,-0.9999571308070078,0.5728515383302554,0.5977116514110321,0.00011808051406758618,False,6
orig+VIX Equal premium capped,Full-cost net,18,circular_block_bootstrap,60,ok,60,-0.9602767735913826,1.7505585071818073,-0.8231049704271238,-1.1483168977772356,-0.9999998563514879,0.6000579165909912,0.6618484929363848,9.890598631037977e-08,False,6
orig+VIX Equal premium capped,Full-cost net,19,circular_block_bootstrap,60,ok,60,-0.9428257140576146,1.4914207341901522,-0.982494911517315,-1.2835905456960264,-0.9999993968188534,0.5728515383302554,0.7006959453200216,6.10947295620898e-07,False,6
