Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
orig+VIX Equal premium capped,Full-cost net,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9230636003733205,1.3125277413870224,-1.0628929737232995,-1.2660085470016857,-0.9999997726757788,0.5816592298650186,0.6009741167678645,2.695623875885271e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.963268232521169,1.0373165853934592,-2.224811653264257,-2.10381538548659,-0.9999999449300092,0.5180588484475198,0.6053694931718182,6.686658322830342e-08,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9365084468046018,1.1572196883766352,-1.508665271022801,-1.6536388861266664,-0.9999993354198566,0.5361843855615976,0.6254256243705892,1.0317625419935315e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9714001219002999,1.5779647083913957,-1.0760031553593823,-1.2925485624749022,-0.9999999847539196,0.6934840907718448,0.750519804037086,1.913466708614443e-08,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9394994196434225,1.4313663821157612,-0.9533757741049199,-1.146296573156234,-0.9999995056107284,0.6093839282670864,0.6909540655220533,8.105833959571253e-07,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8896589333076319,1.5210339524514642,-0.5037846681295204,-0.6786056889635794,-0.9999900854993146,0.6458139167682636,0.6755902052165551,1.6356330985868115e-05,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9551783362097034,0.9736446290649536,-2.2930793525511226,-2.11476280601018,-0.9999998806071795,0.463022674149627,0.5217270073237709,1.8090054196690147e-07,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9257672966244953,1.3798244131523407,-0.9295894686065436,-1.1230227602217602,-0.9999977205075091,0.6244926392745326,0.6660822336414735,2.254116634677984e-06,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9770057860053412,1.0355725829920097,-2.5685925584403786,-2.2692100723680357,-0.9999999924324046,0.537964448549855,0.5823289753792263,6.428251243970487e-09,False,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9227940193738285,1.1417854348162695,-1.414358679699536,-1.5532204940897238,-0.999996599791872,0.5518420443894889,0.5770040803384493,2.743182600751883e-06,False,insufficient_egarch_obs
