Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig+VIX Equal premium capped,Gross before costs,0,circular_block_bootstrap,60,ok,60,-0.5869574365677042,1.687436359938779,0.2039477668644725,0.3749628887311214,-0.9962325768496771,0.51287140587256,0.5521546350546153,0.012021925626115088,False,6
orig+VIX Equal premium capped,Gross before costs,1,circular_block_bootstrap,60,ok,60,-0.9439930389883733,1.6001830768618464,-0.840032155855856,-1.122589647684379,-0.9999996201188044,0.5698337242586946,0.6295258824902904,5.510741513516337e-07,False,6
orig+VIX Equal premium capped,Gross before costs,2,circular_block_bootstrap,60,ok,60,-0.9496058638990931,1.5450573415848872,-0.9942217912419709,-1.3128033517368023,-0.9999990985083648,0.5657899518927862,0.6693206546446874,3.250124688904077e-07,False,6
orig+VIX Equal premium capped,Gross before costs,3,circular_block_bootstrap,60,ok,60,-0.8518842756992464,1.3188637123407612,-0.7092337204757575,-0.9648265753823905,-0.9999471198207475,0.5167703786288115,0.5521546350546153,7.128626049526727e-05,False,6
orig+VIX Equal premium capped,Gross before costs,4,circular_block_bootstrap,60,ok,60,-0.8707030185631864,1.4119060172497457,-0.5969869938435506,-0.7996818337850392,-0.9999683207917484,0.5657899518927862,0.6693206546446874,3.6136154124410175e-05,False,6
orig+VIX Equal premium capped,Gross before costs,5,circular_block_bootstrap,60,ok,60,-0.8158359588222748,1.8909846878086167,-0.13374966453320386,-0.250973343122967,-0.9998570109831538,0.5114743157765723,0.5153732885328239,0.00021184790880700253,False,6
orig+VIX Equal premium capped,Gross before costs,6,circular_block_bootstrap,60,ok,60,-0.8415454910222426,1.4157491534537407,-0.5037925190581365,-0.7103971762687151,-0.9999002153624519,0.54442819201836,0.6167394544580712,9.989022925781249e-05,False,6
orig+VIX Equal premium capped,Gross before costs,7,circular_block_bootstrap,60,ok,60,-0.8976295001604905,1.0053575331893503,-1.5257647201443008,-1.6388264527761027,-0.9999852052674063,0.5433150904525755,0.5433150904525755,1.1242790525304084e-05,False,6
orig+VIX Equal premium capped,Gross before costs,8,circular_block_bootstrap,60,ok,60,-0.8379225593637841,1.1553195784650896,-0.8975484219003549,-1.187572993880326,-0.9999214186217057,0.5114743157765723,0.5925841662743611,0.00011184404115716971,False,6
orig+VIX Equal premium capped,Gross before costs,9,circular_block_bootstrap,60,ok,60,-0.9671728739095267,1.425299782546796,-1.4318095355953455,-1.7320419146746797,-0.9999999572524492,0.5655771217682648,0.6269719209960325,3.8121002800804425e-08,False,6
orig+VIX Equal premium capped,Gross before costs,10,circular_block_bootstrap,60,ok,60,-0.9305335261895773,1.5206306024646745,-0.8432697804879974,-1.1461478155776872,-0.9999990875894664,0.5772952440376441,0.7190641198376838,1.6176191178709648e-06,False,6
orig+VIX Equal premium capped,Gross before costs,11,circular_block_bootstrap,60,ok,60,-0.8903210608164009,1.7347364394876506,-0.5389600663953866,-0.9266451899073879,-0.9999916667053944,0.5027252904856103,0.5233191618898458,1.5871435426156497e-05,False,6
orig+VIX Equal premium capped,Gross before costs,12,circular_block_bootstrap,60,ok,60,-0.9536869903914962,1.1113915100401666,-1.7737778732566658,-1.7960586059834223,-0.9999998522449288,0.5772952440376441,0.7190641198376838,2.1306642587977523e-07,False,6
orig+VIX Equal premium capped,Gross before costs,13,circular_block_bootstrap,60,ok,60,-0.8601006848139079,1.436550364457672,-0.6001096047888528,-0.8619118499589704,-0.9999690628097475,0.5153732885328239,0.5310024155638624,5.35892825806096e-05,False,6
orig+VIX Equal premium capped,Gross before costs,14,circular_block_bootstrap,60,ok,60,-0.8522532811885679,1.4697267834309165,-0.5653837037109138,-0.8465431069151977,-0.9999425314403363,0.51287140587256,0.559575312159845,7.040268521689143e-05,False,6
orig+VIX Equal premium capped,Gross before costs,15,circular_block_bootstrap,60,ok,60,-0.9281995665631628,1.609916415907476,-0.7701593318190052,-1.1057416668565707,-0.9999981430492518,0.5655771217682648,0.605013021908227,1.9082502578691273e-06,False,6
orig+VIX Equal premium capped,Gross before costs,16,circular_block_bootstrap,60,ok,60,-0.917024231289415,1.3200075769426416,-1.0290077651161973,-1.2657769798472058,-0.9999974364480673,0.5655771217682648,0.5655771217682648,3.933294117795642e-06,False,6
orig+VIX Equal premium capped,Gross before costs,17,circular_block_bootstrap,60,ok,60,-0.7277114121676875,1.4240991719652123,-0.16301703494463404,-0.24320320856750877,-0.999615784971703,0.54442819201836,0.5684148567618846,0.001496742869326307,False,6
orig+VIX Equal premium capped,Gross before costs,18,circular_block_bootstrap,60,ok,60,-0.9300055341242863,1.7490839643288199,-0.5975242361501145,-0.89303480343001,-0.9999979542393775,0.5698337242586946,0.6295258824902904,1.6800357334385783e-06,False,6
orig+VIX Equal premium capped,Gross before costs,19,circular_block_bootstrap,60,ok,60,-0.8970252814392372,1.485582529154821,-0.7005310761567874,-0.9897395228469252,-0.9999898379097084,0.54442819201836,0.6679017871478775,1.15785204841728e-05,False,6
