Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig+VIX Equal risk capped,Full-cost net,0,circular_block_bootstrap,60,ok,60,-0.7516648357494555,1.606597120319596,-0.11291375692111112,-0.18732114296187255,-0.9992599594829461,0.5368280678752441,0.5765569039907029,0.000944476377064347,False,6
orig+VIX Equal risk capped,Full-cost net,1,circular_block_bootstrap,60,ok,60,-0.962159462203823,1.5109402076780976,-1.1369019525963815,-1.3956787578581362,-0.9999999384041252,0.5809948835591295,0.6953107724683908,7.758656061832011e-08,False,6
orig+VIX Equal risk capped,Full-cost net,2,circular_block_bootstrap,60,ok,60,-0.9694125525871378,1.4248561126057815,-1.4189055360514236,-1.6646880006490166,-0.9999999093550423,0.580672125631013,0.6481642820209738,2.677417994601903e-08,False,6
orig+VIX Equal risk capped,Full-cost net,3,circular_block_bootstrap,60,ok,60,-0.9148728200575371,1.2568782676285764,-1.1403069827753844,-1.3776698506220586,-0.9999961388084201,0.5712717138893831,0.5791994990413629,4.470346969268282e-06,False,6
orig+VIX Equal risk capped,Full-cost net,4,circular_block_bootstrap,60,ok,60,-0.9242101976051034,1.3677158048521527,-0.9513693396887982,-1.1643334251827546,-0.999997794969335,0.5809948835591295,0.6953107724683908,2.500655545726843e-06,False,6
orig+VIX Equal risk capped,Full-cost net,5,circular_block_bootstrap,60,ok,60,-0.8598065658761284,1.723751594110286,-0.37221279495407633,-0.6301162401821673,-0.9999601956837599,0.536026600987948,0.5488017717892967,5.4154976400598974e-05,False,6
orig+VIX Equal risk capped,Full-cost net,6,circular_block_bootstrap,60,ok,60,-0.9189962551346691,1.3124891790904498,-1.0342740887470254,-1.264753309495106,-0.9999959073716295,0.580672125631013,0.6244685130153209,3.487590496352855e-06,False,6
orig+VIX Equal risk capped,Full-cost net,7,circular_block_bootstrap,60,ok,60,-0.950289048745355,0.9501108746038405,-2.238346984306994,-2.0397456098799505,-0.9999995838937602,0.5712717138893831,0.5765569039907029,3.0357106116055377e-07,False,6
orig+VIX Equal risk capped,Full-cost net,8,circular_block_bootstrap,60,ok,60,-0.9079152885218972,1.1032437825973755,-1.3875916647043152,-1.6101242979596786,-0.9999932500066695,0.5377888566330197,0.6359338382295469,6.62121451565966e-06,False,6
orig+VIX Equal risk capped,Full-cost net,9,circular_block_bootstrap,60,ok,60,-0.981938756352179,1.2967030183326103,-1.9758136233740058,-2.04557500777657,-0.9999999977215303,0.5809948835591295,0.6953107724683908,1.9219330795201338e-09,False,6
orig+VIX Equal risk capped,Full-cost net,10,circular_block_bootstrap,60,ok,60,-0.955272794176705,1.4416911095977714,-1.157537403592031,-1.4316273625910305,-0.9999998840328959,0.5952410458139714,0.7494025166059147,1.7900239423520284e-07,False,6
orig+VIX Equal risk capped,Full-cost net,11,circular_block_bootstrap,60,ok,60,-0.9332915164651968,1.6031455876266376,-0.8895305989192969,-1.3270443649992931,-0.9999992268551151,0.5217443086216038,0.5648085330235579,1.3210076735049218e-06,False,6
orig+VIX Equal risk capped,Full-cost net,12,circular_block_bootstrap,60,ok,60,-0.9729132148835316,1.0932603683553515,-2.1621224879805077,-2.015220055217979,-0.9999999862300264,0.5952410458139714,0.7494025166059147,1.4581000077024837e-08,False,6
orig+VIX Equal risk capped,Full-cost net,13,circular_block_bootstrap,60,ok,60,-0.9123198057657964,1.3296189223237558,-1.0086034169408753,-1.2844457566115248,-0.9999967660866953,0.5717417344764646,0.5849755646725662,5.182120603183182e-06,False,6
orig+VIX Equal risk capped,Full-cost net,14,circular_block_bootstrap,60,ok,60,-0.9159996891246882,1.3576056259800475,-1.0168235234964231,-1.3222862501763628,-0.9999962598072106,0.5809948835591295,0.5871272841933428,4.18219681257094e-06,False,6
orig+VIX Equal risk capped,Full-cost net,15,circular_block_bootstrap,60,ok,60,-0.9525930776175202,1.516013534774027,-1.076134516896363,-1.3966244224795068,-0.9999997558962247,0.580672125631013,0.6244685130153209,2.3944667514312363e-07,False,6
orig+VIX Equal risk capped,Full-cost net,16,circular_block_bootstrap,60,ok,60,-0.9554957841284158,1.2150974495755222,-1.5874894046792516,-1.6870565276692067,-0.9999998689669606,0.580672125631013,0.5825164566488216,1.745845338057613e-07,False,6
orig+VIX Equal risk capped,Full-cost net,17,circular_block_bootstrap,60,ok,60,-0.8357846346804468,1.3644631633253452,-0.5303934527557069,-0.7187049826767771,-0.9999409138974453,0.5717417344764646,0.5849755646725662,0.00011941776918477547,False,6
orig+VIX Equal risk capped,Full-cost net,18,circular_block_bootstrap,60,ok,60,-0.9510586560084405,1.662135272483443,-0.8444675480537459,-1.1667750632384284,-0.9999996221937846,0.5382588772201012,0.6931590529476143,2.807885907859132e-07,False,6
orig+VIX Equal risk capped,Full-cost net,19,circular_block_bootstrap,60,ok,60,-0.939210474234279,1.3770979585648142,-1.1222003650448822,-1.399157071493771,-0.9999991346768459,0.5717417344764646,0.6931590529476143,8.301255419314181e-07,False,6
