Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
orig+VIX GM paper,Full-cost net,0,circular_block_bootstrap,60,ok,60,-1.0,6.6375537589972025,-1.0923220997219139,-1.0534824172982304,-1.0,5.715270593632658,7.1065598678997315,0.0,True,6
orig+VIX GM paper,Full-cost net,1,circular_block_bootstrap,60,ok,60,-1.0,3.8984310679139114,-1.191745445662709,-1.150814714436187,-1.0,1.9219523929769926,4.463958791226557,0.0,True,6
orig+VIX GM paper,Full-cost net,2,circular_block_bootstrap,60,ok,60,-1.0,5.723442699459518,-0.9530745770197798,-0.9311612725755688,-1.0,1.5087521330264273,6.230671309040642,0.0,True,6
orig+VIX GM paper,Full-cost net,3,circular_block_bootstrap,60,ok,60,-1.0,3.7533903097806878,-1.7677730741442774,-1.5963534229742282,-1.0,2.9495252662726896,3.640961598112682,0.0,True,6
orig+VIX GM paper,Full-cost net,4,circular_block_bootstrap,60,ok,60,-1.0,5.8983568930614565,-1.0973206879188935,-1.059312979830653,-1.0,2.010744690407272,6.6484078502021005,0.0,True,6
orig+VIX GM paper,Full-cost net,5,circular_block_bootstrap,60,ok,60,-1.0,2.9284500736715433,-1.1817607927564393,-1.1419325510512806,-1.0,1.5087521330264273,3.1104886169320007,0.0,True,6
orig+VIX GM paper,Full-cost net,6,circular_block_bootstrap,60,ok,60,-1.0,5.754838140317141,-1.1282100586151202,-1.0852229130912676,-1.0,1.7074938413676526,6.305192632902879,0.0,True,6
orig+VIX GM paper,Full-cost net,7,circular_block_bootstrap,60,ok,60,-1.0,7.378579575683254,-1.503836157171717,-1.3917790599889521,-1.0,2.9495252662726896,6.281886236043995,0.0,True,6
orig+VIX GM paper,Full-cost net,8,circular_block_bootstrap,60,ok,60,-1.0,8.581280660449572,-1.3181217238070717,-1.2421217417212096,-1.0,3.3660703874941014,11.280427690700952,0.0,True,6
orig+VIX GM paper,Full-cost net,9,circular_block_bootstrap,60,ok,60,-1.0,2.4430300414343966,-2.284693748701863,-1.9441859387674307,-1.0,1.9613351864143556,2.208382706378939,0.0,True,6
orig+VIX GM paper,Full-cost net,10,circular_block_bootstrap,60,ok,60,-1.0,3.262464242428768,-1.4615607535845085,-1.3704937449538357,-1.0,1.7074938413676526,3.528225158093458,0.0,True,6
orig+VIX GM paper,Full-cost net,11,circular_block_bootstrap,60,ok,60,-1.0,5.833125223884261,-1.366589950814096,-1.282998699409755,-1.0,2.010744690407272,6.6484078502021005,0.0,True,6
orig+VIX GM paper,Full-cost net,12,circular_block_bootstrap,60,ok,60,-1.0,7.594263822703733,-1.4859536303781191,-1.3778618742533921,-1.0,3.0878125326406876,9.42537532501152,0.0,True,6
orig+VIX GM paper,Full-cost net,13,circular_block_bootstrap,60,ok,60,-1.0,5.882084245962174,-1.2898306948987979,-1.22201184810555,-1.0,1.9713618969699092,6.6484078502021005,0.0,True,6
orig+VIX GM paper,Full-cost net,14,circular_block_bootstrap,60,ok,60,-1.0,3.83282590913973,-1.933496788272194,-1.711446157939417,-1.0,2.9495252662726896,3.640961598112682,0.0,True,6
orig+VIX GM paper,Full-cost net,15,circular_block_bootstrap,60,ok,60,-1.0,4.119194501906165,-1.6226270995485585,-1.486136980882944,-1.0,2.9495252662726896,4.332397929952673,0.0,True,6
orig+VIX GM paper,Full-cost net,16,circular_block_bootstrap,60,ok,60,-1.0,2.6468332257610254,-1.556677941258269,-1.4610730806205179,-1.0,1.9219523929769926,2.6201285729865784,0.0,True,6
orig+VIX GM paper,Full-cost net,17,circular_block_bootstrap,60,ok,60,-1.0,3.5616551928707447,-1.338980896102756,-1.2741603754865423,-1.0,1.9713618969699092,3.871440375392679,0.0,True,6
orig+VIX GM paper,Full-cost net,18,circular_block_bootstrap,60,ok,60,-1.0,8.370482948420573,-1.3985190230125877,-1.3076210458080928,-1.0,5.715270593632658,7.57032295932209,0.0,True,6
orig+VIX GM paper,Full-cost net,19,circular_block_bootstrap,60,ok,60,-1.0,5.649088935092452,-1.023316847977871,-0.9913732392411088,-1.0,1.489587351438827,6.230671309040642,0.0,True,6
