Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
orig+VIX GM paper,Full-cost net,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,3.1793382120182665,0.1687870530125491,0.21876669904864107,-1.0,1.7406004633272274,2.6691798820066297,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.693585054493489,-0.8713221873292258,-0.977837569474458,-1.0,2.839652184736919,3.25679342771325,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.765285224240321,-0.7774983200709203,-0.8856011570395957,-1.0,3.917288342073347,4.321766579963447,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.645001398635586,-0.16478940958632368,-0.20456044047142016,-1.0,2.6982031454250297,3.3588219261513537,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.510327813560784,0.50746019784012,0.703519257599773,-1.0,3.2648911086960686,4.1319748801638925,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.277779697824967,-0.2833995635770053,-0.34182690442447544,-1.0,3.784979791207603,4.031039345156922,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.262696512588175,-0.05813511570153244,-0.07146690550666016,-1.0,3.226325373786776,3.9518875999495235,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.406973634465375,-0.28679745068869883,-0.3516773818838003,-1.0,3.2506488810319194,3.625903326833322,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.927432011868062,-0.6209171415133091,-0.7268334655763976,-1.0,3.5012124168123826,3.9109006148587824,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.543552287765853,-0.03082363580037619,-0.04073609313870075,-1.0,2.7281766483690717,3.394389602732074,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.522980684485213,0.9680850784523796,1.3725813599791419,-1.0,2.4826946297781882,3.3879050512334694,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.373320699241616,-0.09177704474364255,-0.11962671707589197,-1.0,3.0350961566475916,3.5490563840652225,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.819148370670527,0.12033151402225256,0.15873908064774084,-1.0,2.8195010359103887,3.139937507767945,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.8148689059774945,-0.8625189702011599,-0.9654423789174582,-1.0,3.532411756921516,3.8182006148676195,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.183526487741498,0.5671713204530242,0.8485171587476462,-1.0,2.5397541549655362,3.0256193606875557,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.4121264195342285,0.7354932293695876,1.1019579952934992,-1.0,2.994924504220358,3.652693884018601,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.362365653108996,-0.4800667787075892,-0.5725186353825095,-1.0,2.896403776127984,3.0761533549361495,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,17,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.031714126490086,0.13151927895428933,0.1794354037567503,-1.0,2.449810561394674,2.746941139438393,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,18,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.645328334660421,0.6716049812199664,0.9553102277275454,-1.0,3.5103232753406535,4.018018980848171,0.0,True,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,19,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.918601710881948,0.7622096847818491,1.2121896349729664,-1.0,2.437525465903029,3.097893593312413,0.0,True,insufficient_egarch_obs
