Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
orig E1 capped,Full-cost net,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.29051964077869896,0.7463367055607489,0.6739104446225515,1.44915637854051,-0.8998739257066668,0.20635012510571366,0.2510880068136217,3.579505984941608,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.09917150751365511,0.7504441439842745,0.21134737821299251,0.35755676211456594,-0.9205056111110903,0.24032285024348363,0.305331585399941,0.5932128780644007,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.1906656932119719,0.6317840119833953,0.5615598533854711,1.1633166046341157,-0.7010350268484697,0.17726384345472113,0.20257119380504016,2.393035835316837,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.9470510225257893,0.9912217009131791,1.1323318197739314,2.4956719782763273,-0.7700593901838957,0.2439151419330795,0.2863807934872382,27.982509626648472,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.47338200177282586,0.7583929815748046,0.8535342823400521,1.911236218383031,-0.6406480562405145,0.20121060045131559,0.21122476810623173,6.943473813401094,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.3469412502995888,0.7544651535170244,1.5092375744404003,3.6966712244790045,-0.49147643024684096,0.2178309543211694,0.23248664015135703,71.20509847418572,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.011699092829304258,0.6020307078304483,0.2612273598440985,0.45789674063593416,-0.7835012241210902,0.16762662766384756,0.24835274220429823,0.9428573046251,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.42980871651853025,0.7899754757196066,0.8230185870030308,1.6172844811981502,-0.7102009794350067,0.22164643320930483,0.2684922438058089,5.975712593763003,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.31377418752050423,0.7331949416782303,-0.16816905928850237,-0.268604439156637,-0.9437993042408113,0.2145766997270747,0.2907836556618371,0.1521721758175058,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.35613042436383036,0.7304118265001354,0.752061537666473,1.557890842800549,-0.6537554547506039,0.20082046960824404,0.24802782426687764,4.586773520839289,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.31616104379618015,0.5571854747742786,0.7550860607104075,1.4983579176216546,-0.5043836331566288,0.16526055827510205,0.18185206718658978,3.949527674182457,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.0028692379362094,0.9808303129662533,1.1662280586528262,2.6266345506632147,-0.5231600309866158,0.28412760054501834,0.3331522605056436,32.23019858252454,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.004063965647513101,0.9052994923375877,0.4051128023932638,0.7530133375638499,-0.814525185288572,0.26270622019362133,0.31498731149482756,0.9798446600959083,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.03123841132238625,0.7914360996483821,0.40176838201396403,0.7239236550864121,-0.8810749876324677,0.23340172834156733,0.25063847074601386,1.1662600674759487,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.3942149714094998,0.7572557383067358,0.794026111809999,1.5514816979854598,-0.8048338770885182,0.23708828140893026,0.27327134622817273,5.268035706300573,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.043491686642230354,0.7039468436693319,0.26276764056602475,0.4581013674315626,-0.819460740913016,0.20169527286714634,0.2778588747957098,0.8006519117076075,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.5113202866697053,0.7164559321776881,-0.6290327018122969,-0.8725730932990464,-0.9859090655683482,0.28213973667073966,0.3512308189020805,0.027869010692578276,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,17,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.017631195775018038,0.6815352037534018,0.28460507782429023,0.5103867967293629,-0.5616656313116195,0.21499629305273152,0.22359177695838248,0.9148982850622694,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,18,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.06232122011832786,0.987993822278937,0.503743079553374,0.9601877546458771,-0.9233357964761423,0.26169343831827047,0.29914881450631164,1.352942325564109,False,insufficient_egarch_obs
orig E1 capped,Full-cost net,19,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.7437550140564722,0.6701040315669173,1.1511324475854805,2.616391482367474,-0.4307233886301761,0.19573566963679417,0.2425381452309826,16.122312951668928,False,insufficient_egarch_obs
