Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
orig GM paper,Full-cost net,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.643060614563019,0.3351443057165869,0.4778834727079939,-1.0,2.4552621289814334,3.1770472247640806,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5.888566741702875,-0.7669630095445314,-0.9015853935222614,-1.0,3.470639741103485,3.8387472160013902,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,8.92094337393897,-0.5043122876639319,-0.6172258623979306,-1.0,5.052853918940645,5.290868262398227,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.330021797150984,0.018561283688757788,0.02470585076136404,-1.0,3.4484222167667973,4.1287902793345665,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,8.605446860983621,0.7187956126922133,1.050735807376624,-1.0,5.344749556623194,5.766710840532621,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,9.1286609917952,0.15680721654553545,0.21289601237215178,-1.0,4.849501399502016,5.597076654724282,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.517196914615224,-0.24630092783285143,-0.30984168333490936,-1.0,3.7142726966379924,4.571466578607332,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.615600357981008,-0.11797259473533685,-0.15619405702742037,-1.0,3.9048057677429737,4.738517967764166,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.385591835324096,-0.5468354270738913,-0.6580289757252712,-1.0,4.047656123523674,4.346222351543269,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.2491310612831885,0.05519243587428991,0.07541691410752312,-1.0,3.512479909483118,4.434223231710288,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.19897905330303,1.1652912408624865,1.8764611221481173,-1.0,3.160175177108567,4.432142762019163,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.962203836231272,0.010729412744865519,0.01482866380689875,-1.0,3.9524764685693556,4.860803430923965,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.370374123846447,0.44645000812857527,0.6348419729779465,-1.0,3.97473802020972,4.316457409035455,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7.090494429612852,-0.9493876979091171,-1.0693459906830405,-1.0,3.9705266604068052,4.363761974689148,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.443819126625691,0.5116400437144553,0.7797572796085463,-1.0,3.172267353815907,4.0570484842874395,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.152648029817786,0.7119152987408028,1.128308890828639,-1.0,2.7348979641814344,3.861901893635615,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.769338030016296,-0.7320417535635911,-0.8375281617171942,-1.0,3.243443578875805,3.2838966088952026,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,17,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4.3822737020349685,-0.02382258581311829,-0.03196706895591631,-1.0,2.3407156056204106,3.1559834544393315,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,18,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,8.010929391595806,1.0383362805158431,1.681537518245206,-1.0,3.970544797361306,4.912328696642485,0.0,True,insufficient_egarch_obs
orig GM paper,Full-cost net,19,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,6.7402599761776205,0.6600678015233565,1.0519771982687292,-1.0,3.70899791003283,4.318380401473102,0.0,True,insufficient_egarch_obs
