Return basis,Strategy,Requested method,Status,Simulation,Reason,N paths,Defaulted path share,Ann. return p05,Ann. return p50,Ann. return p95,Sortino p05,Sortino p50,Sortino p95,Max DD p05,Max DD p50,Max DD p95,Terminal wealth p05,Terminal wealth p50,Terminal wealth p95
Gross before costs,orig E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.06177683180719937,0.601152656874297,1.7932720027665148,0.4288423324548344,2.197653734571106,4.6365122634339135,-0.9063816669823501,-0.6910176566484972,-0.39531359379346687,0.756644662254684,10.540970089186228,199.00482579127183
Gross before costs,orig E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.1972293378243558,0.48506743571945876,1.4965155532018701,0.09774882454817599,2.051676258223595,3.7247292459240064,-0.8960460439160686,-0.660125950296252,-0.4280028636156111,0.34069120462314345,7.295670299308986,97.41629254592074
Gross before costs,orig GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.32632177290538555,0.25720889905985955,2.312174427366707,0.12508851891888795,1.3281295841739513,3.851017104279237,-0.9737425158496598,-0.8734908041614109,-0.6145141100130214,0.14620678405478738,3.324145005501913,398.75445736235474
Gross before costs,orig GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.69403425710713,0.20963849406797985,0.9748014403640821,-0.2809021462226563,1.3313953757081043,2.5103529913674807,-0.9994626351190551,-0.9000054035201608,-0.6371635842959785,0.00285366726167628,2.9742142341917606,30.572444336897274
Gross before costs,orig Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.45118833626176386,-0.0003181228618807652,0.9918847232157995,-0.26016434728836574,1.0166130993507185,2.4869435558894617,-0.9911696950740458,-0.9024646999347472,-0.5675495646286937,0.05169700028548153,1.0053497437053924,36.20845485765822
Gross before costs,orig Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.4480230047421384,0.01345716312145473,1.0650192544881778,-0.3686991982581672,0.9178805305728326,2.710505796253287,-0.9725427105862213,-0.9302587440400337,-0.6135583764710429,0.05388813929062297,1.0724171070947548,38.015782261330564
Gross before costs,orig Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.4345305804202143,0.019771012891281137,1.0599487297127899,-0.22752696868327843,1.0378510687204723,2.5840193771289037,-0.9898788397710121,-0.8942219637889011,-0.5595160616242977,0.06019351390714092,1.1107136810763358,42.51837161496899
Gross before costs,orig Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.4238929716477349,0.058532207996994656,1.133084049792277,-0.3280452741060569,0.9850959493532608,2.8646419702744743,-0.9675138041694924,-0.9169567734411087,-0.5952839857074649,0.06631949743230661,1.3362904391689336,44.587078319575426
Full-cost net,orig E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.21989725729453471,0.30252499141700706,1.347875526811917,-0.007861796871098392,1.4727517648953063,3.7229638066417734,-0.9506032930420408,-0.7501067680236553,-0.4257843350139479,0.30089093186064353,3.7491315596369086,82.8181844869726
Full-cost net,orig E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.32365149247796426,0.24059266699533544,1.0200728385543787,-0.2988028718637574,1.3062364915873128,2.680136384354005,-0.9459047923071882,-0.776780307152493,-0.48843877816600767,0.14595701756125945,2.9862709101292224,34.178943577107624
Full-cost net,orig GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,20,1.0,-1.0,-1.0,-1.0,-2.032965442620707,-1.4480419334374324,-1.1767803415597835,-1.0,-1.0,-1.0,0.0,0.0,0.0
Full-cost net,orig GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,1.0,-1.0,-1.0,-1.0,-0.9099734233803004,0.05006138243444358,1.6912836984403516,-1.0,-1.0,-1.0,0.0,0.0,0.0
Full-cost net,orig Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.5668580307771356,-0.20694831011792858,0.6042256347486293,-0.5545418228960345,0.609692400604982,1.9543556046718495,-0.9961387694836074,-0.9249805694549884,-0.6425362220893409,0.015814581436631493,0.31482922436463046,12.243355894139965
Full-cost net,orig Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.5573457502263718,-0.19230406169447967,0.6632498775092402,-0.6814514998287327,0.451563312709895,2.0094089330050156,-0.98851493653728,-0.9641343606515935,-0.7061813602078231,0.017980695645674886,0.3441278347521038,12.920347573184308
Full-cost net,orig Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,20,0.0,-0.5686618234169065,-0.2175615000279899,0.6117113492542741,-0.5590729103849414,0.5621996824643214,1.9620149321950262,-0.9958984955259337,-0.9242650546234542,-0.6453976910363334,0.01550942900115036,0.29400821841569413,12.401458360027103
Full-cost net,orig Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,20,0.0,-0.5532417152157832,-0.18323983419696876,0.6292534143792314,-0.7092508706366972,0.4165517531708036,1.9721247462362326,-0.9877509154035478,-0.9635398448531325,-0.6932055700538294,0.018775442611667,0.36462988724268286,11.713007136284341
