config,path_id,strategy,display_strategy,basis,status,capacity_infeasible,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
orig,0,orig E1 capped,E1 capped,gross,ok,True,0.606254452939507,1.0554876523242132,2.8425017540314954,0.9599138136906851,1.149605614647042,-0.7631323794508338,28.919106416272157,False
orig,0,orig GM paper,GM paper,gross,ok,False,0.9999993398921354,0.8623735559116043,1.9058691723690597,0.3817304198311733,1.611871223475699,-0.9796404562383639,5.036358017840644,False
orig,0,orig Equal premium capped,Equal premium capped,gross,ok,True,0.6948608274999999,0.5392379625987882,1.1307302232131538,0.03730115226419772,1.2450738280975528,-0.838646129819051,1.200948272036476,False
orig,0,orig Equal risk capped,Equal risk capped,gross,ok,True,0.6948608274999999,0.5555151377806686,1.1641808148500818,0.06723482219863897,1.2170894240886112,-0.8248124047193123,1.384522238139373,False
orig,0,orig E1 capped,E1 capped,full_cost_net,ok,True,0.606254452939507,0.8502321823716834,2.1115928297370443,0.555517008637378,1.148609373250303,-0.8155628466434661,9.106968220868579,False
orig,0,orig GM paper,GM paper,full_cost_net,ok,False,0.9999993398921354,-1.1826815327194462,-1.2709176848121981,-1.0,2.390239699244723,-1.0,0.0,True
orig,0,orig Equal premium capped,Equal premium capped,full_cost_net,ok,True,0.6948608274999999,0.3590178087634934,0.7053004160661834,-0.18093646245788086,1.2463545082830794,-0.868201348634282,0.36862769769544856,False
orig,0,orig Equal risk capped,Equal risk capped,full_cost_net,ok,True,0.6948608274999999,0.3407638139215389,0.6613291293822151,-0.18972905544136076,1.2201912454130428,-0.8602760178297126,0.34926199410754,False
orig,1,orig E1 capped,E1 capped,gross,ok,True,0.5910831030451091,0.9200996461450033,2.4855127230799225,0.7085520666120955,1.1527491351329984,-0.7636034292192807,14.559319961874632,False
orig,1,orig GM paper,GM paper,gross,ok,False,0.9999997273796483,0.6464725120353138,1.179273519743815,-0.07195826626463109,1.3994790487365847,-0.9723675346425356,0.6883947248778324,False
orig,1,orig Equal premium capped,Equal premium capped,gross,ok,True,0.6948608274999999,0.5392379625987882,1.1307302232131538,0.03730115226419772,1.2450738280975528,-0.838646129819051,1.200948272036476,False
orig,1,orig Equal risk capped,Equal risk capped,gross,ok,True,0.6948608274999999,0.5555151377806687,1.1641808148500818,0.06723482219863897,1.2170894240886112,-0.8248124047193122,1.3845222381393731,False
orig,1,orig E1 capped,E1 capped,full_cost_net,ok,True,0.5910831030451091,0.7233760081118408,1.8016156751511583,0.3658642401453833,1.1504806364192688,-0.8267687357107517,4.753764622511463,False
orig,1,orig GM paper,GM paper,full_cost_net,ok,False,0.9999997273796483,-1.3728719934202913,-1.2893403236319585,-1.0,8.491860552807053,-1.0,0.0,True
orig,1,orig Equal premium capped,Equal premium capped,full_cost_net,ok,True,0.6948608274999999,0.3590178087634934,0.7053004160661834,-0.18093646245788086,1.2463545082830794,-0.868201348634282,0.36862769769544856,False
orig,1,orig Equal risk capped,Equal risk capped,full_cost_net,ok,True,0.6948608274999999,0.340763813921539,0.6613291293822151,-0.18972905544136065,1.2201912454130426,-0.8602760178297126,0.34926199410754016,False
orig,2,orig E1 capped,E1 capped,gross,ok,True,0.6431215333810348,1.0079002363560638,2.565583034534534,0.8508760819200871,1.2335087470816162,-0.7941905824240975,21.72134513720943,False
orig,2,orig GM paper,GM paper,gross,ok,False,0.9999998947608271,1.033934877359485,2.106046226339047,0.7071066793965124,0.8689710357795584,-0.8278283792279448,14.497840184831652,False
orig,2,orig Equal premium capped,Equal premium capped,gross,ok,True,0.6948608274999999,0.5392379625987882,1.1307302232131538,0.03730115226419772,1.2450738280975528,-0.838646129819051,1.200948272036476,False
orig,2,orig Equal risk capped,Equal risk capped,gross,ok,True,0.6948608274999999,0.5555151377806687,1.1641808148500818,0.06723482219863897,1.2170894240886112,-0.8248124047193122,1.3845222381393731,False
orig,2,orig E1 capped,E1 capped,full_cost_net,ok,True,0.6431215333810348,0.8023905107816428,1.893350046981558,0.43902817813085515,1.2326704992611517,-0.8494191708090668,6.1708713233591235,False
orig,2,orig GM paper,GM paper,full_cost_net,ok,False,0.9999998947608271,-1.3121634188537825,-1.2367877140134895,-1.0,12.354571074209558,-1.0,0.0,True
orig,2,orig Equal premium capped,Equal premium capped,full_cost_net,ok,True,0.6948608274999999,0.3590178087634934,0.7053004160661834,-0.18093646245788086,1.2463545082830794,-0.868201348634282,0.36862769769544856,False
orig,2,orig Equal risk capped,Equal risk capped,full_cost_net,ok,True,0.6948608274999999,0.340763813921539,0.6613291293822151,-0.18972905544136065,1.2201912454130426,-0.8602760178297126,0.34926199410754016,False
orig,3,orig E1 capped,E1 capped,gross,ok,True,0.6300281282329837,0.9022786206696028,2.3077015037525954,0.654887027607777,1.2755787576720106,-0.8208667207289395,12.4119997466531,False
orig,3,orig GM paper,GM paper,gross,ok,False,0.9999997832024599,0.6516878068318949,1.0868253148024267,-1.0,1.405979742155667,-1.0,0.0,True
orig,3,orig Equal premium capped,Equal premium capped,gross,ok,True,0.6948608274999999,0.5392379625987882,1.1307302232131538,0.03730115226419772,1.2450738280975528,-0.838646129819051,1.200948272036476,False
orig,3,orig Equal risk capped,Equal risk capped,gross,ok,True,0.6948608275,0.5555151377806686,1.1641808148500816,0.06723482219863852,1.2170894240886114,-0.8248124047193124,1.3845222381393707,False
orig,3,orig E1 capped,E1 capped,full_cost_net,ok,True,0.6300281282329837,0.7036009621057103,1.6423515227017678,0.2786651150353243,1.2779580303447493,-0.8735884284992085,3.4180946446646416,False
orig,3,orig GM paper,GM paper,full_cost_net,ok,False,0.9999997832024599,-1.5201620783933014,-1.4029278042536517,-1.0,11.10164385131404,-1.0,0.0,True
orig,3,orig Equal premium capped,Equal premium capped,full_cost_net,ok,True,0.6948608274999999,0.3590178087634934,0.7053004160661834,-0.18093646245788086,1.2463545082830794,-0.868201348634282,0.36862769769544856,False
orig,3,orig Equal risk capped,Equal risk capped,full_cost_net,ok,True,0.6948608275,0.34076381392153915,0.6613291293822156,-0.18972905544136076,1.2201912454130428,-0.8602760178297127,0.34926199410753983,False
orig,4,orig E1 capped,E1 capped,gross,ok,True,0.6133834883811283,1.059029632207387,2.8764063673411293,0.9733852383084434,1.171285734287125,-0.7937778719822043,29.926737614137743,False
orig,4,orig GM paper,GM paper,gross,ok,False,0.9999999440359388,0.7462099445959547,1.377815922034671,0.22847733957625538,1.2106275408094451,-0.898945312042647,2.797922943538712,False
orig,4,orig Equal premium capped,Equal premium capped,gross,ok,True,0.6948608274999999,0.5392379625987882,1.1307302232131538,0.03730115226419772,1.2450738280975528,-0.838646129819051,1.200948272036476,False
orig,4,orig Equal risk capped,Equal risk capped,gross,ok,True,0.6948608274999999,0.5555151377806687,1.1641808148500818,0.06723482219863897,1.2170894240886112,-0.8248124047193122,1.3845222381393731,False
orig,4,orig E1 capped,E1 capped,full_cost_net,ok,True,0.6133834883811283,0.8538617273171338,2.118942394809505,0.5567604474831158,1.1708454978597314,-0.8299855051520157,9.14342579930752,False
orig,4,orig GM paper,GM paper,full_cost_net,ok,False,0.9999999440359388,-1.342848032931401,-1.263473209954584,-1.0,8.72061495961545,-1.0,0.0,True
orig,4,orig Equal premium capped,Equal premium capped,full_cost_net,ok,True,0.6948608274999999,0.3590178087634934,0.7053004160661834,-0.18093646245788086,1.2463545082830794,-0.868201348634282,0.36862769769544856,False
orig,4,orig Equal risk capped,Equal risk capped,full_cost_net,ok,True,0.6948608274999999,0.340763813921539,0.6613291293822151,-0.18972905544136054,1.2201912454130426,-0.8602760178297126,0.34926199410754033,False
