kind,date,reason
equity_primary_venue,2018-01-31,vendor_unavailable_before_2018_05_01
equity_primary_venue,2018-02-28,vendor_unavailable_before_2018_05_01
equity_primary_venue,2018-04-30,vendor_unavailable_before_2018_05_01
vx_front,2018-01-31,vendor_unavailable_before_2018_11_04
vx_front,2018-02-28,vendor_unavailable_before_2018_11_04
vx_front,2018-04-30,vendor_unavailable_before_2018_11_04
vx_front,2018-05-31,vendor_unavailable_before_2018_11_04
vx_front,2018-06-29,vendor_unavailable_before_2018_11_04
vx_front,2018-07-31,vendor_unavailable_before_2018_11_04
vx_front,2018-08-31,vendor_unavailable_before_2018_11_04
vx_front,2018-09-28,vendor_unavailable_before_2018_11_04
vx_front,2018-10-31,vendor_unavailable_before_2018_11_04
