config,signal_date,execution_date,action,signal_source,asset_id,symbol,underlying,expiry,position_contracts,order_contracts,valid_quote_minutes,session_minutes,median_relative_spread,p90_relative_spread,first_valid_ts,first_valid_bid,first_valid_ask,first_valid_mid,quote_presence_fraction,quote_vwap_mid,quote_vwap_bid,quote_vwap_ask,first_valid_touch,quote_vwap_touch,evidence_only
orig,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,5.0,-5.0,389.0,390.0,0.02464454976303312,0.03373320942806452,2020-03-02 14:31:00+00:00,20.8,21.55,21.175,0.9974358974358974,25.464327380658332,25.114556883861088,25.814097877455584,20.8,25.114556883861088,True
orig,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,TSLA_call_atm,TSLA  200320C00650000,TSLA,2020-03-20,3.0,-3.0,389.0,390.0,0.026309495336044007,0.0400233414748956,2020-03-02 14:31:00+00:00,104.75,109.0,106.875,0.9974358974358974,98.28933849943549,96.81500564507851,99.76367135379246,104.75,96.81500564507851,True
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,2.0,-2.0,389.0,390.0,0.02464454976303312,0.03373320942806452,2020-03-02 14:31:00+00:00,20.8,21.55,21.175,0.9974358974358974,25.464327380658332,25.114556883861088,25.814097877455584,20.8,25.114556883861088,True
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,AAPL_call_put_near,AAPL  200320C00260000,AAPL,2020-03-20,3.0,-3.0,389.0,390.0,0.02433786685755194,0.03231493478448648,2020-03-02 14:31:00+00:00,28.4,29.75,29.075,0.9974358974358974,32.91530718111208,32.49870909626223,33.33190526596192,28.4,32.49870909626223,True
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,ADBE_call_atm,ADBE  200320C00345000,ADBE,2020-03-20,3.0,-3.0,389.0,390.0,0.02739726027397269,0.044027359859341225,2020-03-02 14:31:00+00:00,21.65,23.45,22.549999999999997,0.9974358974358974,21.20394857667585,20.862029384756656,21.54586776859504,21.65,20.862029384756656,True
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,MA_call_atm,MA    200320C00295000,MA,2020-03-20,5.0,-5.0,388.0,390.0,0.03162749987843591,0.052062489290849424,2020-03-02 14:32:00+00:00,14.55,16.55,15.55,0.9948717948717949,13.412812425895186,13.15915105525255,13.666473796537822,14.55,13.15915105525255,True
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,NFLX_call_atm,NFLX  200320C00360000,NFLX,2020-03-20,16.0,-16.0,389.0,390.0,0.025515210991167894,0.04714234283795757,2020-03-02 14:31:00+00:00,25.0,27.95,26.475,0.9974358974358974,25.023941832201828,24.595620652082808,25.452263012320845,25.0,24.595620652082808,True
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,PYPL_call_atm,PYPL  200320C00110000,PYPL,2020-03-20,6.0,-6.0,389.0,390.0,0.027777777777777804,0.053158516734675684,2020-03-02 14:31:00+00:00,3.45,4.25,3.85,0.9974358974358974,3.749718969555035,3.6779690145919655,3.8214689245181046,3.45,3.6779690145919655,True
orig,2020-03-02,2020-03-03,reenter,official_vix_close,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,5.0,5.0,389.0,390.0,0.029465930018416235,0.052100966988354744,2020-03-03 14:31:00+00:00,33.5,35.1,34.3,0.9974358974358974,27.66047106847716,27.19675317194556,28.124188965008756,35.1,28.124188965008756,True
orig,2020-03-02,2020-03-03,reenter,official_vix_close,TSLA_call_atm,TSLA  200320C00650000,TSLA,2020-03-20,3.0,3.0,389.0,390.0,0.025534737191178877,0.0440190953662817,2020-03-03 14:31:00+00:00,158.4,164.9,161.65,0.9974358974358974,131.69350849731663,129.72963774597497,133.65737924865832,164.9,133.65737924865832,True
larger,2020-03-02,2020-03-03,reenter,official_vix_close,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,2.0,2.0,389.0,390.0,0.029465930018416235,0.052100966988354744,2020-03-03 14:31:00+00:00,33.5,35.1,34.3,0.9974358974358974,27.66047106847716,27.19675317194556,28.124188965008756,35.1,28.124188965008756,True
larger,2020-03-02,2020-03-03,reenter,official_vix_close,AAPL_call_put_near,AAPL  200320C00260000,AAPL,2020-03-20,3.0,3.0,389.0,390.0,0.027123483226267033,0.060392383092205446,2020-03-03 14:31:00+00:00,42.4,44.25,43.325,0.9974358974358974,35.577022179268766,35.01625933691522,36.13778502162233,44.25,36.13778502162233,True
larger,2020-03-02,2020-03-03,reenter,official_vix_close,ADBE_call_atm,ADBE  200320C00345000,ADBE,2020-03-20,3.0,3.0,389.0,390.0,0.037037037037037,0.055168685309685196,2020-03-03 14:31:00+00:00,23.95,26.45,25.2,0.9974358974358974,21.100654262931915,20.625048558576978,21.576259967286855,26.45,21.576259967286855,True
larger,2020-03-02,2020-03-03,reenter,official_vix_close,MA_call_atm,MA    200320C00295000,MA,2020-03-20,5.0,5.0,389.0,390.0,0.03428571428571423,0.053192161820480366,2020-03-03 14:31:00+00:00,20.75,23.1,21.925,0.9974358974358974,14.306514957140358,14.0280511983206,14.584978715960114,23.1,14.584978715960114,True
larger,2020-03-02,2020-03-03,reenter,official_vix_close,NFLX_call_atm,NFLX  200320C00360000,NFLX,2020-03-20,16.0,16.0,389.0,390.0,0.02608695652173919,0.041916075115090365,2020-03-03 14:31:00+00:00,27.45,30.95,29.2,0.9974358974358974,28.028126405757984,27.60901934322987,28.4472334682861,30.95,28.4472334682861,True
larger,2020-03-02,2020-03-03,reenter,official_vix_close,PYPL_call_atm,PYPL  200320C00110000,PYPL,2020-03-20,6.0,6.0,389.0,390.0,0.04494382022471915,0.06396705559368561,2020-03-03 14:31:00+00:00,5.0,5.45,5.225,0.9974358974358974,4.412140248674029,4.3098223342897715,4.5144581630582845,5.45,4.5144581630582845,True
orig,2020-03-06,2020-03-09,exit,official_vix_close,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,5.0,-5.0,374.0,390.0,0.010544815465729374,0.01852392049042454,2020-03-09 13:31:00+00:00,11.0,14.85,12.925,0.958974358974359,14.634184128831974,14.481076833527357,14.787291424136592,11.0,14.481076833527357,True
orig,2020-03-06,2020-03-09,exit,official_vix_close,TSLA_call_atm,TSLA  200320C00650000,TSLA,2020-03-20,3.0,-3.0,374.0,390.0,0.018975332068311195,0.051578181877028596,2020-03-09 13:31:00+00:00,35.4,41.4,38.4,0.958974358974359,40.84170659639035,39.85523079380291,41.8281823989778,35.4,39.85523079380291,True
larger,2020-03-06,2020-03-09,exit,official_vix_close,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,2.0,-2.0,374.0,390.0,0.010544815465729374,0.01852392049042454,2020-03-09 13:31:00+00:00,11.0,14.85,12.925,0.958974358974359,14.634184128831974,14.481076833527357,14.787291424136592,11.0,14.481076833527357,True
larger,2020-03-06,2020-03-09,exit,official_vix_close,AAPL_call_put_near,AAPL  200320C00260000,AAPL,2020-03-20,3.0,-3.0,374.0,390.0,0.009638554216867606,0.016793020457280296,2020-03-09 13:31:00+00:00,17.0,20.75,18.875,0.958974358974359,21.454236657205342,21.101372667628308,21.807100646782374,17.0,21.101372667628308,True
larger,2020-03-06,2020-03-09,exit,official_vix_close,ADBE_call_atm,ADBE  200320C00345000,ADBE,2020-03-20,3.0,-3.0,374.0,390.0,0.1314420339648572,0.36161365142478463,2020-03-09 13:31:00+00:00,3.0,7.75,5.375,0.958974358974359,5.014078242534762,4.5483092090266695,5.479847276042854,3.0,4.5483092090266695,True
larger,2020-03-06,2020-03-09,exit,official_vix_close,MA_call_atm,MA    200320C00295000,MA,2020-03-20,5.0,-5.0,371.0,390.0,0.21212121212121215,0.48704663212435234,2020-03-09 13:34:00+00:00,2.5,6.0,4.25,0.9512820512820512,3.7507992078001218,3.0943973187081046,4.4072010968921385,2.5,3.0943973187081046,True
larger,2020-03-06,2020-03-09,exit,official_vix_close,NFLX_call_atm,NFLX  200320C00360000,NFLX,2020-03-20,16.0,-16.0,374.0,390.0,0.045233130041314136,0.09724293158203053,2020-03-09 13:31:00+00:00,10.35,14.0,12.175,0.958974358974359,13.515088863982067,13.085221359378753,13.944956368585382,10.35,13.085221359378753,True
larger,2020-03-06,2020-03-09,exit,official_vix_close,PYPL_call_atm,PYPL  200320C00110000,PYPL,2020-03-20,6.0,-6.0,374.0,390.0,0.1372616323417239,0.3055859357570289,2020-03-09 13:31:00+00:00,1.25,4.45,2.85,0.958974358974359,2.2074411185975795,1.8366883310476416,2.5781939061475163,1.25,1.8366883310476416,True
orig,2020-04-14,2020-04-15,reenter,official_vix_close,AAPL_call_atm,AAPL  200417C00260000,AAPL,2020-04-17,13.0,13.0,389.0,390.0,0.011668611435239206,0.018090452261306646,2020-04-15 13:31:00+00:00,21.45,22.2,21.825,0.9974358974358974,23.925003564401607,23.75855028657789,24.091456842225327,22.2,24.091456842225327,True
orig,2020-04-14,2020-04-15,reenter,official_vix_close,AAPL_call_call_near,AAPL  200417C00280000,AAPL,2020-04-17,71.0,71.0,389.0,390.0,0.0162601626016261,0.02214022140221394,2020-04-15 13:31:00+00:00,5.1,5.25,5.175,0.9974358974358974,6.358279188424283,6.302260134731135,6.4142982421174315,5.25,6.4142982421174315,True
