config,signal_date,execution_date,action,signal_source,asset_id,symbol,underlying,expiry,position_contracts,order_contracts
orig,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,5.0,-5.0
orig,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,TSLA_call_atm,TSLA  200320C00650000,TSLA,2020-03-20,3.0,-3.0
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,2.0,-2.0
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,AAPL_call_put_near,AAPL  200320C00260000,AAPL,2020-03-20,3.0,-3.0
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,ADBE_call_atm,ADBE  200320C00345000,ADBE,2020-03-20,3.0,-3.0
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,MA_call_atm,MA    200320C00295000,MA,2020-03-20,5.0,-5.0
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,NFLX_call_atm,NFLX  200320C00360000,NFLX,2020-03-20,16.0,-16.0
larger,2020-02-28,2020-03-02,exit,official_vix_close|user_attested_manual_2020,PYPL_call_atm,PYPL  200320C00110000,PYPL,2020-03-20,6.0,-6.0
orig,2020-03-02,2020-03-03,reenter,official_vix_close,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,5.0,5.0
orig,2020-03-02,2020-03-03,reenter,official_vix_close,TSLA_call_atm,TSLA  200320C00650000,TSLA,2020-03-20,3.0,3.0
larger,2020-03-02,2020-03-03,reenter,official_vix_close,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,2.0,2.0
larger,2020-03-02,2020-03-03,reenter,official_vix_close,AAPL_call_put_near,AAPL  200320C00260000,AAPL,2020-03-20,3.0,3.0
larger,2020-03-02,2020-03-03,reenter,official_vix_close,ADBE_call_atm,ADBE  200320C00345000,ADBE,2020-03-20,3.0,3.0
larger,2020-03-02,2020-03-03,reenter,official_vix_close,MA_call_atm,MA    200320C00295000,MA,2020-03-20,5.0,5.0
larger,2020-03-02,2020-03-03,reenter,official_vix_close,NFLX_call_atm,NFLX  200320C00360000,NFLX,2020-03-20,16.0,16.0
larger,2020-03-02,2020-03-03,reenter,official_vix_close,PYPL_call_atm,PYPL  200320C00110000,PYPL,2020-03-20,6.0,6.0
orig,2020-03-06,2020-03-09,exit,official_vix_close,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,5.0,-5.0
orig,2020-03-06,2020-03-09,exit,official_vix_close,TSLA_call_atm,TSLA  200320C00650000,TSLA,2020-03-20,3.0,-3.0
larger,2020-03-06,2020-03-09,exit,official_vix_close,AAPL_call_atm,AAPL  200320C00270000,AAPL,2020-03-20,2.0,-2.0
larger,2020-03-06,2020-03-09,exit,official_vix_close,AAPL_call_put_near,AAPL  200320C00260000,AAPL,2020-03-20,3.0,-3.0
larger,2020-03-06,2020-03-09,exit,official_vix_close,ADBE_call_atm,ADBE  200320C00345000,ADBE,2020-03-20,3.0,-3.0
larger,2020-03-06,2020-03-09,exit,official_vix_close,MA_call_atm,MA    200320C00295000,MA,2020-03-20,5.0,-5.0
larger,2020-03-06,2020-03-09,exit,official_vix_close,NFLX_call_atm,NFLX  200320C00360000,NFLX,2020-03-20,16.0,-16.0
larger,2020-03-06,2020-03-09,exit,official_vix_close,PYPL_call_atm,PYPL  200320C00110000,PYPL,2020-03-20,6.0,-6.0
orig,2020-04-14,2020-04-15,reenter,official_vix_close,AAPL_call_atm,AAPL  200417C00260000,AAPL,2020-04-17,13.0,13.0
orig,2020-04-14,2020-04-15,reenter,official_vix_close,AAPL_call_call_near,AAPL  200417C00280000,AAPL,2020-04-17,71.0,71.0
orig,2020-04-14,2020-04-15,reenter,official_vix_close,MSFT_call_atm,MSFT  200417C00160000,MSFT,2020-04-17,8.0,8.0
larger,2020-04-14,2020-04-15,reenter,official_vix_close,AAPL_call_atm,AAPL  200417C00260000,AAPL,2020-04-17,7.0,7.0
larger,2020-04-14,2020-04-15,reenter,official_vix_close,AAPL_call_call_near,AAPL  200417C00280000,AAPL,2020-04-17,39.0,39.0
larger,2020-04-14,2020-04-15,reenter,official_vix_close,ADBE_call_atm,ADBE  200417C00320000,ADBE,2020-04-17,2.0,2.0
larger,2020-04-14,2020-04-15,reenter,official_vix_close,AMD_call_atm,AMD   200417C00045000,AMD,2020-04-17,36.0,36.0
larger,2020-04-14,2020-04-15,reenter,official_vix_close,NFLX_call_atm,NFLX  200417C00370000,NFLX,2020-04-17,16.0,16.0
orig,2020-04-15,2020-04-16,exit,official_vix_close,AAPL_call_atm,AAPL  200417C00260000,AAPL,2020-04-17,13.0,-13.0
orig,2020-04-15,2020-04-16,exit,official_vix_close,AAPL_call_call_near,AAPL  200417C00280000,AAPL,2020-04-17,71.0,-71.0
orig,2020-04-15,2020-04-16,exit,official_vix_close,MSFT_call_atm,MSFT  200417C00160000,MSFT,2020-04-17,8.0,-8.0
larger,2020-04-15,2020-04-16,exit,official_vix_close,AAPL_call_atm,AAPL  200417C00260000,AAPL,2020-04-17,7.0,-7.0
larger,2020-04-15,2020-04-16,exit,official_vix_close,AAPL_call_call_near,AAPL  200417C00280000,AAPL,2020-04-17,39.0,-39.0
larger,2020-04-15,2020-04-16,exit,official_vix_close,ADBE_call_atm,ADBE  200417C00320000,ADBE,2020-04-17,2.0,-2.0
larger,2020-04-15,2020-04-16,exit,official_vix_close,AMD_call_atm,AMD   200417C00045000,AMD,2020-04-17,36.0,-36.0
larger,2020-04-15,2020-04-16,exit,official_vix_close,NFLX_call_atm,NFLX  200417C00370000,NFLX,2020-04-17,16.0,-16.0
orig,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,11.0,-11.0
orig,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_put_atm,AAPL  200619P00320000,AAPL,2020-06-19,-4.0,4.0
orig,2020-06-11,2020-06-12,exit,official_vix_close,AMZN_call_atm,AMZN  200619C02500000,AMZN,2020-06-19,5.0,-5.0
orig,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_atm,MSFT  200619C00180000,MSFT,2020-06-19,18.0,-18.0
orig,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,17.0,-17.0
orig,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-15.0,15.0
orig,2020-06-11,2020-06-12,exit,official_vix_close,TSLA_put_atm,TSLA  200619P00820000,TSLA,2020-06-19,-5.0,5.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,11.0,-11.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_put_atm,AAPL  200619P00320000,AAPL,2020-06-19,-1.0,1.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,ADBE_call_atm,ADBE  200619C00390000,ADBE,2020-06-19,2.0,-2.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,ADBE_call_put_near,ADBE  200619C00375000,ADBE,2020-06-19,1.0,-1.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,ADBE_put_atm,ADBE  200619P00380000,ADBE,2020-06-19,-1.0,1.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,AMD_call_atm,AMD   200619C00055000,AMD,2020-06-19,36.0,-36.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,AMZN_call_atm,AMZN  200619C02500000,AMZN,2020-06-19,4.0,-4.0
