feasible,max_breach,scenario_cvar_loss,worst_stress_return,short_margin_used,collateral_used,gross_nav,breach_base,breach_cap,breach_cvar,breach_stress,breach_margin,breach_collateral,breach_assignment,method,method_status,solver,predicted_annual_vol,breach_volatility,breach_sign,breach_positive_edge,expected_net_return,predictable_cost,net_utility,continuous_l1_distance,integer_contracts,available,selected,config,strategy,return_date,decision_date
True,0.0,0.0806761135332908,-0.1018282631455968,0.0639079998016357,0.1408089998016357,0.08753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2129380257644336,0.0,0.0,0.0,0.0013706262972942,0.0017136034799191,0.001058523598503,0.0148746787422829,81,True,True,orig,R1.1 25pct positive-edge deployment,2018-02-28,2018-01-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1024046787422829,0,True,False,orig,R1.1 25pct positive-edge deployment,2018-02-28,2018-01-31
True,0.0,0.0854758001189996,-0.094704946288159,0.0639079998016357,0.1455279998016357,0.092249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2090184557039961,0.0,0.0,0.0,0.0014715639688786,0.0017942900656279,0.0011889173184399,0.0156650272596531,83,True,True,orig,R1.1 25pct EGARCH diagnostic,2018-02-28,2018-01-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1079140272596531,0,True,False,orig,R1.1 25pct EGARCH diagnostic,2018-02-28,2018-01-31
True,0.0,0.0874691320867907,-0.116418629361329,0.1548759971618652,0.1963909971618652,0.0573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2268853642012904,0.0,0.0,0.0,0.0019736168374256,0.0014841804564186,0.0013159290714294,0.0082408214822307,81,True,True,orig,R1.1 25pct positive-edge deployment,2018-04-30,2018-02-28
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655408214822307,0,True,False,orig,R1.1 25pct positive-edge deployment,2018-04-30,2018-02-28
True,0.0,0.0804860520896914,-0.0986904560292226,0.1246269981384277,0.1706769981384277,0.059035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.220243336564491,0.0,0.0,0.0,0.002125733671181,0.0013416109197447,0.0014638574040066,0.0096982644745351,51,True,True,orig,R1.1 25pct EGARCH diagnostic,2018-04-30,2018-02-28
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0687332644745351,0,True,False,orig,R1.1 25pct EGARCH diagnostic,2018-04-30,2018-02-28
True,0.0,0.0539427753127724,-0.0905579763395282,0.0404819995880127,0.0979019995880127,0.063787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.212413561456959,0.0,0.0,0.0,0.0019515108542973,0.0011647212634845,0.0012790045956949,0.012904084501784,96,True,True,orig,R1.1 25pct positive-edge deployment,2018-05-31,2018-04-30
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076691084501784,0,True,False,orig,R1.1 25pct positive-edge deployment,2018-05-31,2018-04-30
