execution_date,config,action,execution_feasible,missing_executable_quotes,quote_path,status
2020-03-02,larger,exit,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-03-02.parquet,unscored_missing_licensed_cbbo
2020-03-02,orig,exit,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-03-02.parquet,unscored_missing_licensed_cbbo
2020-03-03,larger,reenter,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-03-03.parquet,unscored_missing_licensed_cbbo
2020-03-03,orig,reenter,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-03-03.parquet,unscored_missing_licensed_cbbo
2020-03-09,larger,exit,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-03-09.parquet,unscored_missing_licensed_cbbo
2020-03-09,orig,exit,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-03-09.parquet,unscored_missing_licensed_cbbo
2020-04-15,larger,reenter,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-04-15.parquet,unscored_missing_licensed_cbbo
2020-04-15,orig,reenter,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-04-15.parquet,unscored_missing_licensed_cbbo
2020-04-16,larger,exit,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-04-16.parquet,unscored_missing_licensed_cbbo
2020-04-16,orig,exit,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-04-16.parquet,unscored_missing_licensed_cbbo
2020-06-12,larger,exit,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-06-12.parquet,unscored_missing_licensed_cbbo
2020-06-12,larger+VIX,exit,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-06-12.parquet,unscored_missing_licensed_cbbo
2020-06-12,orig,exit,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-06-12.parquet,unscored_missing_licensed_cbbo
2020-06-12,orig+VIX,exit,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-06-12.parquet,unscored_missing_licensed_cbbo
2020-06-15,larger,reenter,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-06-15.parquet,unscored_missing_licensed_cbbo
2020-06-15,larger+VIX,reenter,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-06-15.parquet,unscored_missing_licensed_cbbo
2020-06-15,orig,reenter,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-06-15.parquet,unscored_missing_licensed_cbbo
2020-06-15,orig+VIX,reenter,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-06-15.parquet,unscored_missing_licensed_cbbo
2020-10-30,larger,reenter,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-10-30.parquet,unscored_missing_licensed_cbbo
2020-10-30,orig,reenter,False,True,data/databento_cache/r11_event_cbbo/opra_cbbo1m_2020-10-30.parquet,unscored_missing_licensed_cbbo
