config,path_id,status,defaulted,integer_abstained,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth
orig+VIX,0,"error:ValueError:contracts lack 24 recent observations: ['AAPL_put_call_near', 'NVDA_call_put_wing', 'NVDA_put_put_wing']",True,,,,,,,,,,
orig+VIX,1,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'META_put_call_near', 'MSFT_call_call_near', 'NVDA_call_put_wing', 'NVDA_put_call_near', 'NVDA_put_put_wing']",True,,,,,,,,,,
orig+VIX,2,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,3,error:ValueError:contracts lack 24 recent observations: ['VIX_put_vix_put_near'],True,,,,,,,,,,
orig+VIX,4,error:ValueError:contracts lack 24 recent observations: ['AMZN_put_put_wing'],True,,,,,,,,,,
orig+VIX,5,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,6,ok,False,False,60.0,0.08044047821830014,0.03351592808518322,2.3321193506856175,11.240159468032484,-0.015172664178096484,0.006537710756179709,0.006705134563466003,1.4723268506692069
orig+VIX,7,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,8,ok,False,False,60.0,0.061126061630888184,0.049721221666054694,1.2205515074094344,2.398553209800039,-0.04556251074252082,0.01734084355393822,0.024033605812866284,1.345348830233781
orig+VIX,9,ok,False,False,60.0,0.03984974831349475,0.043130741074137266,0.9286008088894606,1.6369456431771359,-0.032625305552557604,0.018658136650606304,0.02234247546850614,1.215774290199704
orig+VIX,10,ok,False,False,60.0,0.01411959827620568,0.10374954935230436,0.18588697459186326,0.28507321458959023,-0.29942678940312784,0.05271182553513739,0.06040797435025402,1.0726199704877202
orig+VIX,11,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'JPM_call_call_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,12,"error:ValueError:contracts lack 24 recent observations: ['AMZN_put_put_wing', 'NVDA_call_put_wing', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,13,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,14,ok,False,False,60.0,0.11780106494892006,0.05408178740345292,2.095100673277035,4.895894892739481,-0.037367356651096806,0.005531383197011059,0.0265067971412339,1.745109148284322
orig+VIX,15,"error:ValueError:contracts lack 24 recent observations: ['AMZN_put_put_wing', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,16,ok,False,False,60.0,0.06124367737744296,0.03795753240388384,1.5882676652345207,3.437002292029882,-0.0313049244612974,0.011165984263535739,0.018954871476326542,1.3460945912426463
orig+VIX,17,"error:ValueError:contracts lack 24 recent observations: ['AMZN_put_put_wing', 'META_put_call_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,18,error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing'],True,,,,,,,,,,
orig+VIX,19,error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing'],True,,,,,,,,,,
orig+VIX,20,ok,False,False,60.0,0.0428193653487976,0.05316661896341224,0.8162232376726147,1.2197143021934216,-0.060459907669525914,0.029677390516466937,0.03586599921595294,1.2332338519829191
orig+VIX,21,ok,False,False,60.0,-0.0069684756149137606,0.08710561677256809,-0.03223062277378538,-0.03420775467372148,-0.19402995023024483,0.011127003018779178,0.06983265933774255,0.9656398463556193
orig+VIX,22,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,23,ok,False,False,60.0,0.038910707348238205,0.12908392748474867,0.357764131121374,0.6918983074339745,-0.37677570096728785,0.0459390606413634,0.048418949318835246,1.2102946439316877
orig+VIX,24,error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing'],True,,,,,,,,,,
orig+VIX,25,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'MSFT_call_call_near', 'NVDA_call_put_wing', 'VIX_call_vix_atm', 'VIX_call_vix_call_near', 'VIX_call_vix_call_wing', 'VIX_put_vix_atm', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,26,"error:ValueError:contracts lack 24 recent observations: ['AMZN_put_put_wing', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,27,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'META_put_call_near', 'MSFT_call_call_near', 'NVDA_call_put_wing', 'NVDA_put_call_near', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,28,"error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing', 'NVDA_put_put_wing']",True,,,,,,,,,,
orig+VIX,29,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'JPM_call_call_near', 'NVDA_call_put_wing', 'NVDA_put_put_wing', 'VIX_call_vix_atm', 'VIX_call_vix_call_near', 'VIX_call_vix_call_wing', 'VIX_put_vix_atm', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,30,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,31,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,32,ok,False,False,60.0,0.12448492580847725,0.06894360854125575,1.7430423088822724,6.751703163978069,-0.03456388471939198,0.015513073274995511,0.015516957159646802,1.7979110001083407
orig+VIX,33,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,34,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,35,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,36,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,37,ok,False,False,60.0,0.0715046871279077,0.053893767042494684,1.3114296614608738,2.8651714187175985,-0.044659745814143226,0.013150112225168249,0.02279351553555067,1.412441195143592
orig+VIX,38,error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing'],True,,,,,,,,,,
orig+VIX,39,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,40,"error:ValueError:contracts lack 24 recent observations: ['META_put_call_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,41,ok,False,False,60.0,0.02714611321122229,0.024156376772219164,1.1218252562804114,2.4221601712838536,-0.020077851628002685,0.009081648149393804,0.010644056050460872,1.1433024534346485
orig+VIX,42,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,43,"error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing', 'NVDA_put_put_wing']",True,,,,,,,,,,
orig+VIX,44,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,45,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,46,error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing'],True,,,,,,,,,,
orig+VIX,47,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing', 'NVDA_put_put_wing']",True,,,,,,,,,,
orig+VIX,48,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing', 'NVDA_put_call_near']",True,,,,,,,,,,
orig+VIX,49,error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing'],True,,,,,,,,,,
orig+VIX,50,"error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing', 'NVDA_put_put_wing']",True,,,,,,,,,,
orig+VIX,51,"error:ValueError:contracts lack 24 recent observations: ['JPM_call_call_near', 'MSFT_call_call_near', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,52,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,53,error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing'],True,,,,,,,,,,
orig+VIX,54,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'MSFT_call_call_near', 'NVDA_call_put_wing', 'VIX_call_vix_atm', 'VIX_call_vix_call_near', 'VIX_call_vix_call_wing', 'VIX_put_vix_atm', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,55,error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing'],True,,,,,,,,,,
orig+VIX,56,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,57,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,58,"error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,59,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,60,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,61,ok,False,False,60.0,0.0725870477040953,0.03868385644294574,1.83541771777526,6.14472111427893,-0.03802765103074279,0.006101533974822573,0.01294103012756548,1.4195893780877893
orig+VIX,62,"error:ValueError:contracts lack 24 recent observations: ['MSFT_call_call_near', 'NVDA_call_put_wing', 'NVDA_put_call_near', 'NVDA_put_put_wing', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,63,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,64,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'JPM_call_call_near', 'MSFT_call_call_near', 'NVDA_call_put_wing', 'NVDA_put_call_near', 'NVDA_put_put_wing']",True,,,,,,,,,,
orig+VIX,65,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'JPM_call_call_near', 'MSFT_call_call_near', 'NVDA_call_put_wing', 'NVDA_put_put_wing', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,66,error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing'],True,,,,,,,,,,
orig+VIX,67,"error:ValueError:contracts lack 24 recent observations: ['NVDA_call_put_wing', 'NVDA_put_put_wing']",True,,,,,,,,,,
orig+VIX,68,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'JPM_call_call_near']",True,,,,,,,,,,
orig+VIX,69,"error:ValueError:contracts lack 24 recent observations: ['AMZN_put_put_wing', 'GOOGL_call_put_near', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,70,"error:ValueError:contracts lack 24 recent observations: ['AMZN_put_put_wing', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,71,ok,False,False,60.0,0.05859170311022899,0.04612989812403667,1.259769936345056,2.6148966249795746,-0.02123016082946305,0.01774245876627999,0.01838905376601092,1.3293594557788415
orig+VIX,72,"error:ValueError:contracts lack 24 recent observations: ['JPM_call_call_near', 'NVDA_call_put_wing', 'NVDA_put_put_wing']",True,,,,,,,,,,
orig+VIX,73,ok,False,False,60.0,0.1221846137721263,0.04124272678756613,2.828348682870918,11.801704418351482,-0.02041996921254785,0.0016262629571323444,0.010245393530675544,1.779596525149361
orig+VIX,74,ok,False,False,60.0,0.0349564701721361,0.04750941610186051,0.7473653386232423,1.331751251370089,-0.07531634262222076,0.010863309733423466,0.026160086354775614,1.1874365692610511
orig+VIX,75,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,76,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'JPM_call_call_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,77,"error:ValueError:contracts lack 24 recent observations: ['JPM_call_call_near', 'NVDA_call_put_wing', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,78,"error:ValueError:contracts lack 24 recent observations: ['MSFT_call_call_near', 'NVDA_call_put_wing']",True,,,,,,,,,,
orig+VIX,79,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing', 'NVDA_put_put_wing']",True,,,,,,,,,,
orig+VIX,80,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'NVDA_call_put_wing', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,81,ok,False,False,60.0,0.02317281908876412,0.02894924495317892,0.8062343414890383,1.6597384656947105,-0.019294724720817613,0.009262487371707054,0.01139281506719633,1.121359772604392
orig+VIX,82,"error:ValueError:contracts lack 24 recent observations: ['JPM_call_call_near', 'META_put_call_near', 'MSFT_call_call_near', 'NVDA_call_put_wing', 'NVDA_put_put_wing', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,83,"error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near', 'JPM_call_call_near', 'NVDA_call_put_wing', 'NVDA_put_put_wing', 'VIX_call_vix_atm', 'VIX_call_vix_call_near', 'VIX_call_vix_call_wing', 'VIX_put_vix_atm', 'VIX_put_vix_put_near']",True,,,,,,,,,,
orig+VIX,84,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,85,error:ValueError:contracts lack 24 recent observations: ['GOOGL_call_put_near'],True,,,,,,,,,,
orig+VIX,86,"error:ValueError:contracts lack 24 recent observations: ['JPM_call_call_near', 'MSFT_call_call_near', 'NVDA_call_put_wing', 'NVDA_put_put_wing', 'VIX_put_vix_put_near']",True,,,,,,,,,,
