config,return_date,family,observations,annual_downside
orig+VIX,2018-02-28,recent,36,0.0010824503791299798
orig+VIX,2018-02-28,expanding_bootstrap,500,0.001045938560936077
orig+VIX,2018-02-28,imputation_1,36,0.0014326941462151207
orig+VIX,2018-02-28,imputation_2,36,0.0014326917602464702
orig+VIX,2018-02-28,imputation_3,36,0.0014322406956700903
orig+VIX,2018-02-28,imputation_4,36,0.001432583721305415
orig+VIX,2018-02-28,imputation_5,36,0.0014326888662700248
orig+VIX,2018-04-30,recent,36,0.04606817088586754
orig+VIX,2018-04-30,expanding_bootstrap,500,0.047370670204209576
orig+VIX,2018-04-30,imputation_1,37,0.04344354375042126
orig+VIX,2018-04-30,imputation_2,37,0.07600470470708413
orig+VIX,2018-04-30,imputation_3,37,0.07600471071250309
orig+VIX,2018-04-30,imputation_4,37,0.07600471058820273
orig+VIX,2018-04-30,imputation_5,37,0.07600471064475846
orig+VIX,2018-05-31,recent,36,0.0013024421013656863
orig+VIX,2018-05-31,expanding_bootstrap,500,0.0013083092770886783
orig+VIX,2018-05-31,imputation_1,38,0.00130815014203113
orig+VIX,2018-05-31,imputation_2,38,0.00016821201774817288
orig+VIX,2018-05-31,imputation_3,38,0.001308319310222737
orig+VIX,2018-05-31,imputation_4,38,0.0013083172742882135
orig+VIX,2018-05-31,imputation_5,38,0.0013083185095863366
orig+VIX,2018-06-29,recent,36,0.0013585209995547473
orig+VIX,2018-06-29,expanding_bootstrap,500,0.001201437554962629
orig+VIX,2018-06-29,imputation_1,39,0.0013584527126160163
orig+VIX,2018-06-29,imputation_2,39,0.0013578952732853488
orig+VIX,2018-06-29,imputation_3,39,0.0013585175604909063
orig+VIX,2018-06-29,imputation_4,39,0.001358520855137968
orig+VIX,2018-06-29,imputation_5,39,0.001358360840016714
orig+VIX,2018-07-31,recent,36,0.15382854864537257
orig+VIX,2018-07-31,expanding_bootstrap,500,0.1719276389567222
orig+VIX,2018-07-31,imputation_1,40,0.21739101034812827
orig+VIX,2018-07-31,imputation_2,40,0.19668103978514936
orig+VIX,2018-07-31,imputation_3,40,0.21739107960717685
orig+VIX,2018-07-31,imputation_4,40,0.21739108079320923
orig+VIX,2018-07-31,imputation_5,40,0.21739108020400258
orig+VIX,2018-08-31,recent,36,0.0017280871739817397
orig+VIX,2018-08-31,expanding_bootstrap,500,0.0017279574325198494
orig+VIX,2018-08-31,imputation_1,41,0.0017280858603101487
orig+VIX,2018-08-31,imputation_2,41,0.0015891752922457569
orig+VIX,2018-08-31,imputation_3,41,0.0015317491664693017
orig+VIX,2018-08-31,imputation_4,41,0.0013386133278987316
orig+VIX,2018-08-31,imputation_5,41,0.0017280779292067248
orig+VIX,2018-09-28,recent,36,0.0010218978572908968
orig+VIX,2018-09-28,expanding_bootstrap,500,0.0008807217662317939
orig+VIX,2018-09-28,imputation_1,42,0.0011751159510226036
orig+VIX,2018-09-28,imputation_2,42,0.0011751311707453916
orig+VIX,2018-09-28,imputation_3,42,0.0011751198446923032
orig+VIX,2018-09-28,imputation_4,42,0.001175152449280804
orig+VIX,2018-09-28,imputation_5,42,0.0011751007400867947
orig+VIX,2018-10-31,recent,36,0.0007136975433855347
orig+VIX,2018-10-31,expanding_bootstrap,500,0.0006319986567807247
orig+VIX,2018-10-31,imputation_1,43,0.001444149573487798
orig+VIX,2018-10-31,imputation_2,43,0.0014441415474520897
orig+VIX,2018-10-31,imputation_3,43,0.000539944867929122
orig+VIX,2018-10-31,imputation_4,43,0.0014441567370132766
orig+VIX,2018-10-31,imputation_5,43,0.0014441507655505918
orig+VIX,2018-11-30,recent,36,1.6464433721045266
orig+VIX,2018-11-30,expanding_bootstrap,500,1.6848897010438595
orig+VIX,2018-11-30,imputation_1,44,1.608588986583095
orig+VIX,2018-11-30,imputation_2,44,1.6848901463568122
orig+VIX,2018-11-30,imputation_3,44,1.6132902903595525
orig+VIX,2018-11-30,imputation_4,44,1.6183668826018307
orig+VIX,2018-11-30,imputation_5,44,1.6016122365971754
orig+VIX,2018-12-31,recent,36,1.690528572430404
orig+VIX,2018-12-31,expanding_bootstrap,500,1.6144977989301241
orig+VIX,2018-12-31,imputation_1,45,1.6162776362918203
orig+VIX,2018-12-31,imputation_2,45,1.6494945382105304
orig+VIX,2018-12-31,imputation_3,45,1.6431993801766327
orig+VIX,2018-12-31,imputation_4,45,1.6441758789003018
orig+VIX,2018-12-31,imputation_5,45,1.6224488401259294
orig+VIX,2019-01-31,recent,36,2.964357902562331
orig+VIX,2019-01-31,expanding_bootstrap,500,2.8717379734015416
orig+VIX,2019-01-31,imputation_1,46,2.9633221745386864
orig+VIX,2019-01-31,imputation_2,46,2.8656162686043682
orig+VIX,2019-01-31,imputation_3,46,2.915307474104252
orig+VIX,2019-01-31,imputation_4,46,2.861459441032193
orig+VIX,2019-01-31,imputation_5,46,2.879456094671006
orig+VIX,2019-02-28,recent,36,1.9117669086464313
orig+VIX,2019-02-28,expanding_bootstrap,500,1.7917120644486704
orig+VIX,2019-02-28,imputation_1,47,1.9611483430618066
orig+VIX,2019-02-28,imputation_2,47,1.9727336306569256
orig+VIX,2019-02-28,imputation_3,47,1.9828881166134733
orig+VIX,2019-02-28,imputation_4,47,1.8489810451130118
orig+VIX,2019-02-28,imputation_5,47,1.9888005727404277
orig+VIX,2019-04-30,recent,36,1.5776592983922286
orig+VIX,2019-04-30,expanding_bootstrap,500,1.7236978405515786
orig+VIX,2019-04-30,imputation_1,48,1.7401975607270264
orig+VIX,2019-04-30,imputation_2,48,1.615339803360162
orig+VIX,2019-04-30,imputation_3,48,1.6398882690966787
orig+VIX,2019-04-30,imputation_4,48,1.7401975599541246
orig+VIX,2019-04-30,imputation_5,48,1.7240475314427388
orig+VIX,2019-05-31,recent,36,1.088505839517218
orig+VIX,2019-05-31,expanding_bootstrap,500,1.1656773117696482
orig+VIX,2019-05-31,imputation_1,49,1.1721375461457166
orig+VIX,2019-05-31,imputation_2,49,1.1609022339899882
orig+VIX,2019-05-31,imputation_3,49,1.1721375688237456
orig+VIX,2019-05-31,imputation_4,49,1.1508751756699032
orig+VIX,2019-05-31,imputation_5,49,1.144027879504089
orig+VIX,2019-06-28,recent,36,2.2595334374012244
orig+VIX,2019-06-28,expanding_bootstrap,500,2.283146409332146
orig+VIX,2019-06-28,imputation_1,50,2.2930599787938326
orig+VIX,2019-06-28,imputation_2,50,2.297900593540661
orig+VIX,2019-06-28,imputation_3,50,2.285148151851351
orig+VIX,2019-06-28,imputation_4,50,2.311771652286952
orig+VIX,2019-06-28,imputation_5,50,2.2991833711106824
orig+VIX,2019-07-31,recent,36,0.977413950125402
orig+VIX,2019-07-31,expanding_bootstrap,500,0.9943790918100409
orig+VIX,2019-07-31,imputation_1,51,1.0115820822036374
orig+VIX,2019-07-31,imputation_2,51,1.0075223394594768
orig+VIX,2019-07-31,imputation_3,51,0.9487344407683493
orig+VIX,2019-07-31,imputation_4,51,0.950423768022741
orig+VIX,2019-07-31,imputation_5,51,1.0115824784647645
orig+VIX,2019-08-30,recent,36,1.7664819579901523
