fold_id,scheme,test_groups,test_start,test_end,n_train,n_test,n_purged,n_embargoed,purged_dates,embargoed_dates,status
kfold_00,kfold,0,2015-02-27,2015-12-31,116,11,1,1,2016-01-29,2016-02-29,ok
kfold_01,kfold,1,2016-01-29,2016-11-30,115,11,2,1,2015-12-31;2016-12-30,2017-01-31,ok
kfold_02,kfold,2,2016-12-30,2017-10-31,115,11,2,1,2016-11-30;2017-11-30,2017-12-29,ok
kfold_03,kfold,3,2017-11-30,2018-10-31,115,11,2,1,2017-10-31;2018-11-30,2018-12-31,ok
kfold_04,kfold,4,2018-11-30,2019-10-31,115,11,2,1,2018-10-31;2019-11-29,2019-12-31,ok
kfold_05,kfold,5,2019-11-29,2020-09-30,115,11,2,1,2019-10-31;2020-10-30,2020-11-30,ok
kfold_06,kfold,6,2020-10-30,2021-09-30,115,11,2,1,2020-09-30;2021-10-29,2021-11-30,ok
kfold_07,kfold,7,2021-10-29,2022-09-30,115,11,2,1,2021-09-30;2022-10-31,2022-11-30,ok
kfold_08,kfold,8,2022-10-31,2023-08-31,115,11,2,1,2022-09-30;2023-09-29,2023-10-31,ok
kfold_09,kfold,9,2023-09-29,2024-07-31,116,10,2,1,2023-08-31;2024-08-30,2024-09-30,ok
kfold_10,kfold,10,2024-08-30,2025-06-30,116,10,2,1,2024-07-31;2025-07-31,2025-08-29,ok
kfold_11,kfold,11,2025-07-31,2026-04-30,118,10,1,0,2025-06-30,,ok
cpcv_00_01,cpcv,0_1,2015-02-27,2016-11-30,105,22,1,1,2016-12-30,2017-01-31,ok
cpcv_00_02,cpcv,0_2,2015-02-27,2017-10-31,102,22,3,2,2016-01-29;2016-11-30;2017-11-30,2016-02-29;2017-12-29,ok
cpcv_00_03,cpcv,0_3,2015-02-27,2018-10-31,102,22,3,2,2016-01-29;2017-10-31;2018-11-30,2016-02-29;2018-12-31,ok
cpcv_00_04,cpcv,0_4,2015-02-27,2019-10-31,102,22,3,2,2016-01-29;2018-10-31;2019-11-29,2016-02-29;2019-12-31,ok
cpcv_00_05,cpcv,0_5,2015-02-27,2020-09-30,102,22,3,2,2016-01-29;2019-10-31;2020-10-30,2016-02-29;2020-11-30,ok
cpcv_00_06,cpcv,0_6,2015-02-27,2021-09-30,102,22,3,2,2016-01-29;2020-09-30;2021-10-29,2016-02-29;2021-11-30,ok
cpcv_00_07,cpcv,0_7,2015-02-27,2022-09-30,102,22,3,2,2016-01-29;2021-09-30;2022-10-31,2016-02-29;2022-11-30,ok
cpcv_00_08,cpcv,0_8,2015-02-27,2023-08-31,102,22,3,2,2016-01-29;2022-09-30;2023-09-29,2016-02-29;2023-10-31,ok
cpcv_00_09,cpcv,0_9,2015-02-27,2024-07-31,103,21,3,2,2016-01-29;2023-08-31;2024-08-30,2016-02-29;2024-09-30,ok
cpcv_00_10,cpcv,0_10,2015-02-27,2025-06-30,103,21,3,2,2016-01-29;2024-07-31;2025-07-31,2016-02-29;2025-08-29,ok
cpcv_00_11,cpcv,0_11,2015-02-27,2026-04-30,105,21,2,1,2016-01-29;2025-06-30,2016-02-29,ok
cpcv_01_02,cpcv,1_2,2016-01-29,2017-10-31,104,22,2,1,2015-12-31;2017-11-30,2017-12-29,ok
cpcv_01_03,cpcv,1_3,2016-01-29,2018-10-31,101,22,4,2,2015-12-31;2016-12-30;2017-10-31;2018-11-30,2017-01-31;2018-12-31,ok
cpcv_01_04,cpcv,1_4,2016-01-29,2019-10-31,101,22,4,2,2015-12-31;2016-12-30;2018-10-31;2019-11-29,2017-01-31;2019-12-31,ok
cpcv_01_05,cpcv,1_5,2016-01-29,2020-09-30,101,22,4,2,2015-12-31;2016-12-30;2019-10-31;2020-10-30,2017-01-31;2020-11-30,ok
cpcv_01_06,cpcv,1_6,2016-01-29,2021-09-30,101,22,4,2,2015-12-31;2016-12-30;2020-09-30;2021-10-29,2017-01-31;2021-11-30,ok
cpcv_01_07,cpcv,1_7,2016-01-29,2022-09-30,101,22,4,2,2015-12-31;2016-12-30;2021-09-30;2022-10-31,2017-01-31;2022-11-30,ok
cpcv_01_08,cpcv,1_8,2016-01-29,2023-08-31,101,22,4,2,2015-12-31;2016-12-30;2022-09-30;2023-09-29,2017-01-31;2023-10-31,ok
