Exclusion,Remaining underlyings,Option assets,Ann. return,Ann. vol,Sharpe,Sharpe CI lo,Sharpe CI hi,Sortino,Calmar,Omega,Info. ratio,Net delta,Beta SPY
All underlyings,8,54,1.2463192285080007,0.9068172193093107,1.3743885779509968,0.6013007558444943,2.208772726046828,3.3852591193963497,2.033918612174948,2.7843631987725814,1.1998006679456976,3.306663166078529,1.2970892577738018
No AAPL,7,48,1.253442779105329,0.9491732135770699,1.3205627394199042,0.5710249603811717,2.090969640903888,3.2332639197146,2.0160698728449042,2.673152656103451,1.1474378570540689,3.215649308432949,1.2396061285227384
No AMZN,7,48,1.2858224752488585,0.9203537811332182,1.397095879440669,0.5776504233705091,2.2419067959792036,3.710299562193063,2.0973834631778914,2.8990647663139066,1.2230540706820021,3.3440327757937,1.1776208623624602
No GOOGL,7,49,1.214406612600357,0.8952414435525426,1.3565129511668794,0.5466978101047604,2.212694755775338,3.3245552429947076,1.9356643327493233,2.7395534729654614,1.1798346645099265,3.245814105986085,1.2650623578757372
No JPM,7,49,1.202341945690476,0.916969063174501,1.311213206613567,0.6495242799219069,2.0154214857352106,3.0315476568673776,2.5399657936034816,2.741240843993954,1.1064947432348655,3.1862442815465997,1.105440244407023
No META,7,47,1.249672267617801,0.944320437050106,1.3233561602474275,0.5658436735818991,2.148884049672927,3.1877343328370897,2.0113935817618733,2.6576668729800996,1.1632839673313902,3.381375370470191,1.3746852406236103
No MSFT,7,49,1.4103966117106785,0.9552828843413473,1.4764177552318705,0.7501601796828777,2.2284426857758337,3.8071368219736756,2.3863980901957196,3.0533128123087048,1.3118106668905976,3.405816145781243,1.6273848169134704
No NVDA,7,46,1.0852106379738415,0.8211503304637112,1.3215736482271316,0.5471251215096067,2.150910940465489,3.2558209009745296,1.8926998285363539,2.750193293599808,1.1574614932519924,3.5709702027955696,0.7753110432987902
No TSLA,7,47,1.198405923430282,0.8417407072925099,1.4237233782894958,0.6705272068560444,2.251374513296689,3.612043373017362,1.9881821256001044,3.11780942089816,1.2652146338577253,3.3295950300618053,1.2872617707234624
No META/NVDA/TSLA,5,32,0.9339746767219512,0.8374461598611739,1.1152653406122004,0.3356002024925566,1.9402769404743736,2.279101290368233,1.40697772786568,2.351974691449849,0.96798214281543,4.019480626543116,1.2168928499540452
