Variant,Sharpe,Probabilistic Sharpe,Deflated Sharpe,Bootstrap max Sharpe p95,N,Block size,Seed
Equity-option Greek Markowitz::gross,0.8421194565895301,0.9999999999997874,0.0,2.395856192979967,60,8,20260625
Greek Markowitz + VIX::gross,1.3743885779509968,1.0,1.171660871221686e-190,2.395856192979967,60,8,20260625
Beta/delta-neutral + VIX::gross,1.4135236431740843,1.0,5.5953905332384846e-164,2.395856192979967,60,8,20260625
Equal premium::gross,-0.02955676336526383,0.4122235847317047,0.0,2.395856192979967,60,8,20260625
Equal risk::gross,0.0818308658646486,0.7451516479581755,0.0,2.395856192979967,60,8,20260625
VIX hedge sleeve::gross,-6.429184989935395,1.1855878159463198e-08,9.87288524527083e-25,2.395856192979967,60,8,20260625
Delta-matched equities::gross,1.1763702582317712,0.9999999999999847,7.411543205687691e-158,2.395856192979967,60,8,20260625
Underlying Markowitz::gross,0.9088833301008382,0.9999999999999218,3.601643297065905e-281,2.395856192979967,60,8,20260625
Equity-option Greek Markowitz::mid,0.8170505717670248,0.9999999999992117,0.0,2.395856192979967,60,8,20260625
Greek Markowitz + VIX::mid,1.3138775407676593,1.0,2.0832065107842354e-203,2.395856192979967,60,8,20260625
Beta/delta-neutral + VIX::mid,1.3352567190175022,1.0,8.293236346779767e-180,2.395856192979967,60,8,20260625
Equal premium::mid,-0.07459766125108384,0.29440021003850236,0.0,2.395856192979967,60,8,20260625
Equal risk::mid,0.032216351568761376,0.5995571041200423,0.0,2.395856192979967,60,8,20260625
VIX hedge sleeve::mid,-6.4606628766839735,1.0514523448932735e-08,8.416119683516885e-25,2.395856192979967,60,8,20260625
Equity-option Greek Markowitz::half_spread,0.7919362861614629,0.9999999999969282,0.0,2.395856192979967,60,8,20260625
Greek Markowitz + VIX::half_spread,1.1703215522353334,1.0,2.6433421736216467e-233,2.395856192979967,60,8,20260625
Beta/delta-neutral + VIX::half_spread,1.143232107598715,1.0,4.726688767518834e-220,2.395856192979967,60,8,20260625
Equal premium::half_spread,-0.13959427042490616,0.16788800945156535,2.979791317633e-310,2.395856192979967,60,8,20260625
Equal risk::half_spread,-0.042972181890083776,0.37381543239837334,0.0,2.395856192979967,60,8,20260625
VIX hedge sleeve::half_spread,-6.540853900526196,7.56882120672634e-09,5.219977061164737e-25,2.395856192979967,60,8,20260625
Equity-option Greek Markowitz::full_spread,0.7668067218645858,0.9999999999880843,0.0,2.395856192979967,60,8,20260625
Greek Markowitz + VIX::full_spread,1.0258219183556512,0.9999999999999999,4.061857790130324e-263,2.395856192979967,60,8,20260625
Beta/delta-neutral + VIX::full_spread,0.9508576292459209,0.9999999999999716,2.0390393622011163e-261,2.395856192979967,60,8,20260625
Equal premium::full_spread,-0.20462197552298175,0.08945368147995542,1.711455237880309e-288,2.395856192979967,60,8,20260625
Equal risk::full_spread,-0.11815498556113241,0.19879777872024146,0.0,2.395856192979967,60,8,20260625
VIX hedge sleeve::full_spread,-6.607601788466617,4.860837695911706e-09,2.0508103641611321e-25,2.395856192979967,60,8,20260625
